timestamp,open,high,low,close,volume,date
1712620800000,6.61,7.635,6.052,6.5606,135889712.4,2024-04-09
1712707200000,6.5628,6.7355,5.5798,6.1244,100232017.4,2024-04-10
1712793600000,6.1244,6.1264,4.9742,5.1031,82080715.8,2024-04-11
1712880000000,5.1046,5.3317,3.42,4.1012,101156880.9,2024-04-12
1712966400000,4.1031,4.3818,3.3,3.91,97927241.4,2024-04-13
1713052800000,3.9085,4.5851,3.6777,4.4416,77557037.6,2024-04-14
1713139200000,4.4414,4.4433,3.7847,3.9883,47981817.3,2024-04-15
1713225600000,3.9883,4.336,3.7052,4.017,65333636.2,2024-04-16
1713312000000,4.0169,4.0887,3.32,3.479,54502605.8,2024-04-17
1713398400000,3.4781,3.5071,3.0914,3.3883,52548309.9,2024-04-18
1713484800000,3.3879,4.3999,3.0313,4.3162,125346583.2,2024-04-19
1713571200000,4.3162,4.888,4.1125,4.6058,147191493.3,2024-04-20
1713657600000,4.6067,4.6408,4.232,4.3095,43171974.7,2024-04-21
1713744000000,4.3094,4.51,4.0307,4.1802,37766583.7,2024-04-22
1713830400000,4.1796,4.4415,3.9733,4.0363,35603948.5,2024-04-23
1713916800000,4.036,4.124,3.7685,3.8384,27073907.1,2024-04-24
1714003200000,3.8386,3.9595,3.6491,3.7801,33763434.9,2024-04-25
1714089600000,3.7803,3.8487,3.573,3.6185,22203843.5,2024-04-26
1714176000000,3.6183,3.8599,3.3845,3.7445,21811693.6,2024-04-27
1714262400000,3.7445,3.9952,3.6547,3.692,26837527.4,2024-04-28
1714348800000,3.6909,3.7239,3.4792,3.6026,19442455.4,2024-04-29
1714435200000,3.6027,3.6662,3.1426,3.2169,24882817.0,2024-04-30
1714521600000,3.2175,3.293,2.8,3.2004,32668063.4,2024-05-01
1714608000000,3.2005,3.2979,3.0533,3.2088,13758441.0,2024-05-02
1714694400000,3.209,3.4715,3.1657,3.412,23858107.2,2024-05-03
1714780800000,3.4124,3.53,3.2893,3.3551,14755589.0,2024-05-04
1714867200000,3.3553,3.5491,3.231,3.363,14239543.9,2024-05-05
1714953600000,3.363,3.5266,3.1542,3.1609,18143564.4,2024-05-06
1715040000000,3.1612,3.2422,2.9104,2.9263,22353521.6,2024-05-07
1715126400000,2.9259,2.9856,2.755,2.8185,24174394.9,2024-05-08
1715212800000,2.8183,2.9393,2.7804,2.9146,15243368.3,2024-05-09
1715299200000,2.9145,2.944,2.7,2.7524,17813044.1,2024-05-10
1715385600000,2.7525,2.8886,2.7148,2.7916,11701795.5,2024-05-11
1715472000000,2.7916,2.937,2.7586,2.8193,16181081.7,2024-05-12
1715558400000,2.8191,2.8419,2.3622,2.4238,49826925.3,2024-05-13
1715644800000,2.4237,2.4328,2.16,2.2305,50504466.7,2024-05-14
1715731200000,2.2308,2.3096,2.0838,2.2542,35445256.0,2024-05-15
1715817600000,2.2537,2.3713,2.055,2.1492,37036674.9,2024-05-16
1715904000000,2.1492,2.2977,2.0927,2.205,23321263.9,2024-05-17
1715990400000,2.2049,2.4077,2.1196,2.2499,41940471.7,2024-05-18
1716076800000,2.2498,2.2612,2.0552,2.0696,26449450.9,2024-05-19
1716163200000,2.0697,2.3749,1.9342,2.3113,41405482.1,2024-05-20
1716249600000,2.3113,2.4141,2.246,2.3608,31854802.3,2024-05-21
1716336000000,2.3608,2.4145,2.1331,2.2581,31794428.4,2024-05-22
1716422400000,2.2581,2.3768,2.073,2.2621,41202156.8,2024-05-23
1716508800000,2.262,2.646,2.2275,2.4395,54771137.4,2024-05-24
1716595200000,2.4394,2.5403,2.3313,2.4816,42299030.4,2024-05-25
1716681600000,2.4817,2.6078,2.3769,2.5256,35559485.4,2024-05-26
1716768000000,2.5255,2.829,2.5103,2.7663,48465209.4,2024-05-27
1716854400000,2.7663,2.8249,2.5177,2.6511,34965078.6,2024-05-28
1716940800000,2.6513,2.8769,2.5147,2.5418,29297775.9,2024-05-29
1717027200000,2.542,2.6688,2.421,2.5457,24344326.7,2024-05-30
1717113600000,2.5454,2.7377,2.4927,2.6027,24824477.6,2024-05-31
1717200000000,2.6026,2.8345,2.5727,2.7571,20883733.2,2024-06-01
1717286400000,2.7571,3.17,2.7442,3.0035,43092747.0,2024-06-02
