timestamp,open,high,low,close,volume,date
1677196800000,37.24,40.0,35.91,37.95,1092121.53,2023-02-24
1677283200000,37.95,41.7,36.53,40.02,2557980.49,2023-02-25
1677369600000,40.04,45.98,39.7,44.81,3622694.29,2023-02-26
1677456000000,44.81,50.0,43.0,49.0,2761487.33,2023-02-27
1677542400000,49.01,49.8,40.72,41.92,2308403.3,2023-02-28
1677628800000,41.92,46.97,40.81,42.79,2065481.19,2023-03-01
1677715200000,42.8,44.45,38.56,41.06,1485422.56,2023-03-02
1677801600000,41.06,46.22,36.11,39.7,5808233.48,2023-03-03
1677888000000,39.71,41.42,34.87,38.32,3003662.88,2023-03-04
1677974400000,38.32,39.95,35.5,38.69,2593668.33,2023-03-05
1678060800000,38.7,39.37,36.6,38.8,1595619.12,2023-03-06
1678147200000,38.8,40.98,37.99,39.59,2868236.66,2023-03-07
1678233600000,39.59,41.87,36.98,37.64,2978363.09,2023-03-08
1678320000000,37.64,38.36,35.0,35.21,2094177.37,2023-03-09
1678406400000,35.22,35.51,29.17,33.09,3654687.5,2023-03-10
1678492800000,33.09,34.2,28.37,31.68,2602448.01,2023-03-11
1678579200000,31.67,35.94,29.74,35.65,3296101.0,2023-03-12
1678665600000,35.66,42.0,35.07,39.09,4185554.35,2023-03-13
1678752000000,39.1,43.21,37.2,39.42,2244086.88,2023-03-14
1678838400000,39.42,41.57,34.58,36.27,2035324.04,2023-03-15
1678924800000,36.27,39.4,35.12,38.92,1700181.97,2023-03-16
1679011200000,38.92,41.0,36.61,40.06,2005050.12,2023-03-17
1679097600000,40.05,41.06,37.0,37.56,1745831.79,2023-03-18
1679184000000,37.57,40.96,37.15,39.36,1582981.77,2023-03-19
1679270400000,39.38,39.85,35.6,36.06,1515443.8,2023-03-20
1679356800000,36.06,38.83,34.59,38.31,1507610.37,2023-03-21
1679443200000,38.3,39.18,33.91,36.37,1571759.54,2023-03-22
1679529600000,36.36,37.48,34.5,36.03,1238798.6,2023-03-23
1679616000000,36.04,36.31,33.48,34.4,1220151.56,2023-03-24
1679702400000,34.4,35.57,33.33,34.3,925695.17,2023-03-25
1679788800000,34.29,38.62,33.86,37.76,2198290.98,2023-03-26
1679875200000,37.77,38.94,34.43,35.49,2951662.74,2023-03-27
1679961600000,35.5,38.67,34.39,37.87,1923500.69,2023-03-28
1680048000000,37.87,39.39,36.65,37.19,1583660.81,2023-03-29
1680134400000,37.19,38.19,34.55,35.46,1621242.07,2023-03-30
1680220800000,35.44,39.2,35.2,37.98,1883067.22,2023-03-31
1680307200000,37.97,38.45,36.79,38.16,788669.19,2023-04-01
1680393600000,38.16,38.58,35.74,36.54,925966.48,2023-04-02
1680480000000,36.53,37.37,35.44,36.87,1034931.67,2023-04-03
1680566400000,36.87,38.84,36.2,38.21,1181745.12,2023-04-04
1680652800000,38.2,40.88,37.5,40.2,1882124.47,2023-04-05
1680739200000,40.2,40.3,37.95,38.87,979682.58,2023-04-06
1680825600000,38.86,39.49,36.86,37.11,820004.62,2023-04-07
1680912000000,37.11,37.92,36.0,36.35,546015.24,2023-04-08
1680998400000,36.34,36.63,34.38,35.2,821577.17,2023-04-09
1681084800000,35.19,36.48,34.5,36.32,822176.65,2023-04-10
1681171200000,36.33,36.96,34.36,34.85,1035673.52,2023-04-11
1681257600000,34.84,34.87,32.59,33.85,1407994.48,2023-04-12
1681344000000,33.86,35.8,32.9,35.15,1126262.94,2023-04-13
1681430400000,35.15,36.63,33.57,35.18,1371434.09,2023-04-14
1681516800000,35.2,35.34,33.71,33.79,730503.46,2023-04-15
1681603200000,33.79,34.84,33.04,34.59,899571.82,2023-04-16
1681689600000,34.59,35.59,33.3,34.86,1119565.18,2023-04-17
1681776000000,34.87,35.98,34.32,35.04,807880.19,2023-04-18
1681862400000,35.05,35.1,30.0,30.63,1314846.32,2023-04-19
1681948800000,30.62,30.8,26.75,27.34,2058155.04,2023-04-20
1682035200000,27.34,28.0,23.68,25.24,2468059.29,2023-04-21
1682121600000,25.25,27.37,24.77,26.71,1391573.79,2023-04-22
1682208000000,26.72,26.86,25.04,26.47,1192397.78,2023-04-23
1682294400000,26.47,28.51,25.75,27.82,3959003.05,2023-04-24
1682380800000,27.82,28.79,26.32,28.56,2179687.73,2023-04-25
1682467200000,28.56,29.1,25.51,27.0,1667545.51,2023-04-26
1682553600000,27.0,27.77,26.21,27.48,1347127.22,2023-04-27
1682640000000,27.48,27.5,25.82,26.15,832521.85,2023-04-28
1682726400000,26.16,26.89,26.03,26.73,588933.59,2023-04-29
1682812800000,26.73,26.94,25.92,26.07,600681.4,2023-04-30
1682899200000,26.06,26.16,24.81,25.53,627542.13,2023-05-01
1682985600000,25.52,25.9,25.08,25.64,580957.79,2023-05-02
1683072000000,25.64,25.68,22.66,24.58,1676328.21,2023-05-03
1683158400000,24.58,24.71,22.74,23.2,1066234.47,2023-05-04
1683244800000,23.2,26.99,22.94,26.53,3688535.18,2023-05-05
1683331200000,26.53,28.52,20.86,21.4,6507376.88,2023-05-06
1683417600000,21.4,22.05,20.46,20.62,3449342.82,2023-05-07
1683504000000,20.61,21.25,17.8,19.09,4396498.72,2023-05-08
1683590400000,19.08,20.15,18.61,19.38,2058422.11,2023-05-09
1683676800000,19.39,21.59,18.72,21.05,2938653.45,2023-05-10
1683763200000,21.05,21.07,18.06,19.38,2776695.06,2023-05-11
1683849600000,19.38,21.29,18.5,20.97,3547269.68,2023-05-12
1683936000000,20.96,21.25,19.81,20.1,1632912.61,2023-05-13
1684022400000,20.1,21.04,19.81,20.55,1092405.5,2023-05-14
1684108800000,20.55,22.68,20.04,21.64,2282651.12,2023-05-15
1684195200000,21.64,22.22,21.05,21.64,1822257.23,2023-05-16
1684281600000,21.64,24.44,20.69,23.49,2480931.31,2023-05-17
1684368000000,23.49,24.32,22.11,23.16,2573742.57,2023-05-18
1684454400000,23.17,24.2,22.51,23.86,1609052.36,2023-05-19
1684540800000,23.86,24.97,23.41,24.06,2222913.78,2023-05-20
1684627200000,24.06,24.6,23.32,23.89,1914081.21,2023-05-21
1684713600000,23.89,25.09,23.04,24.9,2278773.3,2023-05-22
1684800000000,24.9,25.28,23.29,23.32,1760752.32,2023-05-23
1684886400000,23.32,24.45,22.52,23.45,2487218.11,2023-05-24
1684972800000,23.46,23.51,22.56,22.76,1348270.51,2023-05-25
1685059200000,22.76,22.88,22.1,22.48,1036529.59,2023-05-26
1685145600000,22.49,23.0,22.35,22.79,539708.33,2023-05-27
1685232000000,22.79,24.34,22.6,23.98,746906.61,2023-05-28
1685318400000,23.98,24.34,23.39,24.1,935234.9,2023-05-29
1685404800000,24.11,26.39,23.38,25.18,2550896.55,2023-05-30
1685491200000,25.18,25.4,23.2,23.49,1267993.06,2023-05-31
1685577600000,23.49,23.66,22.83,23.33,636092.49,2023-06-01
1685664000000,23.33,24.56,22.85,24.04,1056837.64,2023-06-02
1685750400000,24.04,24.04,22.61,22.87,583476.59,2023-06-03
1685836800000,22.88,23.55,22.65,22.88,708208.92,2023-06-04
1685923200000,22.88,22.94,18.78,20.91,1884014.25,2023-06-05
1686009600000,20.91,22.0,19.71,21.75,1726108.59,2023-06-06
1686096000000,21.76,21.77,19.5,20.15,1539492.03,2023-06-07
1686182400000,20.16,20.65,19.55,20.13,834640.1,2023-06-08
1686268800000,20.13,20.69,19.82,20.25,616531.23,2023-06-09
1686355200000,20.24,20.26,15.16,16.38,3029511.89,2023-06-10
1686441600000,16.38,16.44,15.88,16.02,883894.38,2023-06-11
1686528000000,16.03,16.86,15.39,16.48,1223587.88,2023-06-12
1686614400000,16.48,17.19,15.94,16.54,1084053.01,2023-06-13
1686700800000,16.55,16.84,15.48,15.87,913245.44,2023-06-14
1686787200000,15.87,16.19,15.0,15.89,1161440.06,2023-06-15
