ts_ms,open,high,low,close,volume
2022-06-09 12:00:00+00:00,1.3714,1.4199,1.285,1.3108,68985044.0
2022-06-09 16:00:00+00:00,1.3109,1.33,1.262,1.2807,33327979.0
2022-06-09 20:00:00+00:00,1.2809,1.3725,1.2809,1.3315,42951230.0
2022-06-10 00:00:00+00:00,1.3314,1.4105,1.3101,1.3321,45648042.0
2022-06-10 04:00:00+00:00,1.332,1.3417,1.265,1.2778,30069566.0
2022-06-10 08:00:00+00:00,1.2777,1.29,1.224,1.2644,30953151.0
2022-06-10 12:00:00+00:00,1.2647,1.285,1.1618,1.1978,56864148.0
2022-06-10 16:00:00+00:00,1.1977,1.1989,1.14,1.1613,27208286.0
2022-06-10 20:00:00+00:00,1.1612,1.2927,1.1605,1.2413,44025440.0
2022-06-11 00:00:00+00:00,1.2413,1.2722,1.2121,1.258,22743098.0
2022-06-11 04:00:00+00:00,1.2579,1.3721,1.2348,1.3384,62317392.0
2022-06-11 08:00:00+00:00,1.3384,1.38,1.2357,1.2628,97060467.0
2022-06-11 12:00:00+00:00,1.2636,1.2865,1.17,1.2357,99606458.0
2022-06-11 16:00:00+00:00,1.2353,1.33,1.2064,1.2246,88075510.0
2022-06-11 20:00:00+00:00,1.2246,1.268,1.2009,1.2171,32665153.0
2022-06-12 00:00:00+00:00,1.2173,1.2326,1.0407,1.0412,67743159.0
2022-06-12 04:00:00+00:00,1.041,1.0702,1.0,1.0637,58268033.0
2022-06-12 08:00:00+00:00,1.0637,1.0918,1.0115,1.0423,39938787.0
2022-06-12 12:00:00+00:00,1.0424,1.14,0.9871,1.114,65575477.0
2022-06-12 16:00:00+00:00,1.1141,1.1474,1.083,1.1181,38473652.0
2022-06-12 20:00:00+00:00,1.118,1.28,1.1043,1.1319,61197199.0
2022-06-13 00:00:00+00:00,1.1319,1.1587,0.9138,0.9592,73769042.0
2022-06-13 04:00:00+00:00,0.9594,1.0357,0.9228,0.9436,60983384.0
2022-06-13 08:00:00+00:00,0.9439,0.9659,0.8877,0.9068,68348701.0
2022-06-13 12:00:00+00:00,0.9067,0.9458,0.8747,0.9339,55651023.0
2022-06-13 16:00:00+00:00,0.9338,0.9818,0.9237,0.9412,37431173.0
2022-06-13 20:00:00+00:00,0.9413,1.0461,0.8974,0.9401,47055683.0
2022-06-14 00:00:00+00:00,0.9396,0.9534,0.8288,0.9017,45467135.0
2022-06-14 04:00:00+00:00,0.9019,1.02,0.8783,0.9944,53340843.0
2022-06-14 08:00:00+00:00,0.9945,1.0239,0.9408,0.955,41058083.0
2022-06-14 12:00:00+00:00,0.955,1.0092,0.9327,0.9878,44296038.0
2022-06-14 16:00:00+00:00,0.9878,0.9942,0.9034,0.9207,31668344.0
2022-06-14 20:00:00+00:00,0.9208,0.9356,0.8753,0.924,23732271.0
2022-06-15 00:00:00+00:00,0.9242,0.9359,0.8832,0.8931,19864909.0
2022-06-15 04:00:00+00:00,0.8931,0.8963,0.84,0.849,32139623.0
2022-06-15 08:00:00+00:00,0.8488,0.8871,0.81,0.872,40964507.0
2022-06-15 12:00:00+00:00,0.8716,0.9041,0.8528,0.8729,30022365.0
