timestamp,open,high,low,close,volume,date
1731067200000,0.9156,0.9378,0.8899,0.9223,3461039.0,2024-11-08 12:00
1731081600000,0.9211,1.333,0.8987,1.2684,206214276.0,2024-11-08 16:00
1731096000000,1.2684,1.4588,1.085,1.3953,229900719.0,2024-11-08 20:00
1731110400000,1.3954,2.03,1.3612,1.8979,342116999.0,2024-11-09 00:00
1731124800000,1.8979,2.086,1.8312,1.9912,162168462.0,2024-11-09 04:00
1731139200000,1.9912,1.9973,1.6017,1.6923,223668632.0,2024-11-09 08:00
1731153600000,1.693,1.7076,1.476,1.6891,189554699.0,2024-11-09 12:00
1731168000000,1.6899,1.8617,1.5856,1.7279,185865394.0,2024-11-09 16:00
1731182400000,1.7279,1.8277,1.6466,1.7917,67779993.0,2024-11-09 20:00
1731196800000,1.7919,1.9379,1.6366,1.7942,113187509.0,2024-11-10 00:00
1731211200000,1.7942,1.7986,1.6582,1.7489,51160717.0,2024-11-10 04:00
1731225600000,1.7489,1.91,1.68,1.8396,68243664.0,2024-11-10 08:00
1731240000000,1.8396,1.9015,1.7256,1.7706,70452258.0,2024-11-10 12:00
1731254400000,1.7706,1.8789,1.7126,1.8214,49129789.0,2024-11-10 16:00
1731268800000,1.8216,1.8573,1.7043,1.7761,38802514.0,2024-11-10 20:00
1731283200000,1.7762,1.7825,1.6184,1.6499,34238129.0,2024-11-11 00:00
1731297600000,1.6495,1.6644,1.5599,1.5754,32671974.0,2024-11-11 04:00
1731312000000,1.5754,1.6399,1.5564,1.6209,29517038.0,2024-11-11 08:00
1731326400000,1.6209,1.6281,1.5469,1.5776,26907262.0,2024-11-11 12:00
1731340800000,1.5774,1.5904,1.5424,1.5571,19709128.0,2024-11-11 16:00
1731355200000,1.5568,1.6112,1.4916,1.6048,30227571.0,2024-11-11 20:00
1731369600000,1.6041,1.6077,1.4763,1.5017,28508065.0,2024-11-12 00:00
1731384000000,1.5014,1.51,1.4362,1.4645,19364405.0,2024-11-12 04:00
1731398400000,1.4646,1.5094,1.32,1.3681,39677907.0,2024-11-12 08:00
1731412800000,1.3681,1.3834,1.3108,1.346,32766743.0,2024-11-12 12:00
1731427200000,1.3464,1.373,1.3197,1.3635,16078366.0,2024-11-12 16:00
1731441600000,1.3635,1.4055,1.3446,1.3856,13858129.0,2024-11-12 20:00
1731456000000,1.3852,1.5036,1.3339,1.4237,45493744.0,2024-11-13 00:00
1731470400000,1.4236,1.5448,1.2927,1.2986,57905104.0,2024-11-13 04:00
1731484800000,1.2986,1.3349,1.256,1.2835,24799112.0,2024-11-13 08:00
1731499200000,1.2832,1.311,1.2475,1.292,22150144.0,2024-11-13 12:00
1731513600000,1.2919,1.3155,1.2587,1.2606,19002340.0,2024-11-13 16:00
1731528000000,1.2606,1.287,1.2315,1.2827,11485910.0,2024-11-13 20:00
1731542400000,1.2827,1.2836,1.1796,1.1965,22433641.0,2024-11-14 00:00
1731556800000,1.1963,1.2422,1.1922,1.2189,12044785.0,2024-11-14 04:00
1731571200000,1.2191,1.2246,1.1643,1.1816,12648676.0,2024-11-14 08:00
1731585600000,1.1815,1.1945,1.138,1.1529,16600214.0,2024-11-14 12:00
1731600000000,1.1531,1.1853,1.1471,1.1715,7528180.0,2024-11-14 16:00
1731614400000,1.1714,1.1718,1.1001,1.1264,12779874.0,2024-11-14 20:00
1731628800000,1.1261,1.2044,1.072,1.1847,35246425.0,2024-11-15 00:00
1731643200000,1.1847,1.2466,1.1382,1.2226,34272430.0,2024-11-15 04:00
1731657600000,1.2228,1.2295,1.1913,1.2078,14858880.0,2024-11-15 08:00
1731672000000,1.2078,1.2268,1.1627,1.1782,15849781.0,2024-11-15 12:00
1731686400000,1.1781,1.2161,1.1718,1.2131,8093818.0,2024-11-15 16:00
1731700800000,1.2131,1.2378,1.2113,1.2287,8073653.0,2024-11-15 20:00
1731715200000,1.2287,1.2684,1.2043,1.2365,16147324.0,2024-11-16 00:00
1731729600000,1.2364,1.2414,1.2072,1.2201,6340378.0,2024-11-16 04:00
1731744000000,1.2201,1.2285,1.1846,1.2206,7904080.0,2024-11-16 08:00
1731758400000,1.2206,1.225,1.1744,1.1924,9466473.0,2024-11-16 12:00
1731772800000,1.1926,1.2263,1.1785,1.2178,5487905.0,2024-11-16 16:00
1731787200000,1.2178,1.2274,1.2004,1.2226,4978503.0,2024-11-16 20:00
1731801600000,1.2226,1.2494,1.1378,1.1647,12437223.0,2024-11-17 00:00
1731816000000,1.1646,1.3576,1.1617,1.2938,48237859.0,2024-11-17 04:00
1731830400000,1.2939,1.5954,1.2777,1.5825,72105005.0,2024-11-17 08:00
1731844800000,1.5819,1.5968,1.4101,1.4379,78999654.0,2024-11-17 12:00
1731859200000,1.4375,1.5492,1.4332,1.542,42921394.0,2024-11-17 16:00
1731873600000,1.542,1.6141,1.4228,1.6114,46447245.0,2024-11-17 20:00
1731888000000,1.6114,1.6229,1.4732,1.5268,53514719.0,2024-11-18 00:00
1731902400000,1.5268,1.7163,1.5094,1.6346,69068885.0,2024-11-18 04:00
1731916800000,1.6341,1.6696,1.5704,1.5835,38182271.0,2024-11-18 08:00
1731931200000,1.5838,1.5959,1.5145,1.5412,26193177.0,2024-11-18 12:00
1731945600000,1.5413,1.5448,1.4861,1.4946,12050155.0,2024-11-18 16:00
1731960000000,1.4945,1.5632,1.4843,1.5545,9281976.0,2024-11-18 20:00
1731974400000,1.5543,1.5545,1.4719,1.4778,12332707.0,2024-11-19 00:00
1731988800000,1.4775,1.4826,1.4275,1.4371,11285538.0,2024-11-19 04:00
1732003200000,1.4372,1.4599,1.4247,1.4374,6914416.0,2024-11-19 08:00
1732017600000,1.4375,1.4615,1.4184,1.4415,7274893.0,2024-11-19 12:00
1732032000000,1.4414,1.4575,1.4316,1.4465,3967915.0,2024-11-19 16:00
1732046400000,1.4467,1.4489,1.3878,1.4282,6356619.0,2024-11-19 20:00
1732060800000,1.4282,1.4282,1.3058,1.3456,11238605.0,2024-11-20 00:00
1732075200000,1.3454,1.3638,1.3265,1.3519,5565847.0,2024-11-20 04:00
1732089600000,1.3522,1.362,1.3197,1.3359,4502542.0,2024-11-20 08:00
1732104000000,1.336,1.3679,1.3194,1.3493,6597915.0,2024-11-20 12:00
1732118400000,1.3494,1.3499,1.2798,1.3047,6872568.0,2024-11-20 16:00
1732132800000,1.3048,1.3398,1.295,1.3173,4123004.0,2024-11-20 20:00
1732147200000,1.3173,1.4065,1.3094,1.3322,21277403.0,2024-11-21 00:00
1732161600000,1.3323,1.3447,1.2909,1.3341,9107042.0,2024-11-21 04:00
1732176000000,1.3341,1.3611,1.3171,1.3575,8081066.0,2024-11-21 08:00
1732190400000,1.3576,1.3867,1.3224,1.3526,13766309.0,2024-11-21 12:00
1732204800000,1.3522,1.3896,1.3434,1.359,7404238.0,2024-11-21 16:00
1732219200000,1.3589,1.3797,1.3484,1.3793,2595756.0,2024-11-21 20:00
1732233600000,1.3791,1.3802,1.3245,1.3595,10914331.0,2024-11-22 00:00
1732248000000,1.3598,1.3671,1.3429,1.3441,5695091.0,2024-11-22 04:00
1732262400000,1.3441,1.3931,1.3432,1.3599,8286570.0,2024-11-22 08:00
