ts_ms,open,high,low,close,volume
2022-06-09 12:00:00+00:00,1.871,1.884,1.854,1.878,3968687.0
2022-06-09 16:00:00+00:00,1.877,1.906,1.862,1.867,3516683.0
2022-06-09 20:00:00+00:00,1.868,1.901,1.849,1.889,3487280.0
2022-06-10 00:00:00+00:00,1.888,1.899,1.849,1.876,5237558.0
2022-06-10 04:00:00+00:00,1.877,1.895,1.866,1.866,2204730.0
2022-06-10 08:00:00+00:00,1.866,1.873,1.847,1.858,3040802.0
2022-06-10 12:00:00+00:00,1.858,1.879,1.765,1.796,10434494.0
2022-06-10 16:00:00+00:00,1.796,1.802,1.733,1.759,6194813.0
2022-06-10 20:00:00+00:00,1.759,1.796,1.757,1.77,2645107.0
2022-06-11 00:00:00+00:00,1.771,1.805,1.764,1.794,2417337.0
2022-06-11 04:00:00+00:00,1.795,1.815,1.782,1.799,2378488.0
2022-06-11 08:00:00+00:00,1.798,1.801,1.675,1.682,6737558.0
2022-06-11 12:00:00+00:00,1.683,1.696,1.578,1.593,8903049.0
2022-06-11 16:00:00+00:00,1.594,1.675,1.58,1.657,6890238.0
2022-06-11 20:00:00+00:00,1.656,1.704,1.628,1.648,4590100.0
2022-06-12 00:00:00+00:00,1.647,1.661,1.493,1.514,11328026.0
2022-06-12 04:00:00+00:00,1.514,1.536,1.447,1.509,10091822.0
2022-06-12 08:00:00+00:00,1.509,1.543,1.482,1.507,6208260.0
2022-06-12 12:00:00+00:00,1.506,1.598,1.45,1.562,9780746.0
2022-06-12 16:00:00+00:00,1.562,1.58,1.513,1.53,5821394.0
2022-06-12 20:00:00+00:00,1.529,1.549,1.43,1.433,6689806.0
2022-06-13 00:00:00+00:00,1.433,1.455,1.29,1.325,24493745.0
2022-06-13 04:00:00+00:00,1.326,1.383,1.236,1.26,16276712.0
2022-06-13 08:00:00+00:00,1.261,1.279,1.17,1.194,33902853.0
2022-06-13 12:00:00+00:00,1.193,1.254,1.166,1.24,27910643.0
2022-06-13 16:00:00+00:00,1.24,1.295,1.219,1.256,16817283.0
2022-06-13 20:00:00+00:00,1.257,1.298,1.188,1.237,12550224.0
2022-06-14 00:00:00+00:00,1.238,1.254,1.108,1.221,23786830.0
2022-06-14 04:00:00+00:00,1.222,1.292,1.191,1.28,15425737.0
2022-06-14 08:00:00+00:00,1.281,1.286,1.196,1.212,9399436.0
2022-06-14 12:00:00+00:00,1.213,1.292,1.182,1.287,13765667.0
2022-06-14 16:00:00+00:00,1.286,1.359,1.271,1.347,20143076.0
2022-06-14 20:00:00+00:00,1.347,1.388,1.29,1.346,19255021.0
2022-06-15 00:00:00+00:00,1.346,1.486,1.344,1.433,45330945.0
2022-06-15 04:00:00+00:00,1.433,1.433,1.357,1.38,48195502.0
2022-06-15 08:00:00+00:00,1.379,1.44,1.308,1.413,58915001.0
2022-06-15 12:00:00+00:00,1.414,1.431,1.33,1.351,32367355.0
2022-06-15 16:00:00+00:00,1.351,1.456,1.281,1.41,43513045.0
2022-06-15 20:00:00+00:00,1.411,1.539,1.393,1.524,12662627.0
2022-06-16 00:00:00+00:00,1.524,1.56,1.463,1.469,11884372.0
2022-06-16 04:00:00+00:00,1.469,1.534,1.422,1.428,10359497.0
2022-06-16 08:00:00+00:00,1.428,1.447,1.33,1.359,15230283.0
2022-06-16 12:00:00+00:00,1.36,1.42,1.335,1.398,20109623.0
2022-06-16 16:00:00+00:00,1.398,1.434,1.359,1.377,9852754.0
2022-06-16 20:00:00+00:00,1.377,1.431,1.318,1.359,9106603.0
2022-06-17 00:00:00+00:00,1.359,1.423,1.339,1.357,11220861.0
2022-06-17 04:00:00+00:00,1.357,1.425,1.351,1.405,7020645.0
2022-06-17 08:00:00+00:00,1.406,1.421,1.365,1.387,6364983.0
2022-06-17 12:00:00+00:00,1.386,1.392,1.339,1.365,9526560.0
2022-06-17 16:00:00+00:00,1.364,1.374,1.33,1.342,7223823.0
2022-06-17 20:00:00+00:00,1.341,1.384,1.341,1.371,4374724.0
2022-06-18 00:00:00+00:00,1.372,1.383,1.325,1.337,5287649.0
2022-06-18 04:00:00+00:00,1.337,1.351,1.22,1.234,10145617.0
2022-06-18 08:00:00+00:00,1.234,1.269,1.2,1.256,9499837.0
2022-06-18 12:00:00+00:00,1.255,1.257,1.221,1.23,4553079.0
2022-06-18 16:00:00+00:00,1.23,1.248,1.166,1.169,8432384.0
2022-06-18 20:00:00+00:00,1.169,1.266,1.127,1.247,15974862.0
2022-06-19 00:00:00+00:00,1.247,1.266,1.169,1.187,8012987.0
2022-06-19 04:00:00+00:00,1.186,1.222,1.156,1.182,8113387.0
2022-06-19 08:00:00+00:00,1.183,1.302,1.172,1.279,11216635.0
2022-06-19 12:00:00+00:00,1.279,1.299,1.235,1.275,8510780.0
2022-06-19 16:00:00+00:00,1.274,1.297,1.23,1.28,7349174.0
