timestamp,open,high,low,close,volume,date
1678449600000,1.73,1.774,1.6301,1.6943,14297002.1,2023-03-10 12:00
1678464000000,1.6944,1.9068,1.6812,1.8628,18197183.0,2023-03-10 16:00
1678478400000,1.863,2.2655,1.8,2.1186,24045896.6,2023-03-10 20:00
1678492800000,2.12,2.2914,2.0686,2.1551,44429491.1,2023-03-11 00:00
1678507200000,2.1551,2.38,1.7518,1.843,54986478.8,2023-03-11 04:00
1678521600000,1.843,2.13,1.7649,2.0268,48626955.9,2023-03-11 08:00
1678536000000,2.0261,2.0651,1.9102,1.9475,26383219.7,2023-03-11 12:00
1678550400000,1.9472,2.1026,1.8287,2.0086,34593697.3,2023-03-11 16:00
1678564800000,2.0083,2.17,1.99,2.1129,23763185.5,2023-03-11 20:00
1678579200000,2.1128,2.1999,1.9981,2.1837,20589798.9,2023-03-12 00:00
1678593600000,2.1837,2.223,2.0859,2.098,20827525.2,2023-03-12 04:00
1678608000000,2.098,2.18,2.067,2.1445,27012275.0,2023-03-12 08:00
1678622400000,2.1446,2.1462,1.9985,2.0609,30250070.8,2023-03-12 12:00
1678636800000,2.0608,2.141,1.9477,2.007,34357067.0,2023-03-12 16:00
1678651200000,2.007,2.17,2.0063,2.1549,14768784.3,2023-03-12 20:00
1678665600000,2.1561,2.321,2.023,2.2045,24651533.0,2023-03-13 00:00
1678680000000,2.2046,2.45,2.1596,2.4339,26003039.5,2023-03-13 04:00
1678694400000,2.4321,2.589,2.32,2.4858,40539922.4,2023-03-13 08:00
1678708800000,2.4875,2.87,2.4737,2.6942,57869937.2,2023-03-13 12:00
1678723200000,2.6941,2.977,2.671,2.7454,37546369.2,2023-03-13 16:00
1678737600000,2.7452,2.789,2.5777,2.7041,19857464.9,2023-03-13 20:00
1678752000000,2.7043,3.278,2.6277,3.2267,47410493.7,2023-03-14 00:00
1678766400000,3.2267,3.363,3.009,3.0533,36744791.8,2023-03-14 04:00
1678780800000,3.0515,3.15,2.9669,3.0873,27109607.9,2023-03-14 08:00
1678795200000,3.0888,3.8659,3.025,3.5342,71802821.0,2023-03-14 12:00
1678809600000,3.5342,3.5806,2.902,3.0774,34218937.8,2023-03-14 16:00
1678824000000,3.0766,3.0773,2.7218,2.9679,37712043.0,2023-03-14 20:00
1678838400000,2.9679,3.19,2.9092,2.969,18045708.1,2023-03-15 00:00
1678852800000,2.969,3.33,2.9322,3.2069,25161002.9,2023-03-15 04:00
1678867200000,3.2077,3.2096,2.7709,2.9353,19947766.4,2023-03-15 08:00
1678881600000,2.9355,2.981,2.5342,2.6441,28431309.4,2023-03-15 12:00
1678896000000,2.6442,2.84,2.502,2.7169,32723443.6,2023-03-15 16:00
1678910400000,2.7169,2.8847,2.6868,2.7503,12771245.5,2023-03-15 20:00
1678924800000,2.7503,2.85,2.5434,2.7814,18166678.9,2023-03-16 00:00
