ts_ms,open,high,low,close,volume
2022-06-09 12:00:00+00:00,61.44,61.64,60.55,61.27,432091.773
2022-06-09 16:00:00+00:00,61.29,61.85,60.1,60.18,330081.804
2022-06-09 20:00:00+00:00,60.17,60.35,59.11,60.17,395472.909
2022-06-10 00:00:00+00:00,60.18,60.38,58.35,59.87,419094.523
2022-06-10 04:00:00+00:00,59.86,60.35,59.61,59.9,243691.625
2022-06-10 08:00:00+00:00,59.89,60.23,58.78,59.24,368277.615
2022-06-10 12:00:00+00:00,59.23,59.53,56.26,57.44,808227.756
2022-06-10 16:00:00+00:00,57.44,58.12,55.5,56.63,785729.727
2022-06-10 20:00:00+00:00,56.63,57.23,55.99,56.63,237873.716
2022-06-11 00:00:00+00:00,56.62,57.71,56.54,57.52,274407.252
2022-06-11 04:00:00+00:00,57.52,57.75,56.95,57.46,216499.716
2022-06-11 08:00:00+00:00,57.46,57.57,54.66,55.27,621964.297
2022-06-11 12:00:00+00:00,55.26,55.78,51.6,52.61,1163144.418
2022-06-11 16:00:00+00:00,52.6,53.93,51.88,52.8,695461.172
2022-06-11 20:00:00+00:00,52.8,53.33,51.71,52.14,531887.68
2022-06-12 00:00:00+00:00,52.14,52.6,48.72,49.69,817476.719
2022-06-12 04:00:00+00:00,49.68,50.19,48.39,50.01,744279.941
2022-06-12 08:00:00+00:00,50.01,50.66,49.13,49.86,423102.149
2022-06-12 12:00:00+00:00,49.88,52.59,48.7,51.3,777143.739
2022-06-12 16:00:00+00:00,51.31,51.65,50.15,50.28,477760.252
2022-06-12 20:00:00+00:00,50.29,50.51,47.23,47.88,548516.947
2022-06-13 00:00:00+00:00,47.89,48.27,44.01,45.38,1606961.247
2022-06-13 04:00:00+00:00,45.37,46.6,42.53,44.4,1432922.359
2022-06-13 08:00:00+00:00,44.39,44.52,41.4,42.11,2017347.153
2022-06-13 12:00:00+00:00,42.11,43.83,40.95,43.17,1688241.105
2022-06-13 16:00:00+00:00,43.17,44.94,42.79,43.88,1161365.023
2022-06-13 20:00:00+00:00,43.88,45.36,42.05,43.44,669481.553
2022-06-14 00:00:00+00:00,43.43,44.7,40.29,44.46,1412575.114
2022-06-14 04:00:00+00:00,44.46,45.78,42.98,45.49,1013853.741
2022-06-14 08:00:00+00:00,45.49,45.59,43.37,44.01,766021.825
2022-06-14 12:00:00+00:00,44.01,46.39,43.4,45.53,1050282.919
2022-06-14 16:00:00+00:00,45.52,45.86,44.38,45.28,593233.221
2022-06-14 20:00:00+00:00,45.29,46.49,44.02,46.13,662411.184
2022-06-15 00:00:00+00:00,46.13,46.68,44.58,44.69,589799.875
2022-06-15 04:00:00+00:00,44.7,44.76,42.55,43.2,837734.622
2022-06-15 08:00:00+00:00,43.21,44.77,41.59,44.3,1251059.681
2022-06-15 12:00:00+00:00,44.3,45.39,43.99,44.91,812163.295
2022-06-15 16:00:00+00:00,44.9,49.48,43.38,48.29,1703360.748
2022-06-15 20:00:00+00:00,48.28,50.97,47.96,50.63,696259.502
2022-06-16 00:00:00+00:00,50.64,51.2,49.63,49.66,580449.646
2022-06-16 04:00:00+00:00,49.67,49.94,47.09,47.29,499630.341
2022-06-16 08:00:00+00:00,47.29,47.98,44.49,45.0,897065.214
2022-06-16 12:00:00+00:00,44.99,46.34,44.34,45.57,966053.033
2022-06-16 16:00:00+00:00,45.56,46.73,45.01,45.47,562517.22
2022-06-16 20:00:00+00:00,45.45,46.07,43.92,44.76,564235.87
2022-06-17 00:00:00+00:00,44.76,47.05,44.38,45.68,888048.326
2022-06-17 04:00:00+00:00,45.67,47.76,45.56,47.39,546900.607
2022-06-17 08:00:00+00:00,47.4,47.59,46.15,46.73,527375.662
2022-06-17 12:00:00+00:00,46.74,46.92,45.53,46.1,692880.064
2022-06-17 16:00:00+00:00,46.1,46.54,45.77,46.17,295040.066
2022-06-17 20:00:00+00:00,46.17,48.37,46.15,47.56,628974.078
2022-06-18 00:00:00+00:00,47.56,48.2,46.72,47.45,628909.458
2022-06-18 04:00:00+00:00,47.45,48.32,44.05,44.53,1079767.996
2022-06-18 08:00:00+00:00,44.54,45.8,43.6,45.13,852413.527
2022-06-18 12:00:00+00:00,45.14,46.17,44.75,44.86,702892.121
2022-06-18 16:00:00+00:00,44.87,45.35,42.55,42.66,889827.347
2022-06-18 20:00:00+00:00,42.68,47.5,41.45,47.11,1397643.183
2022-06-19 00:00:00+00:00,47.13,47.26,45.22,45.28,814323.789
