ts_ms,open,high,low,close,volume
2022-06-09 12:00:00+00:00,55.86,56.71,55.18,56.19,98138.422
2022-06-09 18:00:00+00:00,56.19,56.32,54.62,55.36,74440.337
2022-06-10 00:00:00+00:00,55.35,55.75,53.5,55.08,119307.116
2022-06-10 06:00:00+00:00,55.11,55.48,53.7,54.54,95062.612
2022-06-10 12:00:00+00:00,54.55,54.96,50.78,51.54,181652.517
2022-06-10 18:00:00+00:00,51.54,52.07,50.2,51.44,93098.902
2022-06-11 00:00:00+00:00,51.44,52.34,51.06,51.58,89909.753
2022-06-11 06:00:00+00:00,51.57,52.5,47.13,47.67,355382.41
2022-06-11 12:00:00+00:00,47.67,48.19,44.55,45.48,267192.22
2022-06-11 18:00:00+00:00,45.47,46.53,44.8,45.53,118274.626
2022-06-12 00:00:00+00:00,45.53,45.85,40.57,41.54,264076.256
2022-06-12 06:00:00+00:00,41.52,44.04,41.45,42.75,171387.853
2022-06-12 12:00:00+00:00,42.76,45.69,41.67,44.28,200927.165
2022-06-12 18:00:00+00:00,44.27,44.49,40.99,41.07,145316.372
2022-06-13 00:00:00+00:00,41.07,41.39,36.55,36.96,386919.242
2022-06-13 06:00:00+00:00,36.96,37.88,33.73,34.34,424054.648
2022-06-13 12:00:00+00:00,34.35,37.38,33.49,36.04,405854.638
2022-06-13 18:00:00+00:00,36.06,37.6,34.3,35.76,199143.004
2022-06-14 00:00:00+00:00,35.76,37.1,32.34,36.81,352315.047
2022-06-14 06:00:00+00:00,36.8,37.18,34.39,34.76,320838.341
2022-06-14 12:00:00+00:00,34.76,36.36,33.81,35.23,278925.456
2022-06-14 18:00:00+00:00,35.24,35.61,33.05,35.0,221791.115
2022-06-15 00:00:00+00:00,35.0,35.58,30.7,31.16,310209.178
2022-06-15 06:00:00+00:00,31.12,31.73,29.38,31.5,548616.661
2022-06-15 12:00:00+00:00,31.51,33.11,30.23,31.88,500976.793
2022-06-15 18:00:00+00:00,31.89,35.66,29.91,35.56,563974.942
2022-06-16 00:00:00+00:00,35.57,36.3,33.79,33.85,230077.793
2022-06-16 06:00:00+00:00,33.84,33.94,30.79,31.28,249960.46
2022-06-16 12:00:00+00:00,31.28,32.51,30.57,31.59,292658.001
2022-06-16 18:00:00+00:00,31.57,31.78,29.27,30.25,293849.029
2022-06-17 00:00:00+00:00,30.25,31.95,29.76,31.64,258648.636
2022-06-17 06:00:00+00:00,31.64,32.48,31.27,31.63,236403.587
2022-06-17 12:00:00+00:00,31.63,32.17,30.71,31.46,271940.738
2022-06-17 18:00:00+00:00,31.46,33.01,31.17,32.26,265583.338
2022-06-18 00:00:00+00:00,32.27,33.03,31.33,31.68,235419.994
2022-06-18 06:00:00+00:00,31.69,31.91,28.33,29.67,364636.476
2022-06-18 12:00:00+00:00,29.68,30.0,28.82,29.01,193995.978
2022-06-18 18:00:00+00:00,29.03,29.4,26.2,28.67,446264.23
2022-06-19 00:00:00+00:00,28.67,29.3,27.16,27.56,252532.478
2022-06-19 06:00:00+00:00,27.56,30.47,27.28,30.07,309040.825
2022-06-19 12:00:00+00:00,30.08,30.52,29.32,29.99,247765.113
2022-06-19 18:00:00+00:00,29.97,32.65,29.96,31.99,274162.854
2022-06-20 00:00:00+00:00,31.99,32.27,30.05,30.94,218795.64
2022-06-20 06:00:00+00:00,30.94,34.06,30.9,33.87,529233.941
2022-06-20 12:00:00+00:00,33.88,35.16,32.71,33.73,356178.665
2022-06-20 18:00:00+00:00,33.78,35.52,32.98,34.82,338057.613
2022-06-21 00:00:00+00:00,34.8,43.65,33.89,42.69,1425765.809
2022-06-21 06:00:00+00:00,42.67,43.45,40.71,41.04,1812316.196
2022-06-21 12:00:00+00:00,41.02,44.65,40.81,40.94,1386312.412
2022-06-21 18:00:00+00:00,40.96,41.78,38.86,39.4,583529.977
2022-06-22 00:00:00+00:00,39.42,39.78,37.75,38.64,458525.771
2022-06-22 06:00:00+00:00,38.63,39.49,37.13,39.01,437482.485
2022-06-22 12:00:00+00:00,39.04,42.04,37.91,39.14,597446.564
2022-06-22 18:00:00+00:00,39.15,40.49,38.62,39.49,258266.5
2022-06-23 00:00:00+00:00,39.51,41.82,39.44,41.37,325801.941
2022-06-23 06:00:00+00:00,41.37,44.66,40.71,43.33,495376.713
2022-06-23 12:00:00+00:00,43.33,43.66,41.19,42.21,399382.969
2022-06-23 18:00:00+00:00,42.22,43.95,42.02,43.01,426165.834
2022-06-24 00:00:00+00:00,42.99,44.99,42.24,42.58,284453.024
2022-06-24 06:00:00+00:00,42.59,43.59,41.45,43.16,300482.924
2022-06-24 12:00:00+00:00,43.16,45.78,42.24,44.35,418328.178
2022-06-24 18:00:00+00:00,44.36,47.47,44.01,46.34,296286.687
2022-06-25 00:00:00+00:00,46.32,51.72,45.47,50.32,666050.115
2022-06-25 06:00:00+00:00,50.33,51.17,48.58,48.82,615068.605
2022-06-25 12:00:00+00:00,48.82,49.87,47.2,49.24,1028638.634
2022-06-25 18:00:00+00:00,49.23,56.6,48.82,55.0,1057310.798
2022-06-26 00:00:00+00:00,54.99,55.1,52.18,52.98,522947.156
2022-06-26 06:00:00+00:00,52.99,55.31,52.33,55.26,475007.558
2022-06-26 12:00:00+00:00,55.24,55.37,51.64,51.78,574580.582
2022-06-26 18:00:00+00:00,51.79,53.8,50.09,50.65,387017.677
2022-06-27 00:00:00+00:00,50.65,52.55,49.71,52.12,246244.437
2022-06-27 06:00:00+00:00,52.12,53.8,51.48,51.59,246134.945
2022-06-27 12:00:00+00:00,51.59,51.97,48.21,48.56,362590.306
2022-06-27 18:00:00+00:00,48.56,50.35,47.83,49.69,251339.576
2022-06-28 00:00:00+00:00,49.68,51.63,48.0,49.58,307124.245
2022-06-28 06:00:00+00:00,49.59,51.86,49.59,50.47,282456.3
2022-06-28 12:00:00+00:00,50.45,51.8,48.53,49.25,353459.395
2022-06-28 18:00:00+00:00,49.24,51.31,45.81,46.61,418107.921
2022-06-29 00:00:00+00:00,46.61,49.17,46.37,47.62,295695.345
2022-06-29 06:00:00+00:00,47.63,48.56,46.21,47.56,356820.816
2022-06-29 12:00:00+00:00,47.56,48.55,46.06,47.84,333741.436
2022-06-29 18:00:00+00:00,47.85,51.81,47.15,49.69,368385.713
2022-06-30 00:00:00+00:00,49.7,50.49,47.26,47.64,413100.719
2022-06-30 06:00:00+00:00,47.61,48.23,43.6,44.07,382702.803
2022-06-30 12:00:00+00:00,44.07,45.26,42.82,44.96,356939.312
2022-06-30 18:00:00+00:00,44.96,47.58,43.72,47.46,235007.137
2022-07-01 00:00:00+00:00,47.47,49.77,45.53,46.26,315110.387
2022-07-01 06:00:00+00:00,46.23,47.99,45.15,46.04,239612.087
2022-07-01 12:00:00+00:00,46.05,47.84,45.6,47.72,282582.361
2022-07-01 18:00:00+00:00,47.74,48.89,46.8,47.46,200299.64
2022-07-02 00:00:00+00:00,47.46,47.93,45.32,46.44,264473.391
2022-07-02 06:00:00+00:00,46.44,46.92,45.46,46.12,105422.771
2022-07-02 12:00:00+00:00,46.12,47.42,45.83,46.94,216616.578
2022-07-02 18:00:00+00:00,46.95,47.57,46.43,47.44,135855.092
2022-07-03 00:00:00+00:00,47.44,47.82,45.83,46.17,168930.086
2022-07-03 06:00:00+00:00,46.19,49.19,46.03,48.68,298956.769
2022-07-03 12:00:00+00:00,48.66,49.77,47.37,49.61,530306.016
2022-07-03 18:00:00+00:00,49.6,50.6,48.92,49.39,447241.178
2022-07-04 00:00:00+00:00,49.39,49.44,47.18,48.02,248211.286
2022-07-04 06:00:00+00:00,48.01,49.22,47.53,49.03,193461.093
2022-07-04 12:00:00+00:00,49.06,50.0,47.89,48.96,244653.988
2022-07-04 18:00:00+00:00,48.93,49.66,48.18,49.32,190084.695
2022-07-05 00:00:00+00:00,49.29,50.42,48.43,49.38,183234.531
2022-07-05 06:00:00+00:00,49.37,50.27,46.19,46.31,247659.448
2022-07-05 12:00:00+00:00,46.32,46.35,44.9,45.55,456147.932
