ts_ms,open,high,low,close,volume
2022-06-09 12:00:00+00:00,92.46,93.96,91.96,93.75,108416.141
2022-06-09 18:00:00+00:00,93.75,93.78,90.45,91.22,98921.155
2022-06-10 00:00:00+00:00,91.2,93.16,89.3,92.22,80696.534
2022-06-10 06:00:00+00:00,92.24,92.44,90.0,90.66,57759.532
2022-06-10 12:00:00+00:00,90.68,90.98,86.4,87.59,174537.544
2022-06-10 18:00:00+00:00,87.59,88.0,85.8,86.28,69395.521
2022-06-11 00:00:00+00:00,86.3,87.75,83.67,86.75,93484.732
2022-06-11 06:00:00+00:00,86.74,88.26,81.84,82.57,129545.657
2022-06-11 12:00:00+00:00,82.53,83.52,77.2,79.81,256233.119
2022-06-11 18:00:00+00:00,79.82,81.46,78.31,79.58,78823.437
2022-06-12 00:00:00+00:00,79.59,80.69,73.73,74.79,192220.072
2022-06-12 06:00:00+00:00,74.77,77.98,74.52,76.78,110982.84
2022-06-12 12:00:00+00:00,76.8,80.51,74.38,79.31,187106.615
2022-06-12 18:00:00+00:00,79.3,84.31,78.76,79.0,300806.097
2022-06-13 00:00:00+00:00,78.98,80.7,70.23,70.7,392457.914
2022-06-13 06:00:00+00:00,70.72,72.16,64.65,65.81,443982.896
2022-06-13 12:00:00+00:00,65.8,68.93,62.8,66.95,407095.505
2022-06-13 18:00:00+00:00,66.96,69.46,63.19,65.58,198297.291
2022-06-14 00:00:00+00:00,65.6,67.52,59.87,66.81,323520.667
2022-06-14 06:00:00+00:00,66.81,67.77,62.15,63.19,290950.565
2022-06-14 12:00:00+00:00,63.22,65.67,61.47,63.4,198174.7
2022-06-14 18:00:00+00:00,63.38,64.52,60.95,63.99,130206.965
2022-06-15 00:00:00+00:00,64.0,64.61,59.89,60.67,183198.378
2022-06-15 06:00:00+00:00,60.63,62.25,57.23,61.56,362910.456
2022-06-15 12:00:00+00:00,61.61,64.46,60.81,64.11,285492.314
2022-06-15 18:00:00+00:00,64.12,68.93,60.96,68.54,343774.044
