ts_ms,open,high,low,close,volume
2022-06-09 12:00:00+00:00,0.3953,0.4007,0.3905,0.3992,9404783.3
2022-06-09 18:00:00+00:00,0.3989,0.3996,0.3872,0.3927,7371842.9
2022-06-10 00:00:00+00:00,0.3927,0.3942,0.3826,0.3891,12366173.2
2022-06-10 06:00:00+00:00,0.3892,0.3915,0.3758,0.3815,8268643.0
2022-06-10 12:00:00+00:00,0.3813,0.3838,0.3554,0.3601,21323888.7
2022-06-10 18:00:00+00:00,0.3599,0.3685,0.3565,0.3604,6426425.6
2022-06-11 00:00:00+00:00,0.3606,0.3686,0.3586,0.3633,6089573.3
2022-06-11 06:00:00+00:00,0.3633,0.3693,0.3418,0.3434,15631820.7
2022-06-11 12:00:00+00:00,0.3437,0.3469,0.3227,0.3337,19868003.2
2022-06-11 18:00:00+00:00,0.3337,0.3412,0.3282,0.332,14319156.9
2022-06-12 00:00:00+00:00,0.3322,0.334,0.2981,0.3009,23993028.8
2022-06-12 06:00:00+00:00,0.3009,0.3145,0.3002,0.309,15339907.2
2022-06-12 12:00:00+00:00,0.309,0.3284,0.2983,0.3195,19730747.1
2022-06-12 18:00:00+00:00,0.3196,0.3202,0.2965,0.2972,14349905.3
2022-06-13 00:00:00+00:00,0.2971,0.3011,0.2676,0.2692,31619125.6
2022-06-13 06:00:00+00:00,0.2692,0.2724,0.2397,0.2453,45839196.9
2022-06-13 12:00:00+00:00,0.2454,0.2606,0.239,0.254,41306707.1
2022-06-13 18:00:00+00:00,0.254,0.2665,0.2416,0.2519,19942654.4
2022-06-14 00:00:00+00:00,0.252,0.2578,0.2242,0.2542,38955904.4
2022-06-14 06:00:00+00:00,0.2541,0.2582,0.2393,0.2434,22981394.1
2022-06-14 12:00:00+00:00,0.2436,0.2544,0.2376,0.2435,28303173.0
2022-06-14 18:00:00+00:00,0.2435,0.2547,0.2367,0.251,22249561.0
2022-06-15 00:00:00+00:00,0.251,0.2567,0.2315,0.236,20614830.7
2022-06-15 06:00:00+00:00,0.236,0.2569,0.2231,0.2378,76646004.9
2022-06-15 12:00:00+00:00,0.2378,0.244,0.2292,0.2387,24767213.1
2022-06-15 18:00:00+00:00,0.2388,0.2742,0.2278,0.2739,41889426.7
2022-06-16 00:00:00+00:00,0.2739,0.319,0.2727,0.3051,223457931.9
2022-06-16 06:00:00+00:00,0.3051,0.3093,0.2728,0.2773,252007346.6
2022-06-16 12:00:00+00:00,0.2774,0.2916,0.2689,0.2792,175546754.8
2022-06-16 18:00:00+00:00,0.2791,0.2835,0.2578,0.2612,105397454.4
2022-06-17 00:00:00+00:00,0.2613,0.2715,0.2528,0.2648,60936439.0
2022-06-17 06:00:00+00:00,0.2648,0.2725,0.2604,0.2662,41260271.3
2022-06-17 12:00:00+00:00,0.2663,0.2695,0.2585,0.2633,35364156.5
2022-06-17 18:00:00+00:00,0.2635,0.2721,0.262,0.2679,13729315.7
2022-06-18 00:00:00+00:00,0.268,0.2765,0.2617,0.2661,20506734.0
2022-06-18 06:00:00+00:00,0.266,0.2715,0.2373,0.247,47824863.5
2022-06-18 12:00:00+00:00,0.247,0.249,0.2379,0.2419,20480107.8
2022-06-18 18:00:00+00:00,0.2419,0.2509,0.2225,0.2475,42205964.8
2022-06-19 00:00:00+00:00,0.2476,0.2512,0.2307,0.2331,30867901.4
2022-06-19 06:00:00+00:00,0.2332,0.2585,0.2319,0.252,30209375.8
2022-06-19 12:00:00+00:00,0.252,0.2591,0.2465,0.2495,20468006.3
2022-06-19 18:00:00+00:00,0.2494,0.2693,0.249,0.2637,21667043.4
2022-06-20 00:00:00+00:00,0.2637,0.2662,0.2504,0.258,17441855.6
2022-06-20 06:00:00+00:00,0.2578,0.2781,0.2571,0.2754,38095708.8
2022-06-20 12:00:00+00:00,0.2754,0.285,0.2706,0.2734,42576934.1
2022-06-20 18:00:00+00:00,0.2736,0.2778,0.2674,0.2752,19725459.3
2022-06-21 00:00:00+00:00,0.2752,0.2943,0.2727,0.2909,49572871.6
2022-06-21 06:00:00+00:00,0.2906,0.2986,0.282,0.2835,27987242.2
2022-06-21 12:00:00+00:00,0.2836,0.2948,0.2833,0.2855,22754155.1
2022-06-21 18:00:00+00:00,0.2855,0.288,0.2757,0.2798,16406787.7
2022-06-22 00:00:00+00:00,0.28,0.2802,0.266,0.2733,20025796.3
2022-06-22 06:00:00+00:00,0.2732,0.2872,0.2668,0.2842,19962730.9
2022-06-22 12:00:00+00:00,0.2842,0.3042,0.274,0.2771,70563163.7
2022-06-22 18:00:00+00:00,0.2772,0.2821,0.2678,0.2702,18412057.8
2022-06-23 00:00:00+00:00,0.2702,0.2875,0.2687,0.2832,19260302.4
2022-06-23 06:00:00+00:00,0.2831,0.2889,0.2803,0.2819,18724049.4
2022-06-23 12:00:00+00:00,0.2816,0.2859,0.2727,0.2772,18958950.8
2022-06-23 18:00:00+00:00,0.2772,0.2943,0.2758,0.2902,25227702.2
2022-06-24 00:00:00+00:00,0.2902,0.2967,0.2873,0.2887,29762485.3
2022-06-24 06:00:00+00:00,0.2888,0.3028,0.2874,0.2986,27777433.7
2022-06-24 12:00:00+00:00,0.2988,0.3036,0.2928,0.2982,27121324.3
2022-06-24 18:00:00+00:00,0.2982,0.3067,0.2964,0.3022,16684682.7
2022-06-25 00:00:00+00:00,0.3021,0.3133,0.2981,0.3059,22456280.6
2022-06-25 06:00:00+00:00,0.3061,0.3121,0.3035,0.3041,12685144.8
2022-06-25 12:00:00+00:00,0.3039,0.3059,0.2889,0.2964,16998365.4
2022-06-25 18:00:00+00:00,0.2963,0.313,0.2956,0.3108,13257325.9
2022-06-26 00:00:00+00:00,0.311,0.3153,0.3035,0.3111,15579731.2
2022-06-26 06:00:00+00:00,0.3111,0.3333,0.3091,0.3276,43792556.3
2022-06-26 12:00:00+00:00,0.3276,0.3455,0.3181,0.3192,91354331.8
2022-06-26 18:00:00+00:00,0.3191,0.3296,0.3105,0.3147,39911480.2
2022-06-27 00:00:00+00:00,0.3148,0.3255,0.3091,0.3223,39176524.7
2022-06-27 06:00:00+00:00,0.3224,0.3513,0.3216,0.3326,125827396.9
2022-06-27 12:00:00+00:00,0.3324,0.3361,0.3162,0.3209,48678533.4
2022-06-27 18:00:00+00:00,0.3206,0.3332,0.3131,0.3233,32707282.9
2022-06-28 00:00:00+00:00,0.3232,0.3422,0.3192,0.3246,46093984.5
2022-06-28 06:00:00+00:00,0.3247,0.3373,0.3245,0.3328,19999622.0
2022-06-28 12:00:00+00:00,0.3328,0.3385,0.3214,0.3229,21419311.9
2022-06-28 18:00:00+00:00,0.3228,0.3254,0.314,0.3174,18326162.1
2022-06-29 00:00:00+00:00,0.3175,0.3273,0.3134,0.3227,21111997.4
2022-06-29 06:00:00+00:00,0.3229,0.3453,0.3118,0.3334,76855854.7
2022-06-29 12:00:00+00:00,0.3335,0.3662,0.3332,0.3463,180192756.3
2022-06-29 18:00:00+00:00,0.3463,0.3677,0.345,0.3506,72343032.0
2022-06-30 00:00:00+00:00,0.3506,0.3521,0.3337,0.3465,65981046.8
2022-06-30 06:00:00+00:00,0.3464,0.3478,0.3232,0.328,83181205.4
2022-06-30 12:00:00+00:00,0.328,0.3365,0.3198,0.3323,43759129.2
2022-06-30 18:00:00+00:00,0.3325,0.333,0.3124,0.3286,46491703.2
2022-07-01 00:00:00+00:00,0.3285,0.3348,0.3031,0.3063,57091397.4
2022-07-01 06:00:00+00:00,0.3063,0.3138,0.2981,0.3018,42470197.9
2022-07-01 12:00:00+00:00,0.3018,0.307,0.2973,0.3059,33256000.8
2022-07-01 18:00:00+00:00,0.3058,0.3115,0.3018,0.305,18459817.4
2022-07-02 00:00:00+00:00,0.3052,0.3088,0.2938,0.2995,22828645.9
2022-07-02 06:00:00+00:00,0.2995,0.3028,0.295,0.2997,16356444.4
2022-07-02 12:00:00+00:00,0.2997,0.3019,0.2948,0.2994,15499894.3
2022-07-02 18:00:00+00:00,0.2993,0.3045,0.2981,0.3,9781889.4
2022-07-03 00:00:00+00:00,0.3002,0.3048,0.2925,0.2945,17233254.0
2022-07-03 06:00:00+00:00,0.2948,0.2971,0.2915,0.2944,9709156.1
2022-07-03 12:00:00+00:00,0.2944,0.2968,0.288,0.2937,12272471.6
2022-07-03 18:00:00+00:00,0.2939,0.3004,0.293,0.2961,11596088.1
2022-07-04 00:00:00+00:00,0.2962,0.2973,0.2853,0.2886,14944355.0
2022-07-04 06:00:00+00:00,0.2887,0.3012,0.2869,0.3001,14360219.4
2022-07-04 12:00:00+00:00,0.3001,0.3021,0.293,0.2968,16273601.0
2022-07-04 18:00:00+00:00,0.2969,0.3031,0.2946,0.3009,14131570.1
2022-07-05 00:00:00+00:00,0.3008,0.3073,0.297,0.3053,18136197.2
2022-07-05 06:00:00+00:00,0.3053,0.3087,0.296,0.2973,27539028.8
2022-07-05 12:00:00+00:00,0.2973,0.301,0.29,0.2982,23721767.6
2022-07-05 18:00:00+00:00,0.2984,0.3098,0.2959,0.301,21243096.3
2022-07-06 00:00:00+00:00,0.3009,0.3071,0.297,0.3038,25293505.1
2022-07-06 06:00:00+00:00,0.3039,0.3057,0.2995,0.3028,14210315.7
2022-07-06 12:00:00+00:00,0.3028,0.3054,0.3003,0.3044,12827716.7
2022-07-06 18:00:00+00:00,0.3042,0.3107,0.3027,0.3075,15370824.2
2022-07-07 00:00:00+00:00,0.3076,0.3084,0.3022,0.3027,8973786.9
2022-07-07 06:00:00+00:00,0.3025,0.3076,0.3019,0.3053,6117742.9
2022-07-07 12:00:00+00:00,0.3054,0.3161,0.3031,0.3122,14491840.2
2022-07-07 18:00:00+00:00,0.3123,0.3185,0.3118,0.3146,9692575.2
2022-07-08 00:00:00+00:00,0.3148,0.3348,0.314,0.3223,38079782.8
2022-07-08 06:00:00+00:00,0.3224,0.3244,0.3117,0.3167,19215678.2
2022-07-08 12:00:00+00:00,0.3167,0.3488,0.3109,0.3214,143741964.9
2022-07-08 18:00:00+00:00,0.3214,0.3252,0.3161,0.3171,26231062.1
2022-07-09 00:00:00+00:00,0.317,0.3333,0.316,0.3247,20081712.1
2022-07-09 06:00:00+00:00,0.3249,0.3335,0.324,0.3263,35671179.4
