n,avg_r,total_r,win_rate,pf,t_stat,trades_per_year,n_symbols_traded,dominant_month_share,dominant_asset_share,gate_diversification,trend_n,pullback_n,side,profitable,gate_avgr,zone_frac,gate_stability,all_gates
2294,0.7727683125251387,1772.730508932668,0.21272885789014823,3.000424750112884,3.1921529767117534,458.8628148959474,203,0.4212552549382188,0.2845628683803108,False,100,20,long_only,True,True,1.0,True,False
2654,0.7178544321628182,1905.1856629601195,0.21966842501883949,2.987187293763946,3.8609192930378997,530.8726725082147,203,0.35446353301029326,0.23056811315483727,False,100,10,long_only,True,True,1.0,True,False
1833,0.6987500206804157,1280.808787907202,0.20294599018003273,2.6399593823345766,3.413903877681956,366.6501916757941,201,0.3480696298697364,0.24911504948532107,False,150,20,long_only,True,True,1.0,True,False
3770,0.6828121242311471,2574.2017083514247,0.21644562334217507,3.1869236553176417,3.165928497053942,754.1032311062431,203,0.47822801058126513,0.30002236413637223,False,50,20,long_only,True,True,1.0,True,False
3928,0.6626214944337521,2602.777230135778,0.24083503054989816,3.166342351595929,3.2133403630207455,785.7075575027382,203,0.4747398946594733,0.2999935430946043,False,50,10,long_only,True,True,1.0,True,False
2191,0.6517265557410445,1427.9328836286286,0.19214970333181197,2.610061705804734,4.111621165132042,438.2599945235487,202,0.3457566787649952,0.19810983475836702,False,150,10,long_only,True,True,1.0,True,False
4441,0.3501038702160285,1554.8112876293826,0.26863319072281017,1.9238490565188946,3.2515926801920845,888.321604600219,203,0.3381177115434437,0.2803947331029975,False,100,10,long_short,True,True,1.0,True,False
3858,0.33677573075987366,1299.2807692715926,0.26620010368066355,1.8304721175381378,2.412776444006455,771.7056407447974,203,0.5424758476987662,0.38170882793682337,False,100,20,long_short,True,True,1.0,True,False
3144,0.31982459948751263,1005.5285407887397,0.24618320610687022,1.7039680736437697,2.7113978690223344,628.8860898138006,203,0.4129193991748943,0.31732988998565165,False,150,20,long_short,True,True,1.0,True,False
6507,0.30230971558126624,1967.1293192872993,0.30567081604426005,1.9672225105092107,2.4912506564816512,1301.5781763417306,203,0.5105011546731325,0.392885112150789,False,50,10,long_short,True,True,1.0,True,False
3667,0.2987601872775006,1095.5536067465946,0.24570493591491682,1.6942192746067422,3.2396273847461505,733.5004107338444,203,0.4079936353892258,0.25422811447916255,False,150,10,long_short,True,True,1.0,True,False
6033,0.2153013446434285,1298.9130122338042,0.27333001823305153,1.6813740393823613,1.6759676980493494,1206.7651971522453,203,0.6449000186972614,0.5783328435433225,False,50,20,long_short,True,False,1.0,True,False
