n,avg_r,total_r,win_rate,pf,t_stat,trades_per_year,n_symbols_traded,dominant_month_share,dominant_asset_share,gate_diversification,entry_n,exit_n,funding_threshold,profitable,gate_avgr,zone_frac,gate_stability,all_gates
21,-0.06525357742985236,-1.3703251260268994,0.42857142857142855,0.8521123418640207,-0.2906144468302095,4.200575027382256,18,1.2315775030497698,2.0439659433126467,False,55,10,0.0003,False,False,0.0,False,False
20,-0.1120907411231931,-2.241814822463862,0.4,0.686040133578273,-0.6148772424329595,4.000547645125958,18,1.2032373844443658,0.9276681634871042,False,55,20,0.0003,False,False,0.0,False,False
159,-0.2695797050096118,-42.86317309652828,0.42138364779874216,0.594608160526361,-2.6867270619670345,31.804353778751366,91,0.4653239840838488,0.1372551896700551,False,20,20,0.0003,False,False,0.0,False,False
162,-0.2698630500536112,-43.71781410868502,0.4074074074074074,0.5510091347434217,-3.063165472516788,32.40443592552026,91,0.6608896546800817,0.1000208059732879,False,20,10,0.0003,False,False,0.0,False,False
5,-0.5665927325196946,-2.832963662598473,0.2,0.17310516181809435,-1.5328857596106278,1.0001369112814895,3,0.49221311548543295,1.15643200686427,False,100,10,0.0003,False,False,0.0,False,False
44,-0.5930052538179408,-26.092231167989393,0.3181818181818182,0.3650869449243162,-2.7686813072697967,8.801204819277109,36,0.4027741403370206,0.19628273969661525,False,20,20,0.0006,False,False,0.0,False,False
44,-0.6646700572654821,-29.245482519681214,0.2727272727272727,0.16418430602132944,-4.5557223396612825,8.801204819277109,36,0.2915901079318157,0.10095682083497624,False,20,10,0.0006,False,False,0.0,False,False
4,-0.8702293589344423,-3.4809174357377692,0.0,0.0,-3.25261308011522,0.8001095290251916,3,0.40059033176380804,0.7624065843837985,False,100,20,0.0003,False,False,0.0,False,False
3,-0.9875568112064786,-2.962670433619436,0.0,0.0,-4.399906775604323,0.6000821467688937,2,0.43656393545091005,0.8143337379298201,False,55,10,0.0006,False,False,0.0,False,False
3,-1.1783848661049408,-3.535154598314822,0.0,0.0,-1.7041509021334853,0.6000821467688937,2,0.6801834543270018,0.9967770836556987,False,55,20,0.0006,False,False,0.0,False,False
1,-1.2933950639449552,-1.2933950639449552,0.0,0.0,,0.2000273822562979,1,,,True,100,10,0.0006,False,False,0.0,False,False
1,-2.40455366626176,-2.40455366626176,0.0,0.0,,0.2000273822562979,1,,,True,100,20,0.0006,False,False,0.0,False,False
