timeframe,filter_mode,consec_n,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r,stability
1d,ema200_price_above,5,20,2.0,179,0.514,0.4696,2.3077,6.29,84.05,1.0
1d,ema200_price_above,5,25,3.0,174,0.5287,0.4315,2.5001,3.73,75.09,1.0
1d,none,6,20,2.0,428,0.5,0.4179,2.0495,12.48,178.88,1.0
1d,none,6,25,3.0,410,0.5366,0.359,2.1546,6.6,147.19,1.0
1d,ema200_price_above,5,15,2.0,187,0.5615,0.3371,2.0515,5.52,63.03,1.0
1d,ema200_price_above,5,25,4.0,173,0.5376,0.321,2.4432,3.02,55.54,1.0
1d,ema200_price_above,5,20,3.0,177,0.548,0.3058,2.2144,4.33,54.13,1.0
1d,none,6,20,3.0,416,0.5481,0.288,2.006,6.73,119.82,1.0
1d,ema200_price_above,5,10,2.0,191,0.5969,0.2869,2.2115,4.52,54.79,1.0
1d,none,6,25,4.0,409,0.5623,0.2798,2.1776,5.06,114.43,1.0
1d,ema200_price_above,5,20,4.0,176,0.5568,0.2324,2.2298,3.18,40.91,1.0
1d,ema200_price_above,4,20,3.0,416,0.512,0.2207,1.7545,7.71,91.8,1.0
1d,none,6,20,4.0,414,0.5628,0.2172,1.9867,5.61,89.91,1.0
1d,ema200_price_above,5,15,3.0,186,0.5645,0.2139,1.9589,4.26,39.78,1.0
1d,none,5,25,4.0,816,0.5025,0.1911,1.7972,5.74,155.95,1.0
1d,ema200_price_above,5,10,3.0,191,0.6073,0.1838,2.1033,3.44,35.1,1.0
1d,ema200_price_above,4,20,4.0,414,0.5217,0.1726,1.7892,5.5,71.46,1.0
1d,ema200_price_above,5,15,4.0,185,0.573,0.1702,2.0631,3.43,31.49,1.0
1d,ema200_price_above,5,5,2.0,198,0.6616,0.1574,2.0786,3.15,31.16,1.0
1d,ema200_price_above,5,10,4.0,190,0.6105,0.1506,2.3261,3.05,28.61,1.0
1d,none,5,20,3.0,851,0.5065,0.1504,1.5045,7.63,127.99,1.0
1d,ema200_price_above,4,15,3.0,440,0.5114,0.146,1.5773,7.32,64.24,1.0
1d,none,5,15,2.0,907,0.5072,0.1394,1.3724,13.21,126.46,1.0
4h,none,7,15,4.0,182,0.6593,0.1362,1.8548,2.12,24.79,1.0
4h,none,7,5,4.0,187,0.6417,0.1347,2.0672,2.58,25.19,1.0
1d,none,5,20,4.0,837,0.5137,0.1164,1.519,6.45,97.4,1.0
1d,ema200_price_above,4,15,4.0,439,0.5216,0.1154,1.6182,5.38,50.65,1.0
4h,none,7,20,3.0,183,0.623,0.1151,1.4454,6.69,21.06,1.0
1d,none,7,25,4.0,168,0.506,0.1038,1.486,7.62,17.43,1.0
1d,none,5,10,2.0,938,0.533,0.1033,1.3251,16.91,96.89,1.0
4h,none,7,20,4.0,181,0.6409,0.1019,1.5028,5.59,18.44,1.0
