symbol,entry_time,exit_time,entry_price,exit_price,stop_loss,net_r,win,bars_held,exit_reason,year
HBAR_USDT,2021-01-27,2021-02-16,0.07946,0.13702,0.047301,1.7899,1,20,time_exit,2021
DOGE_USDT,2021-02-17,2021-03-09,0.049519,0.057912,0.019039,0.2754,1,20,time_exit,2021
ATOM_USDT,2021-02-21,2021-03-13,21.569,19.363,14.773429,-0.3246,0,20,time_exit,2021
ZEN_USDT,2021-02-26,2021-03-18,46.173,56.742,19.415,0.395,1,20,time_exit,2021
ADA_USDT,2021-03-04,2021-03-24,1.11239,1.06902,0.732166,-0.1141,0,20,time_exit,2021
DOT_USDT,2021-03-24,2021-04-13,30.2209,42.9301,23.6742,1.9413,1,20,time_exit,2021
ZEN_USDT,2021-03-24,2021-04-13,46.509,85.144,32.229857,2.7057,1,20,time_exit,2021
ETH_USDT,2021-03-24,2021-04-13,1581.84,2299.19,1340.627143,2.9739,1,20,time_exit,2021
AVAX_USDT,2021-03-24,2021-04-13,25.8387,33.6462,16.5491,0.8405,1,20,time_exit,2021
ATOM_USDT,2021-03-24,2021-04-13,17.424,23.829,13.041,1.4613,1,20,time_exit,2021
LINK_USDT,2021-03-24,2021-04-13,24.8684,35.5217,19.992786,2.185,1,20,time_exit,2021
NEAR_USDT,2021-03-25,2021-04-14,4.8068,6.3349,3.174243,0.936,1,20,time_exit,2021
GRT_USDT,2021-03-25,2021-04-14,1.33753,2.02587,1.000117,2.0401,1,20,time_exit,2021
ZEC_USDT,2021-03-25,2021-04-14,123.02,237.5,97.08,4.4133,1,20,time_exit,2021
DOGE_USDT,2021-03-25,2021-04-14,0.051266,0.121433,0.043367,8.8833,1,20,time_exit,2021
FET_USDT,2021-04-03,2021-04-22,0.63403,0.400537,0.400537,-1.0,0,19,atr_stop,2021
XRP_USDT,2021-04-19,2021-05-09,1.30945,1.5345,0.738036,0.3938,1,20,time_exit,2021
AVAX_USDT,2021-04-19,2021-05-09,26.1827,38.969,17.224071,1.4273,1,20,time_exit,2021
LTC_USDT,2021-04-21,2021-05-11,257.69,377.6,194.337143,1.8927,1,20,time_exit,2021
FIL_USDT,2021-04-21,2021-05-11,147.7287,142.95,110.612271,-0.1287,0,20,time_exit,2021
TRX_USDT,2021-04-25,2021-05-15,0.10176,0.12059,0.0553,0.4053,1,20,time_exit,2021
BCH_USDT,2021-04-25,2021-05-15,758.87,1171.75,468.538571,1.4221,1,20,time_exit,2021
BTC_USDT,2021-04-25,2021-05-15,49066.77,46762.99,41446.455714,-0.3023,0,20,time_exit,2021
