symbol,entry_time,exit_time,net_r,pnl_usd,equity_after,year
HBAR_USDT,2021-01-27 00:00:00+00:00,2021-02-16 00:00:00+00:00,1.7899,44.75,10044.75,2021
DOGE_USDT,2021-02-17 00:00:00+00:00,2021-03-09 00:00:00+00:00,0.2754,6.92,10051.66,2021
ATOM_USDT,2021-02-21 00:00:00+00:00,2021-03-13 00:00:00+00:00,-0.3246,-8.16,10043.51,2021
ZEN_USDT,2021-02-26 00:00:00+00:00,2021-03-18 00:00:00+00:00,0.395,9.92,10053.42,2021
ADA_USDT,2021-03-04 00:00:00+00:00,2021-03-24 00:00:00+00:00,-0.1141,-2.87,10050.56,2021
ATOM_USDT,2021-03-24 00:00:00+00:00,2021-04-13 00:00:00+00:00,1.4613,36.72,10087.27,2021
AVAX_USDT,2021-03-24 00:00:00+00:00,2021-04-13 00:00:00+00:00,0.8405,21.2,10108.47,2021
LINK_USDT,2021-03-24 00:00:00+00:00,2021-04-13 00:00:00+00:00,2.185,55.22,10163.69,2021
ZEN_USDT,2021-03-24 00:00:00+00:00,2021-04-13 00:00:00+00:00,2.7057,68.75,10232.44,2021
DOT_USDT,2021-03-24 00:00:00+00:00,2021-04-13 00:00:00+00:00,1.9413,49.66,10282.1,2021
ETH_USDT,2021-03-24 00:00:00+00:00,2021-04-13 00:00:00+00:00,2.9739,76.44,10358.54,2021
NEAR_USDT,2021-03-25 00:00:00+00:00,2021-04-14 00:00:00+00:00,0.936,24.24,10382.78,2021
GRT_USDT,2021-03-25 00:00:00+00:00,2021-04-14 00:00:00+00:00,2.0401,52.95,10435.74,2021
ZEC_USDT,2021-03-25 00:00:00+00:00,2021-04-14 00:00:00+00:00,4.4133,115.14,10550.88,2021
DOGE_USDT,2021-03-25 00:00:00+00:00,2021-04-14 00:00:00+00:00,8.8833,234.32,10785.19,2021
FET_USDT,2021-04-03 00:00:00+00:00,2021-04-22 00:00:00+00:00,-1.0,-26.96,10758.23,2021
XRP_USDT,2021-04-19 00:00:00+00:00,2021-05-09 00:00:00+00:00,0.3938,10.59,10768.82,2021
AVAX_USDT,2021-04-19 00:00:00+00:00,2021-05-09 00:00:00+00:00,1.4273,38.43,10807.25,2021
FIL_USDT,2021-04-21 00:00:00+00:00,2021-05-11 00:00:00+00:00,-0.1287,-3.48,10803.77,2021
LTC_USDT,2021-04-21 00:00:00+00:00,2021-05-11 00:00:00+00:00,1.8927,51.12,10854.89,2021
BTC_USDT,2021-04-25 00:00:00+00:00,2021-05-15 00:00:00+00:00,-0.3023,-8.2,10846.69,2021
BCH_USDT,2021-04-25 00:00:00+00:00,2021-05-15 00:00:00+00:00,1.4221,38.56,10885.25,2021
TRX_USDT,2021-04-25 00:00:00+00:00,2021-05-15 00:00:00+00:00,0.4053,11.03,10896.28,2021
