consec_n,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r
3,5,2.0,none,4223,0.4996,-0.0362,0.8919,168.15,-152.71
3,5,2.0,ema200_price_above,1930,0.4829,-0.0564,0.8425,113.71,-108.77
3,5,2.0,ema200_price_below,2384,0.5088,-0.0253,0.9211,71.57,-60.29
3,5,3.0,none,4076,0.5123,-0.0389,0.8375,163.56,-158.49
3,5,3.0,ema200_price_above,1859,0.5035,-0.0528,0.7973,101.2,-98.08
3,5,3.0,ema200_price_below,2324,0.5194,-0.0278,0.8754,70.75,-64.7
3,10,2.0,none,3609,0.4871,-0.0195,0.9541,107.37,-70.47
3,10,2.0,ema200_price_above,1685,0.4736,-0.0373,0.9181,77.56,-62.81
3,10,2.0,ema200_price_below,2041,0.4988,-0.005,0.9875,71.67,-10.25
3,10,3.0,none,3367,0.5272,-0.0317,0.8996,118.34,-106.66
3,10,3.0,ema200_price_above,1564,0.507,-0.0564,0.8399,91.45,-88.24
3,10,3.0,ema200_price_below,1931,0.5427,-0.0106,0.9632,55.09,-20.54
3,15,2.0,none,3191,0.445,-0.0303,0.9393,124.05,-96.67
3,15,2.0,ema200_price_above,1523,0.4176,-0.0806,0.8478,128.49,-122.77
3,15,2.0,ema200_price_below,1810,0.4652,0.0047,1.0099,58.2,8.58
3,15,3.0,none,2921,0.5056,-0.0395,0.8953,135.4,-115.44
3,15,3.0,ema200_price_above,1396,0.4706,-0.0948,0.7762,135.01,-132.38
3,15,3.0,ema200_price_below,1671,0.5392,0.0109,1.0321,33.98,18.29
3,20,2.0,none,2876,0.4155,-0.0724,0.8682,228.99,-208.18
3,20,2.0,ema200_price_above,1416,0.3976,-0.0921,0.8396,147.95,-130.45
3,20,2.0,ema200_price_below,1630,0.4387,-0.0447,0.9148,124.61,-72.9
3,20,3.0,none,2589,0.4983,-0.0651,0.8464,191.06,-168.58
3,20,3.0,ema200_price_above,1270,0.4654,-0.1082,0.7684,142.39,-137.44
3,20,3.0,ema200_price_below,1490,0.5322,-0.0139,0.9641,67.65,-20.64
4,5,2.0,none,2024,0.4847,-0.0759,0.7927,160.43,-153.57
4,5,2.0,ema200_price_above,973,0.4615,-0.115,0.7075,118.82,-111.94
4,5,2.0,ema200_price_below,1100,0.51,-0.0385,0.8874,58.9,-42.32
4,5,3.0,none,1951,0.51,-0.056,0.782,112.79,-109.28
4,5,3.0,ema200_price_above,940,0.4872,-0.0863,0.693,86.34,-81.1
4,5,3.0,ema200_price_below,1069,0.5351,-0.0258,0.8893,40.66,-27.59
4,10,2.0,none,1910,0.4565,-0.059,0.8732,136.0,-112.76
4,10,2.0,ema200_price_above,929,0.4446,-0.0938,0.8098,97.77,-87.16
4,10,2.0,ema200_price_below,1034,0.4671,-0.0277,0.9373,59.84,-28.61
4,10,3.0,none,1797,0.5092,-0.057,0.8354,106.53,-102.35
4,10,3.0,ema200_price_above,882,0.4932,-0.0927,0.7586,88.35,-81.74
4,10,3.0,ema200_price_below,983,0.5219,-0.0235,0.9247,42.12,-23.12
4,15,2.0,none,1816,0.4135,-0.0955,0.8224,188.91,-173.47
4,15,2.0,ema200_price_above,886,0.3815,-0.1707,0.6995,158.03,-151.2
4,15,2.0,ema200_price_below,986,0.4381,-0.0363,0.9295,57.36,-35.77
4,15,3.0,none,1676,0.4803,-0.0844,0.7947,142.51,-141.5
4,15,3.0,ema200_price_above,829,0.4427,-0.1497,0.6698,129.44,-124.09
4,15,3.0,ema200_price_below,925,0.5135,-0.0257,0.9314,36.66,-23.73
4,20,2.0,none,1730,0.3809,-0.1052,0.8215,203.83,-181.93
4,20,2.0,ema200_price_above,849,0.3451,-0.1815,0.7089,161.86,-154.11
4,20,2.0,ema200_price_below,940,0.4117,-0.0427,0.9239,59.57,-40.18
4,20,3.0,none,1590,0.4704,-0.0869,0.8101,147.52,-138.2
4,20,3.0,ema200_price_above,790,0.419,-0.162,0.6792,134.73,-127.97
4,20,3.0,ema200_price_below,878,0.5171,-0.0194,0.9535,37.76,-17.08
5,5,2.0,none,902,0.4678,-0.1002,0.7442,94.91,-90.39
5,5,2.0,ema200_price_above,459,0.4466,-0.1553,0.6351,75.76,-71.29
5,5,2.0,ema200_price_below,472,0.4936,-0.0416,0.8822,23.54,-19.64
5,5,3.0,none,871,0.496,-0.0716,0.7387,63.91,-62.4
