symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mae_r,mfe_r,month
FET/USDT,2020-12-19 00:00:00+00:00,2020-12-23 00:00:00+00:00,0.058113902124380945,0.047025119119428554,0.047025119119428554,0.011088783004952392,initial_stop,5,-0.9999999999999999,-1.0022652728813735,0.1971449774644084,2020-12
ETH/USDT,2020-12-17 00:00:00+00:00,2020-12-23 00:00:00+00:00,627.0951449957141,558.2563049614265,558.2563049614265,68.83884003428763,initial_stop,7,-0.9999999999999998,-1.1013425699496349,0.6225388891349788,2020-12
BTC/USDT,2020-12-20 00:00:00+00:00,2021-01-04 00:00:00+00:00,23535.01416545983,29680.4458970878,21415.127489138467,2119.8866763213614,chandelier_stop,16,2.8989435144203726,-0.8113708080115726,5.303630595032708,2021-01
ADA/USDT,2020-12-30 00:00:00+00:00,2021-01-08 00:00:00+00:00,0.17639816715317114,0.2634787054714428,0.14302350437854008,0.03337466277463106,chandelier_stop,10,2.609181069672525,-0.25373041850202643,5.360408704498335,2021-01
BTC/USDT,2021-01-09 00:00:00+00:00,2021-01-11 00:00:00+00:00,39769.16067158806,35002.44604429257,35002.44604429257,4766.714627295491,initial_stop,3,-1.0000000000000004,-1.9613426442716442,0.33164127748693534,2021-01
ETH/USDT,2020-12-29 00:00:00+00:00,2021-01-11 00:00:00+00:00,705.8951459176888,1023.3832979089193,616.0163132591987,89.87883265849008,chandelier_stop,14,3.532401819208988,0.0,7.147788139654102,2021-01
TRX/USDT,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,0.03269909558261757,0.027331860243558166,0.027331860243558166,0.005367235339059402,initial_stop,2,-1.0000000000000002,-1.073009700302585,0.01880007322356697,2021-01
IOST/USDT,2021-01-11 00:00:00+00:00,2021-01-17 00:00:00+00:00,0.009207663809519494,0.019534265679177362,0.007724974285675453,0.0014826895238440419,chandelier_stop,7,6.964776983710638,0.0,11.919107747293552,2021-01
ETH/USDT,2021-01-20 00:00:00+00:00,2021-01-22 00:00:00+00:00,1316.0096307044084,1057.446676339676,1057.446676339676,258.56295436473243,initial_stop,3,-0.9999999999999998,-1.0585415508453855,0.28615997785676495,2021-01
ZRX/USDT,2021-01-07 00:00:00+00:00,2021-02-06 00:00:00+00:00,0.4448797884704364,1.487408339948828,0.3687180962339276,0.07616169223650883,chandelier_stop,31,13.688358554862123,-0.8334871062647785,20.287367128495806,2021-02
