symbol,entry_time,exit_time,net_r,variant
ETH/USDT,2020-12-16 00:00:00+00:00,2020-12-23 00:00:00+00:00,-0.9999999999999998,max3
FET/USDT,2020-12-18 00:00:00+00:00,2020-12-23 00:00:00+00:00,-1.0,max3
BTC/USDT,2020-12-16 00:00:00+00:00,2021-01-04 00:00:00+00:00,4.897129729821177,max3
ETH/USDT,2020-12-27 00:00:00+00:00,2021-01-11 00:00:00+00:00,4.094389313934422,max3
VET/USDT,2020-12-28 00:00:00+00:00,2021-02-15 00:00:00+00:00,6.350154971028294,max3
ETC/USDT,2021-01-04 00:00:00+00:00,2021-02-15 00:00:00+00:00,7.198402357297277,max3
IOST/USDT,2021-01-14 00:00:00+00:00,2021-02-15 00:00:00+00:00,3.833981022116877,max3
ICX/USDT,2021-02-15 00:00:00+00:00,2021-02-23 00:00:00+00:00,-1.0000000000000002,max3
DUSK/USDT,2021-02-16 00:00:00+00:00,2021-02-23 00:00:00+00:00,-1.0000000000000002,max3
IOST/USDT,2021-02-17 00:00:00+00:00,2021-02-28 00:00:00+00:00,-1.0000000000000004,max3
ADA/USDT,2021-02-26 00:00:00+00:00,2021-03-12 00:00:00+00:00,-0.7650518015626002,max3
CELR/USDT,2021-03-05 00:00:00+00:00,2021-03-23 00:00:00+00:00,4.594024307006151,max3
JST/USDT,2021-03-14 00:00:00+00:00,2021-04-06 00:00:00+00:00,5.401572082563433,max3
FET/USDT,2021-03-03 00:00:00+00:00,2021-04-07 00:00:00+00:00,2.085422835926284,max3
BTC/USDT,2021-04-13 00:00:00+00:00,2021-04-18 00:00:00+00:00,-0.9999999999999996,max3
ADA/USDT,2021-04-13 00:00:00+00:00,2021-04-18 00:00:00+00:00,-1.0000000000000002,max3
ICX/USDT,2021-03-27 00:00:00+00:00,2021-04-23 00:00:00+00:00,-1.0,max3
ETC/USDT,2021-05-03 00:00:00+00:00,2021-05-07 00:00:00+00:00,8.891685120821293,max3
QTUM/USDT,2021-05-06 00:00:00+00:00,2021-05-12 00:00:00+00:00,-0.9999999999999998,max3
ZEC/USDT,2021-05-06 00:00:00+00:00,2021-05-13 00:00:00+00:00,-1.0000000000000002,max3
MTL/USDT,2021-07-12 00:00:00+00:00,2021-07-14 00:00:00+00:00,-0.9999999999999998,max3
ETH/USDT,2021-07-30 00:00:00+00:00,2021-09-07 00:00:00+00:00,3.188723634280697,max3
NEAR/USDT,2021-09-07 00:00:00+00:00,2021-09-08 00:00:00+00:00,-1.0000000000000004,max3
FET/USDT,2021-07-25 00:00:00+00:00,2021-09-09 00:00:00+00:00,7.196514528209004,max3
NEAR/USDT,2021-09-08 00:00:00+00:00,2021-09-10 00:00:00+00:00,-1.0,max3
HBAR/USDT,2021-07-30 00:00:00+00:00,2021-09-18 00:00:00+00:00,5.6589028908556775,max3
TRX/USDT,2021-09-12 00:00:00+00:00,2021-09-20 00:00:00+00:00,-0.9999999999999998,max3
