filter_mode,atr_mult,fast_ema,slow_ema,zone_total,zone_pf_gt1,zone_stability_pct,stability_verdict,trades,avg_r,pf,max_dd_r,win_rate_pct,cost_floor_pass
ema50_slope,2.0,10,200,3,3,100.0,PASS,121,0.7095,2.103,-17.59,24.8,True
ema200_price,2.0,30,100,5,5,100.0,PASS,116,0.573,1.828,-12.49,24.1,True
ema50_slope,2.0,10,150,4,4,100.0,PASS,156,0.5604,1.873,-19.0,21.2,True
ema200_price,2.0,20,100,5,5,100.0,PASS,135,0.5052,1.717,-11.56,22.2,True
ema50_slope,2.0,50,200,3,3,100.0,PASS,80,0.4615,1.618,-12.25,21.2,True
ema200_price,2.0,50,200,3,3,100.0,PASS,81,0.451,1.607,-12.65,21.0,True
ema50_slope,3.0,20,200,4,4,100.0,PASS,101,0.4049,1.626,-10.93,19.8,True
ema50_slope,3.0,10,200,3,3,100.0,PASS,120,0.3807,1.706,-12.87,20.8,True
ema200_price,3.0,20,100,5,5,100.0,PASS,135,0.371,1.653,-10.96,23.0,True
ema200_price,2.0,10,200,3,3,100.0,PASS,182,0.3463,1.519,-23.37,19.8,True
ema50_slope,2.0,30,150,5,5,100.0,PASS,111,0.3398,1.453,-18.17,18.0,True
ema200_price,2.0,10,150,4,4,100.0,PASS,195,0.335,1.489,-27.02,18.5,True
ema200_price,3.0,20,50,4,4,100.0,PASS,129,0.3279,1.543,-11.45,24.8,True
ema200_price,2.0,30,150,5,5,100.0,PASS,115,0.3264,1.433,-19.86,18.3,True
ema50_slope,3.0,10,150,4,4,100.0,PASS,155,0.306,1.588,-13.98,19.4,True
ema200_price,3.0,30,150,5,5,100.0,PASS,115,0.2862,1.451,-13.62,19.1,True
ema50_slope,3.0,30,150,5,5,100.0,PASS,111,0.2821,1.449,-13.38,18.9,True
ema50_slope,3.0,50,150,4,4,100.0,PASS,89,0.2741,1.383,-13.39,19.1,True
ema200_price,3.0,50,150,4,4,100.0,PASS,89,0.2578,1.352,-13.39,19.1,True
