symbol,trades,win_rate,total_r,avg_r,profit_factor,wins,losses
XRP/USDT,5,0.2,10.9047,2.1809,3.932,1,4
SUI/USDT,4,0.25,9.8849,2.4712,4.2477,1,3
DOGE/USDT,3,0.3333,5.1039,1.7013,3.5235,1,2
BCH/USDT,3,0.6667,1.344,0.448,2.3258,2,1
TRX/USDT,6,0.1667,1.1565,0.1927,1.2485,1,5
ALGO/USDT,2,0.5,1.149,0.5745,2.1363,1,1
AMP/USDT,1,1.0,0.7347,0.7347,inf,1,0
BTC/USDT,4,0.25,0.5663,0.1416,1.2097,1,3
ASR/USDT,2,0.5,0.2927,0.1464,1.2878,1,1
ADA/USDT,3,0.3333,-0.1154,-0.0385,0.9317,1,2
LINK/USDT,3,0.3333,-0.2007,-0.0669,0.9011,1,2
APT/USDT,2,0.5,-0.2282,-0.1141,0.7754,1,1
ANKR/USDT,1,0.0,-0.2974,-0.2974,0.0,0,1
AUDIO/USDT,1,0.0,-0.4018,-0.4018,0.0,0,1
ALPINE/USDT,1,0.0,-0.4428,-0.4428,0.0,0,1
UNI/USDT,3,0.3333,-0.4825,-0.1608,0.7614,1,2
1000CHEEMS/USDT,1,0.0,-1.0046,-1.0046,0.0,0,1
APE/USDT,1,0.0,-1.0069,-1.0069,0.0,0,1
ARK/USDT,1,0.0,-1.0069,-1.0069,0.0,0,1
AI/USDT,1,0.0,-1.0077,-1.0077,0.0,0,1
ASTR/USDT,1,0.0,-1.0089,-1.0089,0.0,0,1
ALT/USDT,1,0.0,-1.009,-1.009,0.0,0,1
AR/USDT,1,0.0,-1.0094,-1.0094,0.0,0,1
NEAR/USDT,1,0.0,-1.0096,-1.0096,0.0,0,1
AWE/USDT,1,0.0,-1.01,-1.01,0.0,0,1
ARPA/USDT,1,0.0,-1.0143,-1.0143,0.0,0,1
ATOM/USDT,2,0.0,-1.1537,-0.5768,0.0,0,2
AXS/USDT,2,0.0,-1.2118,-0.6059,0.0,0,2
DOT/USDT,2,0.0,-1.2493,-0.6246,0.0,0,2
ALICE/USDT,2,0.0,-1.2618,-0.6309,0.0,0,2
AVAX/USDT,3,0.3333,-1.4055,-0.4685,0.309,1,2
ARB/USDT,2,0.0,-1.4882,-0.7441,0.0,0,2
ALCX/USDT,2,0.0,-1.5315,-0.7658,0.0,0,2
ARDR/USDT,3,0.3333,-1.6898,-0.5633,0.0712,1,2
1INCH/USDT,2,0.0,-1.765,-0.8825,0.0,0,2
ADX/USDT,3,0.0,-1.849,-0.6163,0.0,0,3
SOL/USDT,4,0.25,-2.0063,-0.5016,0.3423,1,3
1000SATS/USDT,2,0.0,-2.0168,-1.0084,0.0,0,2
AUCTION/USDT,2,0.0,-2.0184,-1.0092,0.0,0,2
ARKM/USDT,2,0.0,-2.02,-1.01,0.0,0,2
AAVE/USDT,2,0.0,-2.0263,-1.0132,0.0,0,2
AGLD/USDT,2,0.0,-2.0293,-1.0147,0.0,0,2
AVA/USDT,2,0.0,-2.032,-1.016,0.0,0,2
ICP/USDT,3,0.0,-2.2287,-0.7429,0.0,0,3
API3/USDT,3,0.0,-3.0258,-1.0086,0.0,0,3
ETH/USDT,3,0.0,-3.0545,-1.0182,0.0,0,3
LTC/USDT,3,0.0,-3.0598,-1.0199,0.0,0,3
BNB/USDT,3,0.0,-3.0729,-1.0243,0.0,0,3
ACH/USDT,4,0.0,-3.218,-0.8045,0.0,0,4
ATM/USDT,5,0.0,-3.54,-0.708,0.0,0,5
