label,n_trades,total_r,avg_r,win_rate,profit_factor,max_dd_r
BTC/USDT,5,430.2382,86.0476,40.0,160.1598,-2.0609
BCH/USDT,4,9.3187,2.3297,75.0,10.1832,-1.0148
ETH/USDT,4,4.8621,1.2155,25.0,2.5902,-3.0575
AAVE/USDT,5,4.6527,0.9305,60.0,3.9902,-1.0159
1MBABYDOGE/USDT,1,0.0453,0.0453,100.0,inf,0.0
AMP/USDT,2,0.0004,0.0002,100.0,inf,0.0
ACT/USDT,1,-0.2505,-0.2505,0.0,0.0,0.0
ALCX/USDT,3,-0.3355,-0.1118,66.67,0.6351,-0.9193
ANKR/USDT,4,-0.3697,-0.0924,75.0,0.004,0.0
AUCTION/USDT,3,-0.6413,-0.2138,66.67,0.3666,-1.0124
ASR/USDT,4,-0.6613,-0.1653,75.0,0.3506,-1.0183
AXL/USDT,2,-0.6642,-0.3321,0.0,0.0,-0.463
ARDR/USDT,5,-0.6707,-0.1341,80.0,0.1697,-0.8077
DOT/USDT,3,-0.8486,-0.2829,66.67,0.1707,-1.0233
1000CHEEMS/USDT,2,-0.853,-0.4265,50.0,0.1517,-1.0056
BABY/USDT,2,-0.8606,-0.4303,0.0,0.0,-0.6594
AVA/USDT,3,-0.9487,-0.3162,66.67,0.0692,-1.0193
AVNT/USDT,1,-0.954,-0.954,0.0,0.0,0.0
AGLD/USDT,3,-0.978,-0.326,66.67,0.0345,-1.0129
NEAR/USDT,2,-0.9969,-0.4985,50.0,0.0135,-1.0106
1INCH/USDT,3,-1.0014,-0.3338,66.67,0.0072,-1.0087
AIXBT/USDT,1,-1.0035,-1.0035,0.0,0.0,0.0
ALT/USDT,2,-1.0054,-0.5027,50.0,0.0045,-1.01
ANIME/USDT,1,-1.0064,-1.0064,0.0,0.0,0.0
ARPA/USDT,2,-1.0142,-0.5071,50.0,0.0011,-1.0153
ACM/USDT,1,-1.0269,-1.0269,0.0,0.0,0.0
AXS/USDT,3,-1.0714,-0.3571,33.33,0.1167,-1.213
ACE/USDT,2,-1.1015,-0.5507,0.0,0.0,-1.0076
ALPINE/USDT,3,-1.1221,-0.374,33.33,0.2333,-0.4432
BNB/USDT,4,-1.3093,-0.3273,25.0,0.5743,-3.0759
ARB/USDT,3,-1.4769,-0.4923,33.33,0.0086,-1.4896
AVAX/USDT,4,-1.4802,-0.37,50.0,0.273,-1.7031
LINK/USDT,4,-1.6208,-0.4052,50.0,0.2023,-1.7347
APT/USDT,5,-1.6437,-0.3287,40.0,0.1347,-1.4597
AUDIO/USDT,5,-1.6821,-0.3364,40.0,0.003,-1.1716
ADX/USDT,4,-1.7177,-0.4294,50.0,0.0024,-1.7219
ATA/USDT,5,-1.8465,-0.3693,40.0,0.0011,-1.7576
AWE/USDT,3,-1.8599,-0.62,0.0,0.0,-1.644
ALICE/USDT,4,-1.9081,-0.477,25.0,0.0044,-1.263
APE/USDT,3,-2.0097,-0.6699,33.33,0.0068,-1.0079
DOGE/USDT,5,-2.0895,-0.4179,40.0,0.0012,-2.0245
ATOM/USDT,4,-2.1115,-0.5279,25.0,0.0298,-1.1548
ICP/USDT,4,-2.2115,-0.5529,25.0,0.0087,-2.2309
AI/USDT,4,-2.2143,-0.5536,0.0,0.0,-2.167
ASTR/USDT,4,-2.2627,-0.5657,25.0,0.0005,-2.0261
UNI/USDT,5,-2.264,-0.4528,40.0,0.0765,-1.9049
ALGO/USDT,4,-2.4888,-0.6222,25.0,0.0018,-2.031
AR/USDT,4,-2.5077,-0.6269,25.0,0.0297,-1.9515
SOL/USDT,5,-2.5229,-0.5046,20.0,0.3805,-2.0365
ADA/USDT,6,-2.5613,-0.4269,33.33,0.0085,-2.2955
ARKM/USDT,4,-3.0092,-0.7523,25.0,0.0068,-2.022
ARK/USDT,3,-3.0274,-1.0091,0.0,0.0,-2.0204
1000SATS/USDT,4,-3.4331,-0.8583,0.0,0.0,-3.0256
API3/USDT,5,-3.4494,-0.6899,20.0,0.0025,-3.0288
SUI/USDT,5,-4.0354,-0.8071,20.0,0.0058,-3.0467
ACH/USDT,8,-4.1654,-0.5207,25.0,0.0001,-3.6115
LTC/USDT,6,-4.249,-0.7082,16.67,0.0753,-3.7392
ATM/USDT,7,-4.5691,-0.6527,14.29,0.001,-3.5435
TRX/USDT,7,-4.6579,-0.6654,28.57,0.0001,-4.6585
XRP/USDT,8,-4.7097,-0.5887,37.5,0.0068,-3.7036
