timeframe,side,extra_cost_r_per_trade,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
1d,ALL,0.0,223,348.6367417512716,1.563393460768034,-0.5322039504079376,0.35874439461883406,3.9898817759229663,-52.13206940161988,315.5776370107389,-1.0504699339161827,23,22.567651309451847,1.0345092057510221
1d,ALL,0.02,223,344.1767417512716,1.5433934607680342,-0.5522039504079376,0.17040358744394618,3.865953044924523,-54.41206940161991,315.5576370107389,-1.0704699339161827,25,22.56765130945185,1.0212750554016559
1d,ALL,0.05,223,337.48674175127155,1.513393460768034,-0.5822039504079376,0.14798206278026907,3.684109343695702,-57.832069401619876,315.5276370107389,-1.1004699339161828,29,22.567651309451847,1.0014238298776061
1d,ALL,0.1,223,326.3367417512716,1.463393460768034,-0.6322039504079375,0.1210762331838565,3.4102993975495792,-63.82416407320095,315.4776370107389,-1.1504699339161828,29,22.567651309451847,0.96833845400419
1d,ALL,0.15,223,315.1867417512715,1.4133934607680336,-0.6822039504079376,0.09865470852017937,3.168686058408822,-70.22416407320102,315.4276370107389,-1.2004699339161826,30,22.56765130945185,0.9352530781307737
1d,ALL,0.2,223,304.0367417512715,1.3633934607680336,-0.7322039504079376,0.08968609865470852,2.955528911335392,-76.62416407320089,315.3776370107389,-1.2504699339161827,30,22.56765130945185,0.9021677022573577
1d,LONG,0.0,223,348.6367417512716,1.563393460768034,-0.5322039504079376,0.35874439461883406,3.9898817759229663,-52.13206940161988,315.5776370107389,-1.0504699339161827,23,22.567651309451847,1.0345092057510221
1d,LONG,0.02,223,344.1767417512716,1.5433934607680342,-0.5522039504079376,0.17040358744394618,3.865953044924523,-54.41206940161991,315.5576370107389,-1.0704699339161827,25,22.56765130945185,1.0212750554016559
1d,LONG,0.05,223,337.48674175127155,1.513393460768034,-0.5822039504079376,0.14798206278026907,3.684109343695702,-57.832069401619876,315.5276370107389,-1.1004699339161828,29,22.567651309451847,1.0014238298776061
1d,LONG,0.1,223,326.3367417512716,1.463393460768034,-0.6322039504079375,0.1210762331838565,3.4102993975495792,-63.82416407320095,315.4776370107389,-1.1504699339161828,29,22.567651309451847,0.96833845400419
1d,LONG,0.15,223,315.1867417512715,1.4133934607680336,-0.6822039504079376,0.09865470852017937,3.168686058408822,-70.22416407320102,315.4276370107389,-1.2004699339161826,30,22.56765130945185,0.9352530781307737
1d,LONG,0.2,223,304.0367417512715,1.3633934607680336,-0.7322039504079376,0.08968609865470852,2.955528911335392,-76.62416407320089,315.3776370107389,-1.2504699339161827,30,22.56765130945185,0.9021677022573577
ALL_TF,ALL,0.0,223,348.6367417512716,1.563393460768034,-0.5322039504079376,0.35874439461883406,3.9898817759229663,-52.13206940161988,315.5776370107389,-1.0504699339161827,23,22.567651309451847,1.0345092057510221
ALL_TF,ALL,0.02,223,344.1767417512716,1.5433934607680342,-0.5522039504079376,0.17040358744394618,3.865953044924523,-54.41206940161991,315.5576370107389,-1.0704699339161827,25,22.56765130945185,1.0212750554016559
ALL_TF,ALL,0.05,223,337.48674175127155,1.513393460768034,-0.5822039504079376,0.14798206278026907,3.684109343695702,-57.832069401619876,315.5276370107389,-1.1004699339161828,29,22.567651309451847,1.0014238298776061
ALL_TF,ALL,0.1,223,326.3367417512716,1.463393460768034,-0.6322039504079375,0.1210762331838565,3.4102993975495792,-63.82416407320095,315.4776370107389,-1.1504699339161828,29,22.567651309451847,0.96833845400419
ALL_TF,ALL,0.15,223,315.1867417512715,1.4133934607680336,-0.6822039504079376,0.09865470852017937,3.168686058408822,-70.22416407320102,315.4276370107389,-1.2004699339161826,30,22.56765130945185,0.9352530781307737
ALL_TF,ALL,0.2,223,304.0367417512715,1.3633934607680336,-0.7322039504079376,0.08968609865470852,2.955528911335392,-76.62416407320089,315.3776370107389,-1.2504699339161827,30,22.56765130945185,0.9021677022573577
