timeframe,side,block_size,trades,mc_runs,total_r_p05,total_r_p50,total_r_p95,dd_r_p05,dd_r_p50,dd_r_p95,pf_p05,pf_p50,pf_p95,prob_total_r_positive,prob_pf_above_1
1d,ALL,1,223,2000,-90.7016261005648,291.6956232285429,967.5858857009337,-94.77863267957434,-55.601451054672864,-30.105496620350472,0.23726327558400517,3.5532380980190093,9.21278363910121,0.857,0.857
1d,ALL,3,223,2000,-91.72806429212528,318.9930676826434,987.3755821395627,-97.78854733776431,-55.33066311899853,-28.704118943260138,0.23890111064869787,3.5508378831853227,9.779913844767496,0.8675,0.8675
1d,ALL,5,223,2000,-92.36939998424391,332.9007383043064,975.2106546587686,-99.32070309126298,-54.69895380825978,-28.717798840322594,0.2296277632980711,3.688308490347185,9.452623708136196,0.861,0.861
1d,ALL,10,223,2000,-89.28402406033406,327.6567737313569,933.6994528979606,-99.40231641017277,-54.72847690408027,-28.75000213512716,0.25329789874827213,3.7028755982515147,9.21624319508039,0.873,0.873
1d,ALL,20,223,2000,-85.57478495866539,324.63238913769555,908.7797640532134,-98.63074007197045,-54.81918173389257,-28.21712600352571,0.2714607933867464,3.6921283179983297,8.8957324226528,0.867,0.867
1d,LONG,1,223,2000,-90.58339536207512,274.14048075879555,978.2483560701198,-96.2340388053121,-55.61977448592921,-30.03358589421972,0.23015926552752583,3.4111565474890164,9.518000106215334,0.8635,0.8635
1d,LONG,3,223,2000,-92.45348679192637,271.56039472174723,964.7749658247751,-97.932345327712,-57.1105806349632,-29.231606797069304,0.22858810056003834,3.441659341595243,9.38251021696953,0.8645,0.8645
1d,LONG,5,223,2000,-91.2773967324753,293.3290387053248,960.7278234263948,-98.45069654423168,-55.211284048993676,-28.434314990049256,0.2340945278738277,3.511438949022282,9.34198964515832,0.8705,0.8705
1d,LONG,10,223,2000,-86.12078092887553,325.0336511469178,953.7787514791413,-98.47741730105574,-54.74792034757458,-29.127515423231674,0.26552730194087576,3.6165374090215927,9.140419609664788,0.88,0.88
1d,LONG,20,223,2000,-80.32578073689214,317.81517819673024,896.6732883183739,-96.63461737328875,-54.063742051409406,-27.86333195955798,0.2876871599630169,3.576847603085818,8.669104890408768,0.8835,0.8835
ALL_TF,ALL,1,223,2000,-86.7966683774016,326.11293726136665,976.433579792906,-94.3718989108452,-54.630576177146125,-30.34463371511902,0.2548713472756755,3.596098342355679,9.480593729795196,0.88,0.88
ALL_TF,ALL,3,223,2000,-92.54524366821774,316.6426264078142,1000.9263478271023,-98.96520499138268,-56.594596466358624,-29.952506559554134,0.2286626039829614,3.5634061440968745,9.778046337741339,0.8595,0.8595
ALL_TF,ALL,5,223,2000,-89.31835452541537,298.87195095415086,983.0764368238603,-101.1968987186521,-55.22016581554323,-29.94290139953517,0.23852734257433636,3.4961571233476407,9.596437760964122,0.8575,0.8575
ALL_TF,ALL,10,223,2000,-92.5041524016006,309.1079429821028,972.4185173385181,-99.97496252891061,-54.63315097639495,-28.726625368317055,0.24596387699407757,3.5837944398533486,9.54787724002754,0.865,0.865
ALL_TF,ALL,20,223,2000,-86.69017338001912,324.33632120910795,928.7244846035355,-100.31109995454588,-52.90475167698136,-27.551426848539638,0.2559502271934954,3.6501100415209415,8.776809371069001,0.881,0.881
