time,open,high,low,close,volume
2021-11-04 04:00:00+00:00,4.462,4.493,4.455,4.462,201783.7
2021-11-04 05:00:00+00:00,4.463,4.483,4.414,4.419,242029.9
2021-11-04 06:00:00+00:00,4.418,4.525,4.412,4.502,278375.6
2021-11-04 07:00:00+00:00,4.503,4.54,4.377,4.388,390720.1
2021-11-04 08:00:00+00:00,4.388,4.459,4.379,4.386,301037.6
2021-11-04 09:00:00+00:00,4.386,4.419,4.351,4.394,207882.7
2021-11-04 10:00:00+00:00,4.394,4.443,4.389,4.441,223430.1
2021-11-04 11:00:00+00:00,4.439,4.475,4.371,4.416,288510.8
2021-11-04 12:00:00+00:00,4.413,4.453,4.399,4.441,210245.6
2021-11-04 13:00:00+00:00,4.441,4.51,4.424,4.467,514412.4
2021-11-04 14:00:00+00:00,4.469,4.574,4.467,4.554,749101.0
2021-11-04 15:00:00+00:00,4.553,4.609,4.323,4.499,2414540.5
2021-11-04 16:00:00+00:00,4.499,4.51,4.39,4.465,1035924.1
2021-11-04 17:00:00+00:00,4.465,4.5,4.382,4.389,612809.6
2021-11-04 18:00:00+00:00,4.385,4.453,4.365,4.367,370980.6
2021-11-04 19:00:00+00:00,4.365,4.421,4.363,4.416,227378.8
2021-11-04 20:00:00+00:00,4.414,4.44,4.379,4.428,166335.6
2021-11-04 21:00:00+00:00,4.428,4.464,4.426,4.447,145399.6
2021-11-04 22:00:00+00:00,4.447,4.533,4.411,4.497,325700.7
2021-11-04 23:00:00+00:00,4.498,4.56,4.484,4.507,368138.2
2021-11-05 00:00:00+00:00,4.505,4.525,4.401,4.403,267812.3
2021-11-05 01:00:00+00:00,4.402,4.466,4.401,4.462,208370.7
2021-11-05 02:00:00+00:00,4.464,4.478,4.432,4.434,160619.0
2021-11-05 03:00:00+00:00,4.434,4.483,4.433,4.46,178153.6
2021-11-05 04:00:00+00:00,4.461,4.506,4.459,4.486,158771.1
2021-11-05 05:00:00+00:00,4.486,4.565,4.467,4.553,272020.8
2021-11-05 06:00:00+00:00,4.551,4.57,4.518,4.551,400479.8
2021-11-05 07:00:00+00:00,4.552,4.611,4.517,4.552,587342.2
2021-11-05 08:00:00+00:00,4.553,4.572,4.502,4.516,265257.6
2021-11-05 09:00:00+00:00,4.518,4.531,4.45,4.464,259074.1
2021-11-05 10:00:00+00:00,4.464,4.521,4.464,4.481,352050.0
2021-11-05 11:00:00+00:00,4.482,4.519,4.429,4.446,311754.2
2021-11-05 12:00:00+00:00,4.444,4.484,4.427,4.477,302176.6
2021-11-05 13:00:00+00:00,4.477,4.56,4.475,4.507,464804.9
2021-11-05 14:00:00+00:00,4.507,4.523,4.446,4.451,410278.4
2021-11-05 15:00:00+00:00,4.452,4.463,4.381,4.391,464732.2
2021-11-05 16:00:00+00:00,4.389,4.427,4.379,4.423,244405.5
2021-11-05 17:00:00+00:00,4.423,4.444,4.404,4.441,143577.9
2021-11-05 18:00:00+00:00,4.443,4.456,4.432,4.448,149593.5
2021-11-05 19:00:00+00:00,4.45,4.45,4.39,4.426,163183.2
2021-11-05 20:00:00+00:00,4.426,4.426,4.367,4.38,199969.6
2021-11-05 21:00:00+00:00,4.38,4.419,4.376,4.383,135034.0
2021-11-05 22:00:00+00:00,4.383,4.425,4.379,4.402,111724.3
2021-11-05 23:00:00+00:00,4.4,4.412,4.37,4.393,159184.6
2021-11-06 00:00:00+00:00,4.39,4.409,4.356,4.393,241232.3
2021-11-06 01:00:00+00:00,4.392,4.452,4.369,4.439,301270.9
2021-11-06 02:00:00+00:00,4.439,4.462,4.389,4.407,153457.8
2021-11-06 03:00:00+00:00,4.407,4.412,4.368,4.4,181399.6
2021-11-06 04:00:00+00:00,4.399,4.413,4.379,4.396,122163.1
2021-11-06 05:00:00+00:00,4.396,4.45,4.39,4.43,228401.7
2021-11-06 06:00:00+00:00,4.429,4.437,4.394,4.411,143985.8
2021-11-06 07:00:00+00:00,4.41,4.415,4.329,4.37,273722.9
2021-11-06 08:00:00+00:00,4.372,4.401,4.343,4.358,218191.6
2021-11-06 09:00:00+00:00,4.358,4.466,4.344,4.391,513433.6
2021-11-06 10:00:00+00:00,4.391,4.479,4.348,4.356,516636.2
2021-11-06 11:00:00+00:00,4.356,4.49,4.133,4.246,1922381.8
2021-11-06 12:00:00+00:00,4.242,4.281,4.175,4.232,497194.4
2021-11-06 13:00:00+00:00,4.232,4.292,4.23,4.285,171898.3
2021-11-06 14:00:00+00:00,4.285,4.338,4.249,4.332,298677.6
2021-11-06 15:00:00+00:00,4.332,4.349,4.306,4.321,211959.3
2021-11-06 16:00:00+00:00,4.322,4.348,4.283,4.334,234753.7
2021-11-06 17:00:00+00:00,4.334,4.34,4.317,4.328,135489.5
2021-11-06 18:00:00+00:00,4.328,4.376,4.324,4.37,173219.4
2021-11-06 19:00:00+00:00,4.371,4.385,4.341,4.376,192699.1
2021-11-06 20:00:00+00:00,4.377,4.435,4.365,4.417,318750.0
2021-11-06 21:00:00+00:00,4.415,4.441,4.405,4.435,195721.2
