time,open,high,low,close,volume
2021-11-04 04:00:00+00:00,11.81,11.91,11.76,11.76,22864.69
2021-11-04 08:00:00+00:00,11.76,11.95,11.72,11.8,28872.91
2021-11-04 12:00:00+00:00,11.8,12.06,11.64,11.72,41607.95
2021-11-04 16:00:00+00:00,11.7,11.71,11.55,11.61,30950.0
2021-11-04 20:00:00+00:00,11.6,11.93,11.55,11.83,76634.17
2021-11-05 00:00:00+00:00,11.83,11.91,11.71,11.77,21183.12
2021-11-05 04:00:00+00:00,11.77,11.84,11.71,11.8,10949.86
2021-11-05 08:00:00+00:00,11.81,11.82,11.6,11.63,33199.02
2021-11-05 12:00:00+00:00,11.62,11.87,11.59,11.67,25444.35
2021-11-05 16:00:00+00:00,11.67,11.82,11.65,11.7,17635.09
2021-11-05 20:00:00+00:00,11.72,12.11,11.65,12.09,64352.25
2021-11-06 00:00:00+00:00,12.09,12.29,11.88,12.14,189899.59
2021-11-06 04:00:00+00:00,12.15,12.15,11.87,11.92,18856.17
2021-11-06 08:00:00+00:00,11.9,12.09,11.59,11.66,29103.61
2021-11-06 12:00:00+00:00,11.67,12.13,11.58,11.92,157686.84
2021-11-06 16:00:00+00:00,11.91,12.01,11.82,11.93,19744.09
2021-11-06 20:00:00+00:00,11.93,11.96,11.83,11.95,10929.6
2021-11-07 00:00:00+00:00,11.95,11.98,11.8,11.85,13285.46
2021-11-07 04:00:00+00:00,11.87,11.89,11.75,11.81,9956.44
2021-11-07 08:00:00+00:00,11.81,12.93,11.79,12.68,114646.67
2021-11-07 12:00:00+00:00,12.69,13.9,12.24,12.57,323580.16
2021-11-07 16:00:00+00:00,12.57,12.62,11.92,12.08,90067.77
2021-11-07 20:00:00+00:00,12.08,12.25,12.04,12.23,24196.64
2021-11-08 00:00:00+00:00,12.23,12.24,11.85,11.93,49322.88
2021-11-08 04:00:00+00:00,11.95,12.01,11.71,11.8,35151.0
2021-11-08 08:00:00+00:00,11.79,11.91,11.7,11.88,32146.37
2021-11-08 12:00:00+00:00,11.88,12.0,11.78,11.92,38378.7
2021-11-08 16:00:00+00:00,11.92,11.92,11.73,11.76,22926.45
2021-11-08 20:00:00+00:00,11.75,11.89,11.71,11.82,23031.25
2021-11-09 00:00:00+00:00,11.82,11.83,11.72,11.8,10570.81
2021-11-09 04:00:00+00:00,11.8,11.83,11.7,11.72,13548.15
2021-11-09 08:00:00+00:00,11.73,11.84,11.63,11.68,21523.32
2021-11-09 12:00:00+00:00,11.69,11.88,11.6,11.79,36227.26
2021-11-09 16:00:00+00:00,11.79,11.82,11.65,11.74,23359.53
2021-11-09 20:00:00+00:00,11.73,11.78,11.63,11.67,12768.33
2021-11-10 00:00:00+00:00,11.69,12.29,11.65,12.08,62660.98
2021-11-10 04:00:00+00:00,12.08,12.5,11.99,12.04,60734.67
2021-11-10 08:00:00+00:00,12.02,12.06,11.81,11.85,33847.69
2021-11-10 12:00:00+00:00,11.84,11.95,11.74,11.9,30652.56
2021-11-10 16:00:00+00:00,11.88,12.0,11.65,11.66,34989.34
2021-11-10 20:00:00+00:00,11.66,11.77,11.21,11.52,49926.8
2021-11-11 00:00:00+00:00,11.53,11.99,11.38,11.66,18175.65
2021-11-11 04:00:00+00:00,11.67,11.72,11.6,11.68,13086.71
2021-11-11 08:00:00+00:00,11.66,11.73,11.51,11.6,12269.6
2021-11-11 12:00:00+00:00,11.62,11.77,11.51,11.7,18808.26
2021-11-11 16:00:00+00:00,11.72,11.99,11.65,11.72,33277.22
2021-11-11 20:00:00+00:00,11.73,11.8,11.55,11.72,13100.87
2021-11-12 00:00:00+00:00,11.72,11.8,11.6,11.75,8745.13
2021-11-12 04:00:00+00:00,11.75,11.8,11.53,11.63,13989.19
2021-11-12 08:00:00+00:00,11.61,11.76,11.4,11.56,18579.53
2021-11-12 12:00:00+00:00,11.58,11.7,11.47,11.62,25443.23
2021-11-12 16:00:00+00:00,11.59,11.7,11.44,11.6,18781.16
2021-11-12 20:00:00+00:00,11.6,11.7,11.58,11.64,10244.43
2021-11-13 00:00:00+00:00,11.63,11.9,11.63,11.8,29532.88
2021-11-13 04:00:00+00:00,11.8,11.82,11.61,11.67,12389.39
2021-11-13 08:00:00+00:00,11.67,11.69,11.55,11.65,15445.78
2021-11-13 12:00:00+00:00,11.65,11.78,11.58,11.65,18707.06
2021-11-13 16:00:00+00:00,11.65,11.69,11.54,11.64,12611.22
2021-11-13 20:00:00+00:00,11.63,11.66,11.51,11.63,9667.12
2021-11-14 00:00:00+00:00,11.64,11.76,11.62,11.67,4812.27
2021-11-14 04:00:00+00:00,11.67,11.74,11.55,11.59,11521.69
2021-11-14 08:00:00+00:00,11.61,11.63,11.51,11.55,10366.34
2021-11-14 12:00:00+00:00,11.55,11.62,11.44,11.5,14292.52
