time,open,high,low,close,volume
2021-11-04 04:00:00+00:00,40.78,42.42,40.39,41.08,8994.81
2021-11-04 06:00:00+00:00,41.12,41.29,40.09,40.1,6491.21
2021-11-04 08:00:00+00:00,40.1,40.84,39.8,40.5,4075.62
2021-11-04 10:00:00+00:00,40.48,40.76,39.16,39.48,6108.29
2021-11-04 12:00:00+00:00,39.44,40.03,39.36,39.78,5716.47
2021-11-04 14:00:00+00:00,39.83,39.84,38.22,38.37,7030.92
2021-11-04 16:00:00+00:00,38.39,38.59,38.0,38.22,4373.3
2021-11-04 18:00:00+00:00,38.14,40.0,38.14,39.65,4799.02
2021-11-04 20:00:00+00:00,39.58,39.99,39.35,39.67,3331.6
2021-11-04 22:00:00+00:00,39.61,40.35,39.22,39.58,5103.28
2021-11-05 00:00:00+00:00,39.61,39.72,38.62,39.19,6034.05
2021-11-05 02:00:00+00:00,39.09,39.11,38.35,38.57,3435.24
2021-11-05 04:00:00+00:00,38.57,38.83,38.22,38.83,3557.09
2021-11-05 06:00:00+00:00,38.72,39.0,38.59,38.73,2294.59
2021-11-05 08:00:00+00:00,38.78,38.97,38.59,38.6,2476.09
2021-11-05 10:00:00+00:00,38.59,38.84,38.41,38.41,3701.24
2021-11-05 12:00:00+00:00,38.42,38.46,37.9,38.03,4847.68
2021-11-05 14:00:00+00:00,38.03,38.06,37.0,37.31,4946.83
2021-11-05 16:00:00+00:00,37.31,38.13,37.26,37.56,4963.01
2021-11-05 18:00:00+00:00,37.56,38.28,37.51,37.61,2519.88
2021-11-05 20:00:00+00:00,37.65,38.05,37.6,37.91,1699.33
2021-11-05 22:00:00+00:00,37.86,38.04,37.36,37.64,1386.16
2021-11-06 00:00:00+00:00,37.63,38.22,37.63,37.68,1763.45
2021-11-06 02:00:00+00:00,37.65,37.99,37.6,37.85,1802.94
2021-11-06 04:00:00+00:00,37.67,38.0,37.63,37.91,1007.09
2021-11-06 06:00:00+00:00,37.92,38.12,37.19,37.31,2451.95
2021-11-06 08:00:00+00:00,37.35,37.94,37.34,37.71,1195.2
2021-11-06 10:00:00+00:00,37.57,37.62,36.95,37.02,3227.21
2021-11-06 12:00:00+00:00,37.03,37.08,36.26,36.58,2647.62
2021-11-06 14:00:00+00:00,36.48,36.95,36.31,36.54,7049.92
2021-11-06 16:00:00+00:00,36.54,37.58,36.48,37.58,4246.09
2021-11-06 18:00:00+00:00,37.58,38.92,37.58,38.6,11296.78
2021-11-06 20:00:00+00:00,38.6,38.77,38.21,38.33,1341.74
2021-11-06 22:00:00+00:00,38.31,38.63,38.0,38.62,1859.13
2021-11-07 00:00:00+00:00,38.58,42.4,38.52,41.62,34846.66
2021-11-07 02:00:00+00:00,41.62,42.88,39.17,39.4,31785.0
2021-11-07 04:00:00+00:00,39.44,40.1,39.14,39.16,2425.04
2021-11-07 06:00:00+00:00,39.28,39.59,38.78,39.51,4651.13
2021-11-07 08:00:00+00:00,39.51,40.0,39.32,39.62,2823.03
2021-11-07 10:00:00+00:00,39.6,39.92,38.83,39.16,4236.58
2021-11-07 12:00:00+00:00,39.16,39.24,38.87,38.93,2162.08
2021-11-07 14:00:00+00:00,38.88,39.9,38.86,39.89,4317.13
2021-11-07 16:00:00+00:00,39.83,40.22,39.11,39.42,3170.76
2021-11-07 18:00:00+00:00,39.35,40.38,39.05,40.31,7445.23
2021-11-07 20:00:00+00:00,40.31,42.36,40.17,40.52,26045.75
2021-11-07 22:00:00+00:00,40.52,41.69,39.72,40.51,6930.69
2021-11-08 00:00:00+00:00,40.52,41.1,39.16,39.24,10119.36
2021-11-08 02:00:00+00:00,39.3,39.61,38.97,39.02,3546.65
2021-11-08 04:00:00+00:00,39.1,39.12,34.94,38.58,24717.5
2021-11-08 06:00:00+00:00,38.55,39.06,38.47,38.62,2978.61
2021-11-08 08:00:00+00:00,38.63,38.94,38.3,38.48,6445.4
2021-11-08 10:00:00+00:00,38.5,39.15,38.46,39.09,2635.58
2021-11-08 12:00:00+00:00,39.15,39.22,38.92,38.99,5396.07
2021-11-08 14:00:00+00:00,39.01,39.41,38.91,39.36,3740.07
2021-11-08 16:00:00+00:00,39.36,39.41,38.74,39.28,3503.81
2021-11-08 18:00:00+00:00,39.33,39.4,38.83,39.12,2478.21
2021-11-08 20:00:00+00:00,39.04,40.37,38.67,39.63,8572.57
2021-11-08 22:00:00+00:00,39.64,39.71,39.01,39.2,5253.49
2021-11-09 00:00:00+00:00,39.2,39.27,38.38,38.42,6285.04
2021-11-09 02:00:00+00:00,38.45,39.43,38.37,39.38,2487.92
2021-11-09 04:00:00+00:00,39.21,39.55,38.79,38.91,3712.96
2021-11-09 06:00:00+00:00,38.89,39.26,38.72,39.26,4174.48
2021-11-09 08:00:00+00:00,39.24,39.45,38.91,39.34,3630.9
2021-11-09 10:00:00+00:00,39.3,39.57,38.3,38.48,3649.82
2021-11-09 12:00:00+00:00,38.48,38.9,38.3,38.85,5506.68
2021-11-09 14:00:00+00:00,38.85,39.59,38.78,39.02,13084.17
2021-11-09 16:00:00+00:00,39.0,39.74,38.64,39.65,4664.66
2021-11-09 18:00:00+00:00,39.65,43.4,39.57,42.27,34441.01
2021-11-09 20:00:00+00:00,42.27,42.93,40.65,41.08,12190.66
2021-11-09 22:00:00+00:00,40.93,40.97,39.37,39.43,7713.55
2021-11-10 00:00:00+00:00,39.42,43.18,39.05,42.91,18053.24
2021-11-10 02:00:00+00:00,42.88,42.88,40.26,40.7,15988.2
2021-11-10 04:00:00+00:00,40.69,40.91,40.0,40.34,10582.48
2021-11-10 06:00:00+00:00,40.46,41.99,40.17,41.56,14127.4
2021-11-10 08:00:00+00:00,41.56,41.79,40.89,41.02,6055.67
2021-11-10 10:00:00+00:00,41.0,42.18,40.66,41.71,11422.41
2021-11-10 12:00:00+00:00,41.64,43.1,41.29,42.15,19612.6
2021-11-10 14:00:00+00:00,42.14,42.85,41.08,41.35,13645.39
2021-11-10 16:00:00+00:00,41.35,41.99,40.79,41.66,12393.52
2021-11-10 18:00:00+00:00,41.59,41.68,39.62,39.63,6376.55
2021-11-10 20:00:00+00:00,39.63,40.57,37.71,37.73,12872.06
2021-11-10 22:00:00+00:00,37.78,38.46,37.26,38.46,6907.44
2021-11-11 00:00:00+00:00,38.45,40.34,38.14,40.26,10135.27
2021-11-11 02:00:00+00:00,40.34,42.33,39.67,40.41,13116.27
2021-11-11 04:00:00+00:00,40.41,41.7,39.95,40.17,23692.94
2021-11-11 06:00:00+00:00,40.23,40.5,39.34,40.23,7468.34
2021-11-11 08:00:00+00:00,40.16,40.63,39.57,40.4,3563.92
2021-11-11 10:00:00+00:00,40.39,40.66,40.3,40.61,3658.97
2021-11-11 12:00:00+00:00,40.67,41.41,39.43,39.46,8534.27
2021-11-11 14:00:00+00:00,39.48,39.89,39.26,39.42,2508.61
2021-11-11 16:00:00+00:00,39.4,39.64,39.12,39.48,5478.01
2021-11-11 18:00:00+00:00,39.47,40.17,39.36,39.99,2845.21
2021-11-11 20:00:00+00:00,39.92,41.0,39.92,40.92,4020.79
2021-11-11 22:00:00+00:00,40.92,42.09,40.55,40.92,9289.69
2021-11-12 00:00:00+00:00,40.9,40.9,39.72,40.4,4833.38
2021-11-12 02:00:00+00:00,40.4,40.75,39.74,39.95,1812.49
2021-11-12 04:00:00+00:00,39.96,40.21,39.69,39.98,2503.77
2021-11-12 06:00:00+00:00,39.9,39.9,38.97,39.1,4601.38
2021-11-12 08:00:00+00:00,39.11,39.79,38.38,38.44,4182.13
2021-11-12 10:00:00+00:00,38.4,39.2,37.82,38.93,5854.8
2021-11-12 12:00:00+00:00,38.78,39.23,38.61,38.96,3845.58
2021-11-12 14:00:00+00:00,39.0,39.1,38.26,38.72,3242.43
2021-11-12 16:00:00+00:00,38.63,39.19,38.4,38.84,2586.98
2021-11-12 18:00:00+00:00,38.8,39.27,38.7,39.17,1247.19
2021-11-12 20:00:00+00:00,39.17,39.33,38.81,38.82,2520.82
2021-11-12 22:00:00+00:00,38.82,39.35,38.67,38.7,2436.35
2021-11-13 00:00:00+00:00,38.7,40.17,38.69,39.18,4219.56
2021-11-13 02:00:00+00:00,39.16,39.42,38.61,39.25,3338.89
2021-11-13 04:00:00+00:00,39.23,39.24,38.87,39.05,706.58
2021-11-13 06:00:00+00:00,38.99,39.24,38.99,39.1,562.96
2021-11-13 08:00:00+00:00,39.13,39.49,38.67,38.99,2450.12
2021-11-13 10:00:00+00:00,38.98,39.23,38.87,38.94,1031.55
2021-11-13 12:00:00+00:00,38.94,39.19,38.56,39.17,2913.44
2021-11-13 14:00:00+00:00,39.18,39.55,38.99,39.07,2512.56
2021-11-13 16:00:00+00:00,39.15,39.24,38.92,39.18,3425.14
2021-11-13 18:00:00+00:00,39.12,39.63,38.91,39.44,6008.31
2021-11-13 20:00:00+00:00,39.48,40.24,39.35,40.16,3584.63
2021-11-13 22:00:00+00:00,40.16,40.45,39.93,40.39,2108.86
2021-11-14 00:00:00+00:00,40.39,40.71,39.43,39.48,4801.88
2021-11-14 02:00:00+00:00,39.48,40.1,39.22,39.22,12618.19
2021-11-14 04:00:00+00:00,39.2,39.48,39.12,39.35,1550.96
2021-11-14 06:00:00+00:00,39.41,39.49,39.12,39.4,1329.8
2021-11-14 08:00:00+00:00,39.4,39.44,38.86,39.19,3267.28
2021-11-14 10:00:00+00:00,39.15,39.43,38.9,39.12,3846.97
2021-11-14 12:00:00+00:00,39.11,39.25,38.71,38.98,5536.44
2021-11-14 14:00:00+00:00,38.98,39.03,38.51,38.59,4192.29
2021-11-14 16:00:00+00:00,38.52,38.79,38.15,38.54,3067.37
2021-11-14 18:00:00+00:00,38.54,38.74,38.33,38.61,1393.13
2021-11-14 20:00:00+00:00,38.64,38.74,38.25,38.42,2900.36
2021-11-14 22:00:00+00:00,38.47,38.6,37.83,38.47,6308.65
2021-11-15 00:00:00+00:00,38.49,38.86,37.9,37.91,5602.83
2021-11-15 02:00:00+00:00,38.07,38.08,37.79,37.96,2243.45
2021-11-15 04:00:00+00:00,37.94,38.2,37.77,38.05,2132.64
2021-11-15 06:00:00+00:00,38.08,38.17,37.8,37.88,1971.68
2021-11-15 08:00:00+00:00,37.89,38.07,37.65,37.85,3751.51
2021-11-15 10:00:00+00:00,37.94,37.97,37.54,37.77,2069.79
2021-11-15 12:00:00+00:00,37.83,38.49,37.76,37.87,2924.84
2021-11-15 14:00:00+00:00,37.86,38.22,37.71,37.73,2723.51
2021-11-15 16:00:00+00:00,37.72,37.74,37.35,37.47,2747.87
2021-11-15 18:00:00+00:00,37.42,37.45,36.88,37.1,2536.82
2021-11-15 20:00:00+00:00,37.14,37.16,36.5,36.86,4036.49
2021-11-15 22:00:00+00:00,36.81,37.09,36.38,36.79,1809.06
2021-11-16 00:00:00+00:00,36.73,36.75,34.18,34.81,9953.1
2021-11-16 02:00:00+00:00,34.79,35.57,34.28,34.96,3489.18
2021-11-16 04:00:00+00:00,34.88,35.54,34.45,35.27,3241.44
2021-11-16 06:00:00+00:00,35.21,35.35,33.94,34.27,6585.15
2021-11-16 08:00:00+00:00,34.27,34.51,33.38,33.56,6629.77
2021-11-16 10:00:00+00:00,33.48,34.37,31.84,34.16,11481.5
2021-11-16 12:00:00+00:00,34.16,34.64,33.41,34.45,4281.83
2021-11-16 14:00:00+00:00,34.42,34.92,33.63,33.65,5532.19
2021-11-16 16:00:00+00:00,33.69,34.56,33.52,34.4,5199.0
2021-11-16 18:00:00+00:00,34.4,34.69,33.67,33.99,3672.74
2021-11-16 20:00:00+00:00,34.04,34.51,33.13,34.17,4868.4
2021-11-16 22:00:00+00:00,34.05,34.29,33.29,33.42,4151.26
2021-11-17 00:00:00+00:00,33.42,33.81,32.93,33.1,8442.19
2021-11-17 02:00:00+00:00,33.1,33.1,31.58,32.41,6565.01
2021-11-17 04:00:00+00:00,32.21,32.6,31.89,32.48,3122.77
2021-11-17 06:00:00+00:00,32.44,32.74,32.19,32.57,2236.07
2021-11-17 08:00:00+00:00,32.58,34.71,32.46,32.53,25411.42
2021-11-17 10:00:00+00:00,32.54,33.99,32.45,33.85,5043.0
2021-11-17 12:00:00+00:00,33.82,34.05,33.08,33.08,4039.67
