timeframe,entry_hour,hold_bars,side,filter_mode,trades,avg_r,total_r,win_rate,asset_coverage,n_yr_pass,n_yr_counted,yr_2022,yr_2023,yr_2024,yr_2025,pass_cost_floor,zone_pass_rate,stability_zone_pass,stability_pass
1h,0,1,LONG,ema200_price,36469,-0.00286889429949692,-104.62570620835318,0.4564150374290493,0.463768115942029,2,4,False,True,True,False,False,0.0,False,False
1h,0,1,LONG,none,85855,-0.019477496738933266,-1672.2404825211156,0.4614524488963951,0.2753623188405797,1,4,True,False,False,False,False,0.0,False,False
1h,0,1,LONG,weekday,61323,-0.02542058076207944,-1558.8662740729974,0.4625018345482119,0.18840579710144928,1,4,False,True,False,False,False,0.0,False,False
1h,0,1,SHORT,ema200_price,49386,0.03174208837145673,1567.614776312762,0.4911918357429231,0.8260869565217391,3,4,False,True,True,True,False,0.0,False,False
1h,0,1,SHORT,none,85855,0.019477496738933266,1672.2404825211156,0.5008793896686273,0.7246376811594203,3,4,False,True,True,True,False,0.0,False,False
1h,0,1,SHORT,weekday,61323,0.02542058076207944,1558.8662740729974,0.5011822644032419,0.8115942028985508,3,4,True,False,True,True,False,0.0,False,False
1h,0,2,LONG,ema200_price,36469,-0.007890002157074494,-287.74048866634973,0.4598974471468919,0.391304347826087,2,4,False,True,True,False,False,0.0,False,False
1h,0,2,LONG,none,85855,-0.0454244810834281,-3899.9188234177195,0.47193523964824413,0.11594202898550725,0,4,False,False,False,False,False,0.0,False,False
1h,0,2,LONG,weekday,61323,-0.0516631933382776,-3168.1420050831975,0.47877631557490663,0.10144927536231885,0,4,False,False,False,False,False,0.0,False,False
1h,0,2,SHORT,ema200_price,49386,0.07314174735251623,3612.1783347513665,0.4884582675252096,0.9565217391304348,4,4,True,True,True,True,False,0.0,False,False
1h,0,2,SHORT,none,85855,0.0454244810834281,3899.9188234177195,0.5002271271329567,0.8840579710144928,4,4,True,True,True,True,False,0.0,False,False
1h,0,2,SHORT,weekday,61323,0.0516631933382776,3168.1420050831975,0.4948388043637787,0.8985507246376812,4,4,True,True,True,True,False,0.0,False,False
1h,0,3,LONG,ema200_price,36469,-0.0023566798414547596,-85.94575713801363,0.46025391428336393,0.4927536231884058,2,4,False,True,True,False,False,0.0,False,False
1h,0,3,LONG,none,85855,-0.04163678244439187,-3574.7259567632636,0.4780269058295964,0.2753623188405797,0,4,False,False,False,False,False,0.0,False,False
1h,0,3,LONG,weekday,61323,-0.051297765520696086,-3145.732875025646,0.48329338095005137,0.14492753623188406,0,4,False,False,False,False,False,0.0,False,False
1h,0,3,SHORT,ema200_price,49386,0.07064310127617648,3488.780199625252,0.48282914186206616,0.8840579710144928,4,4,True,True,True,True,False,0.0,False,False
1h,0,3,SHORT,none,85855,0.04163678244439187,3574.7259567632636,0.49936520878224916,0.7246376811594203,4,4,True,True,True,True,False,0.0,False,False
1h,0,3,SHORT,weekday,61323,0.051297765520696086,3145.732875025646,0.49550739526768095,0.855072463768116,4,4,True,True,True,True,False,0.0,False,False
1h,0,4,LONG,ema200_price,36469,0.019434051885355824,708.7404382070415,0.4699607886149881,0.6231884057971014,3,4,True,True,True,False,False,0.0,False,False
1h,0,4,LONG,none,85854,-0.028178079077726625,-2419.2008011391417,0.48470659491695206,0.3188405797101449,1,4,False,True,False,False,False,0.0,False,False
1h,0,4,LONG,weekday,61322,-0.05030854169787995,-3085.020393997394,0.4845895437200352,0.21739130434782608,0,4,False,False,False,False,False,0.0,False,False
1h,0,4,SHORT,ema200_price,49385,0.06333788071977693,3127.941239346184,0.4822719449225473,0.855072463768116,4,4,True,True,True,True,False,0.0,False,False
1h,0,4,SHORT,none,85854,0.028178079077726625,2419.2008011391417,0.4957253010925525,0.6811594202898551,3,4,True,False,True,True,False,0.0,False,False
1h,0,4,SHORT,weekday,61322,0.05030854169787995,3085.020393997394,0.4969505234662927,0.782608695652174,4,4,True,True,True,True,False,0.0,False,False
1h,1,1,LONG,ema200_price,36365,-0.013223196015608289,-480.8615231075954,0.4643475869654888,0.3188405797101449,2,4,False,True,True,False,False,0.0,False,False
1h,1,1,LONG,none,85856,-0.025116904479714878,-2156.4369510104007,0.47174338427133805,0.15942028985507245,0,4,False,False,False,False,False,0.0,False,False
1h,1,1,LONG,weekday,61323,-0.024787186885854132,-1520.024661401233,0.47641178676842294,0.2608695652173913,0,4,False,False,False,False,False,0.0,False,False
1h,1,1,SHORT,ema200_price,49491,0.03385616431073942,1675.5754279028047,0.4804307853953244,0.7391304347826086,4,4,True,True,True,True,False,0.0,False,False
1h,1,1,SHORT,none,85856,0.025116904479714878,2156.4369510104007,0.4898085165859113,0.8405797101449275,4,4,True,True,True,True,False,0.0,False,False
1h,1,1,SHORT,weekday,61323,0.024787186885854132,1520.024661401233,0.4870929341356424,0.7391304347826086,4,4,True,True,True,True,False,0.0,False,False
1h,1,2,LONG,ema200_price,36365,-0.010342957417951458,-376.12164650380475,0.46355011687061737,0.42028985507246375,2,4,False,False,True,True,False,0.0,False,False
1h,1,2,LONG,none,85856,-0.021364272285716197,-1834.2509613624497,0.4813408497950056,0.2898550724637681,1,4,False,False,False,True,False,0.0,False,False
1h,1,2,LONG,weekday,61323,-0.024812071262571792,-1521.55064603469,0.4867341780408656,0.2608695652173913,1,4,False,False,False,True,False,0.0,False,False
1h,1,2,SHORT,ema200_price,49491,0.029462514696786193,1458.1293148586456,0.47325776403790587,0.6956521739130435,3,4,True,True,True,False,False,0.0,False,False
1h,1,2,SHORT,none,85856,0.021364272285716197,1834.2509613624497,0.49019288110324266,0.7101449275362319,3,4,True,True,True,False,False,0.0,False,False
1h,1,2,SHORT,weekday,61323,0.024812071262571792,1521.55064603469,0.48671787094564845,0.7391304347826086,3,4,True,True,True,False,False,0.0,False,False
1h,1,3,LONG,ema200_price,36365,0.01011628713883642,367.8787818037864,0.4732847518218067,0.5362318840579711,4,4,True,True,True,True,False,0.0,False,False
1h,1,3,LONG,none,85855,-0.008303368232351085,-712.8856795885024,0.48722846660066393,0.463768115942029,3,4,False,True,True,True,False,0.0,False,False
1h,1,3,LONG,weekday,61322,-0.024299820934103888,-1490.1136193211187,0.4875248687257428,0.3188405797101449,1,4,False,False,False,True,False,0.0,False,False
1h,1,3,SHORT,ema200_price,49490,0.021838037207360862,1080.7644613922891,0.47542937967266113,0.6666666666666666,2,4,True,False,True,False,False,0.0,False,False
1h,1,3,SHORT,none,85855,0.008303368232351085,712.8856795885024,0.4884165162192068,0.5362318840579711,1,4,True,False,False,False,False,0.0,False,False
1h,1,3,SHORT,weekday,61322,0.024299820934103888,1490.1136193211187,0.48971005511888066,0.6811594202898551,3,4,True,True,True,False,False,0.0,False,False
1h,1,4,LONG,ema200_price,36365,0.03448036318064853,1253.878407064284,0.4775195930152619,0.6956521739130435,4,4,True,True,True,True,False,0.0,False,False
1h,1,4,LONG,none,85855,0.001576961032533273,135.38998944814415,0.49166618135228,0.5942028985507246,3,4,False,True,True,True,False,0.0,False,False
1h,1,4,LONG,weekday,61322,-0.009187268204131181,-563.3816608137323,0.4895632888685953,0.43478260869565216,2,4,False,True,False,True,False,0.0,False,False
1h,1,4,SHORT,ema200_price,49490,0.022600291323825825,1118.4884176161402,0.4724994948474439,0.6521739130434783,3,4,True,True,True,False,False,0.0,False,False
1h,1,4,SHORT,none,85855,-0.001576961032533273,-135.38998944814415,0.48550462989924875,0.4057971014492754,1,4,True,False,False,False,False,0.0,False,False
1h,1,4,SHORT,weekday,61322,0.009187268204131181,563.3816608137323,0.48871530608916863,0.5652173913043478,2,4,True,False,True,False,False,0.0,False,False
