entry_day,day_name,hold_bars,side,filter_mode,trades,avg_r,total_r,win_rate,asset_coverage,n_yr_pass,n_yr_counted,yr_2022,yr_2023,yr_2024,yr_2025,pass_cost_floor,zone_pass_rate,stability_zone_pass,stability_pass
0,Mon,1,LONG,ema200_price,1582,-0.07736851680299925,-122.3969935823448,0.4563843236409608,0.3148148148148148,0,2,,,False,False,False,0.0,False,False
0,Mon,1,LONG,none,6327,-0.011205540801047659,-70.89745664822854,0.5021337126600285,0.36507936507936506,1,2,,,True,False,False,0.0,False,False
0,Mon,1,SHORT,ema200_price,4745,-0.010853432441331138,-51.49953693411625,0.47102212855637515,0.5238095238095238,1,2,,,False,True,False,0.0,False,False
0,Mon,1,SHORT,none,6327,0.011205540801047659,70.89745664822854,0.48759285601390867,0.6349206349206349,1,2,,,False,True,False,0.0,False,False
0,Mon,2,LONG,ema200_price,1582,-0.17596577218391252,-278.3778515949496,0.3950695322376738,0.07407407407407407,0,2,,,False,False,False,0.0,False,False
0,Mon,2,LONG,none,6327,-0.04128755538849007,-261.22636294297666,0.4823771139560613,0.2857142857142857,0,2,,,False,False,False,0.0,False,False
0,Mon,2,SHORT,ema200_price,4745,-0.0036146446052630152,-17.151488651973008,0.4828240252897787,0.5079365079365079,1,2,,,False,True,False,0.0,False,False
0,Mon,2,SHORT,none,6327,0.04128755538849007,261.22636294297666,0.5125651967757231,0.7142857142857143,2,2,,,True,True,False,0.0,False,False
0,Mon,3,LONG,ema200_price,1580,-0.12765286712292465,-201.69153005422092,0.4221518987341772,0.16666666666666666,0,2,,,False,False,False,0.0,False,False
0,Mon,3,LONG,none,6264,-0.0019878036848723383,-12.451602282040326,0.48659003831417624,0.3968253968253968,0,2,,,False,False,False,0.0,False,False
0,Mon,3,SHORT,ema200_price,4684,-0.04040135093342884,-189.23992777218066,0.4846285226302306,0.3333333333333333,2,2,,,True,True,False,0.0,False,False
0,Mon,3,SHORT,none,6264,0.0019878036848723383,12.451602282040326,0.5076628352490421,0.6031746031746031,2,2,,,True,True,False,0.0,False,False
0,Mon,4,LONG,ema200_price,1580,-0.15248623694123029,-240.92825436714386,0.4139240506329114,0.2037037037037037,0,2,,,False,False,False,0.0,False,False
0,Mon,4,LONG,none,6264,-0.06372119799775897,-399.1495842579622,0.4532247765006386,0.2222222222222222,0,2,,,False,False,False,0.0,False,False
0,Mon,4,SHORT,ema200_price,4684,0.03377910544210468,158.22132989081834,0.5273270708795901,0.6349206349206349,2,2,,,True,True,False,0.0,False,False
0,Mon,4,SHORT,none,6264,0.06372119799775897,399.1495842579622,0.5418263090676884,0.7777777777777778,2,2,,,True,True,False,0.0,False,False
0,Mon,5,LONG,ema200_price,1580,-0.1507582708109557,-238.19806788130998,0.4031645569620253,0.16666666666666666,0,2,,,False,False,False,0.0,False,False
0,Mon,5,LONG,none,6264,-0.04205063147780905,-263.40515557699587,0.4425287356321839,0.3333333333333333,1,2,,,True,False,False,0.0,False,False
0,Mon,5,SHORT,ema200_price,4684,0.005381530251000374,25.20708769568575,0.5392826643894107,0.5396825396825397,1,2,,,False,True,False,0.3333333333333333,False,False
0,Mon,5,SHORT,none,6264,0.04205063147780905,263.40515557699587,0.553639846743295,0.6666666666666666,1,2,,,False,True,False,0.0,False,False
1,Tue,1,LONG,ema200_price,1618,-0.11768257987525614,-190.41041423816444,0.37515451174289244,0.13725490196078433,0,2,,,False,False,False,0.0,False,False
1,Tue,1,LONG,none,6377,-0.03526898773347406,-224.9103347763641,0.4408028853692959,0.20634920634920634,0,2,,,False,False,False,0.0,False,False
1,Tue,1,SHORT,ema200_price,4759,0.007249405450346646,34.49992053819969,0.527211599075436,0.5238095238095238,1,2,,,True,False,False,0.0,False,False
1,Tue,1,SHORT,none,6377,0.03526898773347406,224.9103347763641,0.5511996236474831,0.7936507936507936,2,2,,,True,True,False,0.0,False,False
1,Tue,2,LONG,ema200_price,1616,-0.06473104227332599,-104.6053643136948,0.42883663366336633,0.23529411764705882,0,2,,,False,False,False,0.0,False,False
1,Tue,2,LONG,none,6314,0.011424889756497882,72.13675392252763,0.4613557174532784,0.6031746031746031,1,2,,,False,True,False,0.0,False,False
1,Tue,2,SHORT,ema200_price,4698,-0.037620714822525006,-176.74211823622247,0.5214985100042572,0.2857142857142857,1,2,,,True,False,False,0.0,False,False
1,Tue,2,SHORT,none,6314,-0.011424889756497882,-72.13675392252763,0.5335761799176433,0.3968253968253968,1,2,,,True,False,False,0.0,False,False
1,Tue,3,LONG,ema200_price,1616,-0.08323731792004309,-134.51150575878964,0.43316831683168316,0.21568627450980393,0,2,,,False,False,False,0.0,False,False
1,Tue,3,LONG,none,6314,-0.050647362308874386,-319.7874456182329,0.44140006335128285,0.20634920634920634,1,2,,,False,True,False,0.0,False,False
1,Tue,3,SHORT,ema200_price,4698,0.03943719452095424,185.275939859443,0.5502341421881651,0.6507936507936508,1,2,,,True,False,False,0.0,False,False
