timeframe,side,removed_top_assets_n,removed_assets,assets_remaining,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
1d,ALL,0,,51,167,69.60767840074875,0.4168124455134656,-0.9999999999999992,0.25748502994011974,1.6659700289802901,-29.412015073188158,40.28150343106668,-1.0000000000000016,17,4.2306919546026,1.2731732607160147
1d,ALL,1,XRP/USDT,50,161,29.680605740433567,0.18435158844989794,-0.9999999999999992,0.2546583850931677,1.2931523617845277,-29.331974546339097,20.42014947389124,-1.0000000000000016,17,2.9160482042217675,0.8021676121008573
1d,ALL,3,"XRP/USDT,ALGO/USDT,DOGE/USDT",48,154,-8.35814504623967,-0.05427366913142643,-0.9999999999999992,0.24675324675324675,0.9146541091612126,-28.822394897763864,14.22093392630242,-1.0000000000000016,16,1.9408385674550068,-0.3470244938375606
1d,ALL,5,"XRP/USDT,ALGO/USDT,DOGE/USDT,ADA/USDT,TRX/USDT",46,143,-30.91223468197493,-0.216169473300524,-0.9999999999999992,0.22377622377622378,0.6673693143255989,-32.983228298234664,7.056227525335078,-1.0000000000000009,16,1.4810514597180573,-1.7453890001355266
1d,ALL,10,"XRP/USDT,ALGO/USDT,DOGE/USDT,ADA/USDT,TRX/USDT,SUI/USDT,ASR/USDT,LINK/USDT,ANKR/USDT,AVAX/USDT",41,125,-55.40514466802861,-0.4432411573442289,-0.9999999999999996,0.176,0.36821789716671,-54.405144668028605,3.9819537073362095,-1.0000000000000009,26,1.07434890075564,-4.612641933873981
1d,LONG,0,,51,167,69.60767840074875,0.4168124455134656,-0.9999999999999992,0.25748502994011974,1.6659700289802901,-29.412015073188158,40.28150343106668,-1.0000000000000016,17,4.2306919546026,1.2731732607160147
1d,LONG,1,XRP/USDT,50,161,29.680605740433567,0.18435158844989794,-0.9999999999999992,0.2546583850931677,1.2931523617845277,-29.331974546339097,20.42014947389124,-1.0000000000000016,17,2.9160482042217675,0.8021676121008573
1d,LONG,3,"XRP/USDT,ALGO/USDT,DOGE/USDT",48,154,-8.35814504623967,-0.05427366913142643,-0.9999999999999992,0.24675324675324675,0.9146541091612126,-28.822394897763864,14.22093392630242,-1.0000000000000016,16,1.9408385674550068,-0.3470244938375606
1d,LONG,5,"XRP/USDT,ALGO/USDT,DOGE/USDT,ADA/USDT,TRX/USDT",46,143,-30.91223468197493,-0.216169473300524,-0.9999999999999992,0.22377622377622378,0.6673693143255989,-32.983228298234664,7.056227525335078,-1.0000000000000009,16,1.4810514597180573,-1.7453890001355266
1d,LONG,10,"XRP/USDT,ALGO/USDT,DOGE/USDT,ADA/USDT,TRX/USDT,SUI/USDT,ASR/USDT,LINK/USDT,ANKR/USDT,AVAX/USDT",41,125,-55.40514466802861,-0.4432411573442289,-0.9999999999999996,0.176,0.36821789716671,-54.405144668028605,3.9819537073362095,-1.0000000000000009,26,1.07434890075564,-4.612641933873981
ALL_TF,ALL,0,,51,167,69.60767840074875,0.4168124455134656,-0.9999999999999992,0.25748502994011974,1.6659700289802901,-29.412015073188158,40.28150343106668,-1.0000000000000016,17,4.2306919546026,1.2731732607160147
ALL_TF,ALL,1,XRP/USDT,50,161,29.680605740433567,0.18435158844989794,-0.9999999999999992,0.2546583850931677,1.2931523617845277,-29.331974546339097,20.42014947389124,-1.0000000000000016,17,2.9160482042217675,0.8021676121008573
ALL_TF,ALL,3,"XRP/USDT,ALGO/USDT,DOGE/USDT",48,154,-8.35814504623967,-0.05427366913142643,-0.9999999999999992,0.24675324675324675,0.9146541091612126,-28.822394897763864,14.22093392630242,-1.0000000000000016,16,1.9408385674550068,-0.3470244938375606
ALL_TF,ALL,5,"XRP/USDT,ALGO/USDT,DOGE/USDT,ADA/USDT,TRX/USDT",46,143,-30.91223468197493,-0.216169473300524,-0.9999999999999992,0.22377622377622378,0.6673693143255989,-32.983228298234664,7.056227525335078,-1.0000000000000009,16,1.4810514597180573,-1.7453890001355266
ALL_TF,ALL,10,"XRP/USDT,ALGO/USDT,DOGE/USDT,ADA/USDT,TRX/USDT,SUI/USDT,ASR/USDT,LINK/USDT,ANKR/USDT,AVAX/USDT",41,125,-55.40514466802861,-0.4432411573442289,-0.9999999999999996,0.176,0.36821789716671,-54.405144668028605,3.9819537073362095,-1.0000000000000009,26,1.07434890075564,-4.612641933873981
