timeframe,side,removed_top_months_n,removed_months,months_remaining,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
1d,ALL,0,,24,167,69.60767840074875,0.4168124455134656,-0.9999999999999992,0.25748502994011974,1.6659700289802901,-29.412015073188158,40.28150343106668,-1.0000000000000016,17,4.2306919546026,1.2731732607160147
1d,ALL,1,2024-12,23,138,-53.623276955418895,-0.38857447069144124,-0.9999999999999992,0.1956521739130435,0.426410614243535,-52.623276955418895,7.056227525335078,-1.0000000000000016,17,1.1884941465167953,-3.8407563758531618
1d,ALL,2,"2024-12,2025-08",22,127,-69.04006102503783,-0.5436225277562033,-0.9999999999999996,0.15748031496062992,0.23362515309566087,-68.04006102503782,3.554998977714168,-1.0000000000000016,21,0.8190085284735851,-7.480159904467823
1d,ALL,3,"2024-12,2025-08,2025-07",21,111,-70.23538147298406,-0.6327511844412979,-0.9999999999999996,0.13513513513513514,0.16410078264908723,-69.23538147298407,3.554998977714168,-1.0000000000000016,19,0.7308908325271926,-9.12098920153435
1d,LONG,0,,24,167,69.60767840074875,0.4168124455134656,-0.9999999999999992,0.25748502994011974,1.6659700289802901,-29.412015073188158,40.28150343106668,-1.0000000000000016,17,4.2306919546026,1.2731732607160147
1d,LONG,1,2024-12,23,138,-53.623276955418895,-0.38857447069144124,-0.9999999999999992,0.1956521739130435,0.426410614243535,-52.623276955418895,7.056227525335078,-1.0000000000000016,17,1.1884941465167953,-3.8407563758531618
1d,LONG,2,"2024-12,2025-08",22,127,-69.04006102503783,-0.5436225277562033,-0.9999999999999996,0.15748031496062992,0.23362515309566087,-68.04006102503782,3.554998977714168,-1.0000000000000016,21,0.8190085284735851,-7.480159904467823
1d,LONG,3,"2024-12,2025-08,2025-07",21,111,-70.23538147298406,-0.6327511844412979,-0.9999999999999996,0.13513513513513514,0.16410078264908723,-69.23538147298407,3.554998977714168,-1.0000000000000016,19,0.7308908325271926,-9.12098920153435
ALL_TF,ALL,0,,24,167,69.60767840074875,0.4168124455134656,-0.9999999999999992,0.25748502994011974,1.6659700289802901,-29.412015073188158,40.28150343106668,-1.0000000000000016,17,4.2306919546026,1.2731732607160147
ALL_TF,ALL,1,2024-12,23,138,-53.623276955418895,-0.38857447069144124,-0.9999999999999992,0.1956521739130435,0.426410614243535,-52.623276955418895,7.056227525335078,-1.0000000000000016,17,1.1884941465167953,-3.8407563758531618
ALL_TF,ALL,2,"2024-12,2025-08",22,127,-69.04006102503783,-0.5436225277562033,-0.9999999999999996,0.15748031496062992,0.23362515309566087,-68.04006102503782,3.554998977714168,-1.0000000000000016,21,0.8190085284735851,-7.480159904467823
ALL_TF,ALL,3,"2024-12,2025-08,2025-07",21,111,-70.23538147298406,-0.6327511844412979,-0.9999999999999996,0.13513513513513514,0.16410078264908723,-69.23538147298407,3.554998977714168,-1.0000000000000016,19,0.7308908325271926,-9.12098920153435
