timeframe,side,removed_top_assets_n,removed_assets,assets_remaining,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
1d,ALL,0,,53,271,64.23656743217195,0.23703530417775628,-0.8273150377146526,0.2767527675276753,1.393392988520768,-45.300894542205654,38.58857074967325,-1.000000000000001,28,3.429836314893123,1.1376909044401926
1d,ALL,1,XRP/USDT,52,263,24.02924233920006,0.09136594045323217,-0.8900836320191138,0.2737642585551331,1.150508838874604,-46.624102326799814,21.97944530480079,-1.000000000000001,28,2.531951127093522,0.5852034592508718
1d,ALL,3,"XRP/USDT,ALGO/USDT,ADA/USDT",50,254,-18.931902890932882,-0.07453505075170426,-0.9147133452194993,0.2677165354330709,0.8784122382330963,-46.24826476199778,9.59620417247536,-1.000000000000001,28,1.699751921762357,-0.6988627116191913
1d,ALL,5,"XRP/USDT,ALGO/USDT,ADA/USDT,AMP/USDT,DOT/USDT",48,248,-33.106862188241074,-0.13349541204935916,-0.9333356653882524,0.2661290322580645,0.7831029948396422,-44.18123530543514,9.59620417247536,-1.000000000000001,27,1.527970137178337,-1.3758697242110054
1d,ALL,10,"XRP/USDT,ALGO/USDT,ADA/USDT,AMP/USDT,DOT/USDT,ATOM/USDT,SUI/USDT,AVAX/USDT,ANKR/USDT,1INCH/USDT",43,233,-58.10983773829221,-0.24939844522872193,-0.9999999999999992,0.23605150214592274,0.6121189384877095,-57.36285950249615,9.59620417247536,-1.000000000000001,32,1.3835523706881934,-2.7515417025072937
1d,LONG,0,,53,271,64.23656743217195,0.23703530417775628,-0.8273150377146526,0.2767527675276753,1.393392988520768,-45.300894542205654,38.58857074967325,-1.000000000000001,28,3.429836314893123,1.1376909044401926
1d,LONG,1,XRP/USDT,52,263,24.02924233920006,0.09136594045323217,-0.8900836320191138,0.2737642585551331,1.150508838874604,-46.624102326799814,21.97944530480079,-1.000000000000001,28,2.531951127093522,0.5852034592508718
1d,LONG,3,"XRP/USDT,ALGO/USDT,ADA/USDT",50,254,-18.931902890932882,-0.07453505075170426,-0.9147133452194993,0.2677165354330709,0.8784122382330963,-46.24826476199778,9.59620417247536,-1.000000000000001,28,1.699751921762357,-0.6988627116191913
1d,LONG,5,"XRP/USDT,ALGO/USDT,ADA/USDT,AMP/USDT,DOT/USDT",48,248,-33.106862188241074,-0.13349541204935916,-0.9333356653882524,0.2661290322580645,0.7831029948396422,-44.18123530543514,9.59620417247536,-1.000000000000001,27,1.527970137178337,-1.3758697242110054
1d,LONG,10,"XRP/USDT,ALGO/USDT,ADA/USDT,AMP/USDT,DOT/USDT,ATOM/USDT,SUI/USDT,AVAX/USDT,ANKR/USDT,1INCH/USDT",43,233,-58.10983773829221,-0.24939844522872193,-0.9999999999999992,0.23605150214592274,0.6121189384877095,-57.36285950249615,9.59620417247536,-1.000000000000001,32,1.3835523706881934,-2.7515417025072937
ALL_TF,ALL,0,,53,271,64.23656743217195,0.23703530417775628,-0.8273150377146526,0.2767527675276753,1.393392988520768,-45.300894542205654,38.58857074967325,-1.000000000000001,28,3.429836314893123,1.1376909044401926
ALL_TF,ALL,1,XRP/USDT,52,263,24.02924233920006,0.09136594045323217,-0.8900836320191138,0.2737642585551331,1.150508838874604,-46.624102326799814,21.97944530480079,-1.000000000000001,28,2.531951127093522,0.5852034592508718
ALL_TF,ALL,3,"XRP/USDT,ALGO/USDT,ADA/USDT",50,254,-18.931902890932882,-0.07453505075170426,-0.9147133452194993,0.2677165354330709,0.8784122382330963,-46.24826476199778,9.59620417247536,-1.000000000000001,28,1.699751921762357,-0.6988627116191913
ALL_TF,ALL,5,"XRP/USDT,ALGO/USDT,ADA/USDT,AMP/USDT,DOT/USDT",48,248,-33.106862188241074,-0.13349541204935916,-0.9333356653882524,0.2661290322580645,0.7831029948396422,-44.18123530543514,9.59620417247536,-1.000000000000001,27,1.527970137178337,-1.3758697242110054
ALL_TF,ALL,10,"XRP/USDT,ALGO/USDT,ADA/USDT,AMP/USDT,DOT/USDT,ATOM/USDT,SUI/USDT,AVAX/USDT,ANKR/USDT,1INCH/USDT",43,233,-58.10983773829221,-0.24939844522872193,-0.9999999999999992,0.23605150214592274,0.6121189384877095,-57.36285950249615,9.59620417247536,-1.000000000000001,32,1.3835523706881934,-2.7515417025072937
