timeframe,filter_mode,rsi_n,oversold,exit_rsi,atr_mult,time_exit_bars,num_trades,win_rate,avg_r,profit_factor,max_dd_r,avg_bars_held,total_r,stability
6h,none,14,20,65,3.0,10,188,0.6649,0.154,2.7747,2.31,9.7,28.95,1.0
6h,none,14,20,60,3.0,10,188,0.6649,0.1535,2.769,2.31,9.7,28.86,1.0
6h,none,14,20,55,3.0,10,188,0.6649,0.1517,2.7477,2.31,9.7,28.51,1.0
6h,none,14,20,65,4.0,10,185,0.6703,0.1323,3.637,1.32,9.9,24.48,1.0
6h,none,14,20,60,4.0,10,185,0.6703,0.1319,3.6295,1.32,9.9,24.41,1.0
6h,none,14,20,55,4.0,10,185,0.6703,0.1305,3.6014,1.32,9.9,24.15,1.0
6h,none,14,20,50,4.0,10,185,0.6703,0.1293,3.5765,1.32,9.8,23.92,1.0
6h,none,7,10,50,4.0,10,142,0.6549,0.1162,2.5365,1.71,9.2,16.5,1.0
6h,none,5,10,50,3.0,10,387,0.646,0.1085,1.5745,5.4,6.6,41.98,1.0
6h,none,5,10,55,3.0,10,387,0.6202,0.108,1.5517,5.64,7.4,41.81,1.0
6h,none,7,10,55,4.0,10,142,0.6408,0.1079,2.4001,1.71,9.6,15.32,1.0
6h,none,7,10,60,4.0,10,142,0.6408,0.107,2.388,1.71,9.7,15.19,1.0
6h,none,7,10,65,4.0,10,142,0.6408,0.1051,2.3636,1.71,9.8,14.92,1.0
6h,none,5,10,60,3.0,10,387,0.615,0.1013,1.5153,5.2,8.2,39.2,1.0
6h,none,5,10,65,3.0,10,387,0.6124,0.1004,1.5106,5.56,8.5,38.87,1.0
6h,none,7,15,65,3.0,10,381,0.6063,0.1127,1.5853,7.03,9.0,42.94,0.8889
6h,none,7,15,50,3.0,10,381,0.6168,0.1108,1.5873,6.55,7.8,42.23,0.8889
6h,none,7,15,60,3.0,10,381,0.6089,0.1075,1.5659,7.03,8.7,40.95,0.8889
6h,none,7,15,55,3.0,10,381,0.6089,0.1033,1.5436,7.03,8.5,39.34,0.8889
6h,none,14,20,50,3.0,10,188,0.6649,0.15,2.7288,2.31,9.6,28.2,0.8333
6h,none,7,10,50,3.0,10,142,0.6338,0.116,1.8783,4.07,8.9,16.47,0.8333
6h,none,7,10,55,3.0,10,142,0.6197,0.105,1.7833,4.07,9.2,14.91,0.8333
6h,none,7,10,60,3.0,10,142,0.6197,0.1037,1.774,4.07,9.3,14.73,0.8333
6h,none,7,10,65,3.0,10,142,0.6197,0.1012,1.7553,4.07,9.5,14.37,0.8333
