symbol,n,win_rate,avg_r,total_r,max_dd_r
ATOM_USDT,9,0.8889,0.7037,6.33,0.3
XRP_USDT,10,1.0,0.5597,5.6,0.0
AVAX_USDT,10,0.8,0.5363,5.36,1.0
UNI_USDT,10,0.9,0.3767,3.77,1.0
DOGE_USDT,10,0.9,0.371,3.71,1.0
TRX_USDT,10,0.6,0.357,3.57,2.0
ICP_USDT,7,0.7143,0.5063,3.54,0.2
GRT_USDT,9,0.8889,0.3466,3.12,0.83
ZEC_USDT,7,0.8571,0.4253,2.98,0.0
SOL_USDT,3,1.0,0.9948,2.98,0.0
LINK_USDT,7,1.0,0.4255,2.98,0.0
SEI_USDT,5,1.0,0.5707,2.85,0.0
ORDI_USDT,9,0.8889,0.2893,2.6,0.35
BCH_USDT,13,0.7692,0.1966,2.56,2.0
SUI_USDT,7,0.8571,0.3381,2.37,0.1
JTO_USDT,4,1.0,0.5058,2.02,0.0
SAGA_USDT,7,0.7143,0.2863,2.0,0.11
MORPHO_USDT,2,1.0,1.001,2.0,0.0
RENDER_USDT,2,1.0,0.995,1.99,0.0
DOT_USDT,7,0.8571,0.2739,1.92,0.07
TON_USDT,7,0.7143,0.2554,1.79,1.07
CHZ_USDT,13,0.6154,0.1326,1.72,0.74
BNB_USDT,10,0.7,0.1222,1.22,1.48
WLD_USDT,4,0.75,0.2989,1.2,1.0
DASH_USDT,7,0.7143,0.1614,1.13,0.89
APT_USDT,8,0.75,0.1338,1.07,1.08
EIGEN_USDT,3,0.6667,0.3261,0.98,0.03
INJ_USDT,5,0.8,0.1857,0.93,1.0
HBAR_USDT,4,0.75,0.2292,0.92,1.0
ENA_USDT,5,0.6,0.1782,0.89,0.51
TIA_USDT,3,0.6667,0.2272,0.68,0.25
ARKM_USDT,3,1.0,0.213,0.64,0.0
PENGU_USDT,4,0.75,0.1091,0.44,0.0
LTC_USDT,11,0.8182,0.0372,0.41,1.0
FIL_USDT,16,0.625,0.0152,0.24,2.86
BTC_USDT,12,0.5,0.0144,0.17,2.96
ZEN_USDT,9,0.5556,0.0172,0.15,1.3
NIL_USDT,2,0.5,0.0585,0.12,0.12
PEPE_USDT,2,0.5,0.0616,0.12,0.0
SPK_USDT,1,1.0,0.0902,0.09,0.0
PENDLE_USDT,4,0.5,-0.035,-0.14,0.05
AAVE_USDT,9,0.4444,-0.0171,-0.15,0.67
FET_USDT,4,0.5,-0.0706,-0.28,1.42
ARB_USDT,13,0.5385,-0.022,-0.29,1.29
ADA_USDT,9,0.5556,-0.0469,-0.42,3.0
ALT_USDT,4,0.25,-0.1452,-0.58,0.46
TAO_USDT,4,0.5,-0.1746,-0.7,1.0
ONDO_USDT,2,0.5,-0.3877,-0.78,1.0
NEAR_USDT,9,0.5556,-0.1019,-0.92,2.1
LPT_USDT,9,0.3333,-0.13,-1.17,1.21
ETH_USDT,11,0.3636,-0.3633,-4.0,4.47
