symbol,entry_time,exit_time,net_r,win,bars_held,exit_reason,year
AAVE_USDT,2021-12-06,2021-12-24,1.0,1,18,profit_target,2021
AAVE_USDT,2026-02-05,2026-02-25,0.5263,1,20,time_exit,2026
ADA_USDT,2022-05-12,2022-06-01,0.2884,1,20,time_exit,2022
ADA_USDT,2022-10-14,2022-10-29,1.0,1,15,profit_target,2022
ADA_USDT,2022-12-16,2023-01-05,0.1585,1,20,time_exit,2022
ADA_USDT,2023-06-09,2023-06-10,-1.0,0,1,atr_stop,2023
ADA_USDT,2023-06-11,2023-07-01,0.3125,1,20,time_exit,2023
ADA_USDT,2025-11-21,2025-12-11,0.1373,1,20,time_exit,2025
ADA_USDT,2026-02-05,2026-02-25,0.701,1,20,time_exit,2026
ALT_USDT,2024-06-14,2024-07-03,-1.0,0,19,atr_stop,2024
ALT_USDT,2024-07-04,2024-07-24,0.1609,1,20,time_exit,2024
ALT_USDT,2024-08-03,2024-08-23,0.2318,1,20,time_exit,2024
ALT_USDT,2025-02-04,2025-02-24,-0.4434,0,20,time_exit,2025
ALT_USDT,2025-04-06,2025-04-26,0.8105,1,20,time_exit,2025
APT_USDT,2022-11-09,2022-11-29,0.2501,1,20,time_exit,2022
APT_USDT,2022-12-29,2023-01-09,1.0,1,11,profit_target,2022
APT_USDT,2023-06-10,2023-06-30,0.6049,1,20,time_exit,2023
APT_USDT,2024-04-13,2024-05-03,0.0646,1,20,time_exit,2024
APT_USDT,2024-07-05,2024-07-15,1.0,1,10,profit_target,2024
APT_USDT,2025-11-29,2025-12-19,-0.6364,0,20,time_exit,2025
APT_USDT,2026-02-05,2026-02-25,-0.072,0,20,time_exit,2026
ARB_USDT,2023-08-17,2023-09-06,-0.6013,0,20,time_exit,2023
ARB_USDT,2023-09-11,2023-09-29,1.0,1,18,profit_target,2023
ARB_USDT,2024-04-13,2024-05-03,0.0863,1,20,time_exit,2024
ARB_USDT,2024-07-04,2024-07-24,0.4831,1,20,time_exit,2024
