trade_idx,symbol,entry_time,exit_time,net_r,pnl_usd,equity_after,year
0,FIL_USDT,2021-05-19 00:00:00+00:00,2021-06-08 00:00:00+00:00,0.2033,5.08,10005.08,2021
1,BTC_USDT,2021-05-19 00:00:00+00:00,2021-06-08 00:00:00+00:00,-0.22,-5.5,9999.58,2021
2,ICP_USDT,2021-05-25 00:00:00+00:00,2021-06-14 00:00:00+00:00,-0.3427,-8.57,9991.01,2021
3,LPT_USDT,2021-06-11 00:00:00+00:00,2021-07-01 00:00:00+00:00,-0.8784,-21.94,9969.07,2021
4,ICP_USDT,2021-06-15 00:00:00+00:00,2021-07-05 00:00:00+00:00,-0.3127,-7.79,9961.28,2021
5,LPT_USDT,2021-07-12 00:00:00+00:00,2021-08-01 00:00:00+00:00,0.4888,12.17,9973.45,2021
6,ICP_USDT,2021-07-16 00:00:00+00:00,2021-08-05 00:00:00+00:00,0.7148,17.82,9991.27,2021
7,LINK_USDT,2021-12-05 00:00:00+00:00,2021-12-25 00:00:00+00:00,0.3377,8.44,9999.71,2021
8,AAVE_USDT,2021-12-06 00:00:00+00:00,2021-12-26 00:00:00+00:00,1.1798,29.49,10029.2,2021
9,TRX_USDT,2022-01-08 00:00:00+00:00,2022-01-28 00:00:00+00:00,-0.7315,-18.34,10010.86,2022
10,INJ_USDT,2022-01-21 00:00:00+00:00,2022-02-10 00:00:00+00:00,-0.1331,-3.33,10007.53,2022
11,ZEC_USDT,2022-01-21 00:00:00+00:00,2022-02-10 00:00:00+00:00,0.6949,17.39,10024.92,2022
12,BCH_USDT,2022-01-21 00:00:00+00:00,2022-02-10 00:00:00+00:00,0.4021,10.08,10034.99,2022
13,BTC_USDT,2022-01-21 00:00:00+00:00,2022-02-10 00:00:00+00:00,1.1406,28.61,10063.61,2022
14,ZEN_USDT,2022-01-21 00:00:00+00:00,2022-02-10 00:00:00+00:00,0.4329,10.89,10074.5,2022
15,ETH_USDT,2022-01-21 00:00:00+00:00,2022-02-10 00:00:00+00:00,0.7558,19.04,10093.54,2022
16,SOL_USDT,2022-01-22 00:00:00+00:00,2022-02-11 00:00:00+00:00,0.0526,1.33,10094.86,2022
17,FIL_USDT,2022-01-22 00:00:00+00:00,2022-02-11 00:00:00+00:00,0.2697,6.81,10101.67,2022
18,XRP_USDT,2022-01-22 00:00:00+00:00,2022-02-11 00:00:00+00:00,1.0957,27.67,10129.34,2022
19,HBAR_USDT,2022-04-30 00:00:00+00:00,2022-05-20 00:00:00+00:00,-1.0916,-27.64,10101.7,2022
20,INJ_USDT,2022-04-30 00:00:00+00:00,2022-05-20 00:00:00+00:00,-1.3184,-33.3,10068.4,2022
21,XRP_USDT,2022-05-09 00:00:00+00:00,2022-05-29 00:00:00+00:00,-0.6908,-17.39,10051.01,2022
22,BTC_USDT,2022-05-09 00:00:00+00:00,2022-05-29 00:00:00+00:00,-0.101,-2.54,10048.48,2022
23,LINK_USDT,2022-05-09 00:00:00+00:00,2022-05-29 00:00:00+00:00,-0.4633,-11.64,10036.84,2022
24,BNB_USDT,2022-05-09 00:00:00+00:00,2022-05-29 00:00:00+00:00,0.1416,3.55,10040.39,2022
25,AVAX_USDT,2022-05-09 00:00:00+00:00,2022-05-29 00:00:00+00:00,-0.7743,-19.44,10020.96,2022
26,ATOM_USDT,2022-05-09 00:00:00+00:00,2022-05-29 00:00:00+00:00,-0.5273,-13.21,10007.75,2022
27,DOT_USDT,2022-05-09 00:00:00+00:00,2022-05-29 00:00:00+00:00,-0.154,-3.85,10003.89,2022
28,GRT_USDT,2022-05-11 00:00:00+00:00,2022-05-31 00:00:00+00:00,0.0836,2.09,10005.98,2022
29,XRP_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,0.1313,3.28,10009.27,2022
30,INJ_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,-0.185,-4.63,10004.64,2022
31,BTC_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,-0.6201,-15.51,9989.13,2022
32,FIL_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,-0.0187,-0.47,9988.66,2022
33,BNB_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,-0.0701,-1.75,9986.91,2022
34,BCH_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,-0.5242,-13.09,9973.82,2022
35,LTC_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,0.5527,13.78,9987.6,2022
36,ETH_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,-0.3626,-9.05,9978.55,2022
37,LPT_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,-0.0575,-1.43,9977.12,2022
38,ATOM_USDT,2022-06-13 00:00:00+00:00,2022-07-03 00:00:00+00:00,0.6613,16.49,9993.61,2022
39,ADA_USDT,2022-10-14 00:00:00+00:00,2022-11-03 00:00:00+00:00,0.4746,11.86,10005.47,2022
40,SOL_USDT,2022-11-09 00:00:00+00:00,2022-11-29 00:00:00+00:00,-0.0593,-1.48,10003.99,2022
41,TRX_USDT,2022-11-09 00:00:00+00:00,2022-11-29 00:00:00+00:00,-0.0148,-0.37,10003.62,2022
42,ZEC_USDT,2022-11-09 00:00:00+00:00,2022-11-29 00:00:00+00:00,0.3715,9.29,10012.91,2022
43,NEAR_USDT,2022-11-09 00:00:00+00:00,2022-11-29 00:00:00+00:00,-0.5199,-13.01,9999.89,2022
44,APT_USDT,2022-11-09 00:00:00+00:00,2022-11-29 00:00:00+00:00,0.2501,6.25,10006.14,2022
45,BTC_USDT,2022-11-09 00:00:00+00:00,2022-11-29 00:00:00+00:00,0.1773,4.44,10010.58,2022
46,FIL_USDT,2022-12-16 00:00:00+00:00,2023-01-05 00:00:00+00:00,0.3,7.51,10018.09,2022
47,LPT_USDT,2022-12-16 00:00:00+00:00,2023-01-05 00:00:00+00:00,-0.7496,-18.77,9999.31,2022
48,BNB_USDT,2022-12-16 00:00:00+00:00,2023-01-05 00:00:00+00:00,0.6979,17.45,10016.76,2022
49,ADA_USDT,2022-12-16 00:00:00+00:00,2023-01-05 00:00:00+00:00,0.1585,3.97,10020.73,2022
50,SOL_USDT,2022-12-28 00:00:00+00:00,2023-01-17 00:00:00+00:00,5.7295,143.53,10164.26,2022
51,APT_USDT,2022-12-29 00:00:00+00:00,2023-01-18 00:00:00+00:00,5.9446,151.06,10315.32,2022
52,CHZ_USDT,2022-12-30 00:00:00+00:00,2023-01-19 00:00:00+00:00,1.4416,37.18,10352.5,2022
53,HBAR_USDT,2022-12-31 00:00:00+00:00,2023-01-20 00:00:00+00:00,6.6403,171.86,10524.36,2022
54,LPT_USDT,2023-01-06 00:00:00+00:00,2023-01-26 00:00:00+00:00,3.4635,91.13,10615.48,2023
55,DOGE_USDT,2023-03-09 00:00:00+00:00,2023-03-29 00:00:00+00:00,0.8167,21.67,10637.16,2023
56,ZEC_USDT,2023-03-10 00:00:00+00:00,2023-03-30 00:00:00+00:00,0.7248,19.27,10656.43,2023
57,LTC_USDT,2023-03-10 00:00:00+00:00,2023-03-30 00:00:00+00:00,1.1533,30.73,10687.16,2023
58,LPT_USDT,2023-03-11 00:00:00+00:00,2023-03-31 00:00:00+00:00,1.2117,32.37,10719.53,2023
59,DASH_USDT,2023-03-11 00:00:00+00:00,2023-03-31 00:00:00+00:00,0.7764,20.81,10740.34,2023
60,ZEN_USDT,2023-05-08 00:00:00+00:00,2023-05-28 00:00:00+00:00,0.4475,12.02,10752.35,2023
61,SUI_USDT,2023-05-17 00:00:00+00:00,2023-06-06 00:00:00+00:00,-0.9915,-26.65,10725.7,2023
62,PEPE_USDT,2023-05-19 00:00:00+00:00,2023-06-08 00:00:00+00:00,-0.2796,-7.5,10718.2,2023
63,CHZ_USDT,2023-05-25 00:00:00+00:00,2023-06-14 00:00:00+00:00,-3.1328,-83.94,10634.26,2023
64,BNB_USDT,2023-06-05 00:00:00+00:00,2023-06-25 00:00:00+00:00,-1.6417,-43.65,10590.61,2023
65,SUI_USDT,2023-06-07 00:00:00+00:00,2023-06-27 00:00:00+00:00,-0.163,-4.32,10586.3,2023
66,PEPE_USDT,2023-06-09 00:00:00+00:00,2023-06-29 00:00:00+00:00,0.8931,23.64,10609.93,2023
67,ADA_USDT,2023-06-09 00:00:00+00:00,2023-06-29 00:00:00+00:00,-0.3975,-10.54,10599.39,2023
68,ZEC_USDT,2023-06-10 00:00:00+00:00,2023-06-30 00:00:00+00:00,1.8481,48.97,10648.36,2023
69,ZEN_USDT,2023-06-10 00:00:00+00:00,2023-06-30 00:00:00+00:00,1.7551,46.72,10695.08,2023
70,NEAR_USDT,2023-06-10 00:00:00+00:00,2023-06-30 00:00:00+00:00,0.6751,18.05,10713.14,2023
71,UNI_USDT,2023-06-10 00:00:00+00:00,2023-06-30 00:00:00+00:00,1.7476,46.81,10759.94,2023
72,ATOM_USDT,2023-06-10 00:00:00+00:00,2023-06-30 00:00:00+00:00,0.6513,17.52,10777.46,2023
73,SOL_USDT,2023-06-14 00:00:00+00:00,2023-07-04 00:00:00+00:00,0.9784,26.36,10803.82,2023
74,ARKM_USDT,2023-08-01 00:00:00+00:00,2023-08-21 00:00:00+00:00,-0.4867,-13.15,10790.68,2023
75,SUI_USDT,2023-08-16 00:00:00+00:00,2023-09-05 00:00:00+00:00,-0.3943,-10.64,10780.04,2023
76,ATOM_USDT,2023-08-17 00:00:00+00:00,2023-09-06 00:00:00+00:00,-0.4939,-13.31,10766.73,2023
77,ARB_USDT,2023-08-17 00:00:00+00:00,2023-09-06 00:00:00+00:00,-0.6013,-16.19,10750.54,2023
78,DASH_USDT,2023-08-17 00:00:00+00:00,2023-09-06 00:00:00+00:00,-0.021,-0.56,10749.98,2023
79,NEAR_USDT,2023-08-17 00:00:00+00:00,2023-09-06 00:00:00+00:00,0.0631,1.7,10751.68,2023
80,BNB_USDT,2023-08-17 00:00:00+00:00,2023-09-06 00:00:00+00:00,-0.1914,-5.14,10746.53,2023
81,CHZ_USDT,2023-08-17 00:00:00+00:00,2023-09-06 00:00:00+00:00,-0.3065,-8.23,10738.3,2023
82,FIL_USDT,2023-08-17 00:00:00+00:00,2023-09-06 00:00:00+00:00,-0.3406,-9.14,10729.15,2023
83,ICP_USDT,2023-08-17 00:00:00+00:00,2023-09-06 00:00:00+00:00,-0.0631,-1.69,10727.46,2023
84,GRT_USDT,2023-09-11 00:00:00+00:00,2023-10-01 00:00:00+00:00,1.2558,33.68,10761.14,2023
85,CHZ_USDT,2023-09-11 00:00:00+00:00,2023-10-01 00:00:00+00:00,1.4515,39.05,10800.19,2023
86,DOT_USDT,2023-09-11 00:00:00+00:00,2023-10-01 00:00:00+00:00,0.6296,17.0,10817.19,2023
87,ARB_USDT,2023-09-11 00:00:00+00:00,2023-10-01 00:00:00+00:00,1.5382,41.6,10858.79,2023
88,ICP_USDT,2023-09-14 00:00:00+00:00,2023-10-04 00:00:00+00:00,0.6451,17.51,10876.3,2023
89,PEPE_USDT,2023-09-17 00:00:00+00:00,2023-10-07 00:00:00+00:00,0.6,16.31,10892.61,2023
90,ZEC_USDT,2024-01-08 00:00:00+00:00,2024-01-28 00:00:00+00:00,0.1258,3.43,10896.04,2024
91,TRX_USDT,2024-03-19 00:00:00+00:00,2024-04-08 00:00:00+00:00,0.9847,26.82,10922.86,2024
92,TIA_USDT,2024-04-12 00:00:00+00:00,2024-05-02 00:00:00+00:00,0.3919,10.7,10933.56,2024
93,ATOM_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,0.3055,8.35,10941.91,2024
94,ZEC_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,0.4188,11.46,10953.37,2024
95,ARB_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,0.0863,2.36,10955.73,2024
96,UNI_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,0.2203,6.03,10961.77,2024
97,SEI_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,0.3709,10.16,10971.93,2024
98,LINK_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,0.2061,5.65,10977.58,2024
99,APT_USDT,2024-04-13 00:00:00+00:00,2024-05-03 00:00:00+00:00,0.0646,1.77,10979.36,2024
100,SAGA_USDT,2024-04-23 00:00:00+00:00,2024-05-13 00:00:00+00:00,-0.6206,-17.03,10962.32,2024
101,TAO_USDT,2024-04-25 00:00:00+00:00,2024-05-15 00:00:00+00:00,-0.3022,-8.28,10954.04,2024
102,SUI_USDT,2024-05-14 00:00:00+00:00,2024-06-03 00:00:00+00:00,0.6756,18.5,10972.54,2024
103,SAGA_USDT,2024-05-14 00:00:00+00:00,2024-06-03 00:00:00+00:00,0.6889,18.9,10991.44,2024
104,FET_USDT,2024-06-11 00:00:00+00:00,2024-07-01 00:00:00+00:00,-0.5334,-14.66,10976.78,2024
105,ALT_USDT,2024-06-14 00:00:00+00:00,2024-07-04 00:00:00+00:00,-1.2289,-33.72,10943.06,2024
106,WLD_USDT,2024-06-17 00:00:00+00:00,2024-07-07 00:00:00+00:00,-0.9847,-26.94,10916.12,2024
107,SAGA_USDT,2024-06-17 00:00:00+00:00,2024-07-07 00:00:00+00:00,-0.5708,-15.58,10900.54,2024
108,DASH_USDT,2024-06-18 00:00:00+00:00,2024-07-08 00:00:00+00:00,-0.0268,-0.73,10899.81,2024
109,NEAR_USDT,2024-06-18 00:00:00+00:00,2024-07-08 00:00:00+00:00,-0.1647,-4.49,10895.32,2024
110,ZEN_USDT,2024-06-18 00:00:00+00:00,2024-07-08 00:00:00+00:00,1.4101,38.41,10933.73,2024
