lookback,top_k,bottom_k,rebalance,filter_long,filter_short,cagr,max_dd,sharpe,calmar,total_return,n_periods,avg_turnover,avg_long_ret,avg_short_ret,yr_2020,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025,yr_2026
20,20,10,biweekly,ema200_above,none,49.01,-11.65,2.877,4.206,883.43,87,81.1,4.201,1.804,14.49,219.26,5.45,7.91,78.61,29.99,4.15
20,20,5,biweekly,ema200_above,none,55.97,-28.72,2.715,1.949,1146.56,87,82.9,4.201,2.6,17.74,268.1,9.05,15.6,97.03,13.51,7.19
20,20,15,biweekly,ema200_above,none,42.26,-11.81,2.665,3.578,653.16,87,79.5,4.201,1.126,14.86,199.45,4.73,-5.52,52.73,40.9,5.02
20,20,5,biweekly,ema200_above,ema200_below,28.32,-28.72,2.511,0.986,328.64,79,82.4,1.31,3.02,1.13,44.3,7.05,18.82,87.95,8.94,8.27
20,20,10,biweekly,ema200_above,ema200_below,19.49,-15.83,2.297,1.231,179.76,74,82.1,1.551,1.714,3.14,32.15,4.61,-6.37,50.11,30.98,4.59
20,15,5,biweekly,ema200_above,none,57.01,-29.12,2.247,1.958,1376.9,107,82.0,4.039,2.081,11.24,366.97,10.86,11.61,61.43,37.71,2.1
20,20,20,biweekly,ema200_above,none,34.24,-12.1,2.245,2.83,436.52,87,77.7,4.201,0.322,9.04,149.43,4.1,-8.58,43.16,44.3,2.78
20,15,10,biweekly,ema200_above,none,48.68,-15.57,2.228,3.126,973.7,107,80.3,4.039,1.252,9.66,288.23,7.12,5.57,57.8,40.67,-1.27
20,20,15,biweekly,ema200_above,ema200_below,15.94,-14.69,2.122,1.085,122.81,69,80.7,0.754,2.0,6.95,9.49,3.71,-4.25,31.19,39.86,5.44
20,15,15,biweekly,ema200_above,none,43.23,-15.17,2.105,2.85,761.29,107,78.9,4.039,0.777,10.99,265.17,5.92,-9.67,38.34,54.73,1.83
