tf,lookback_n,hold_bars,atr_mult,n,avg_r,total_r,win_rate,pf,y2019_n,y2019_total,y2019_avg,y2020_n,y2020_total,y2020_avg,y2021_n,y2021_total,y2021_avg,y2022_n,y2022_total,y2022_avg,y2023_n,y2023_total,y2023_avg,y2024_n,y2024_total,y2024_avg,y2025_n,y2025_total,y2025_avg,y2026_n,y2026_total,y2026_avg,y2022_positive,r2025_share,flag_2025_conc
8h,10,20,2.0,3347,0.10812480833785622,361.8937335068048,0.4586196593964745,1.2274352462563995,1,0.3346195121395902,0.3346195121395902,80,-16.56563187422287,-0.20707039842778588,219,-30.666125856156455,-0.1400279719459199,599,166.80348688729646,0.27846992802553666,588,-12.419038695003831,-0.02112081410714937,733,-9.969409972278092,-0.01360083215863314,841,245.0949361595247,0.2914327421635252,286,19.280897345505256,0.06741572498428411,True,0.6772566459897437,True
2h,5,20,2.0,15919,0.09820879367942001,1563.3857865826872,0.45392298511213014,1.2122864581112367,21,5.268587754699929,0.2508851311761871,653,-16.145855362442006,-0.02472565905427566,1766,43.74967537534802,0.024773315614579853,2144,488.7051980101653,0.2279408572808607,2853,-2.5211945525390576,-0.0008836994576021933,3996,543.8643117409788,0.13610218011536007,3621,417.8297959626383,0.11539071968037512,865,82.63526765383787,0.09553210133391661,True,0.267259559059922,False
2h,10,20,2.0,10876,0.09620650560739681,1046.3419549860478,0.4564178006620081,1.2061248860737286,15,10.539137885706872,0.7026091923804582,433,-33.293364174126125,-0.07688998654532593,1195,-8.417140930846678,-0.007043632578114375,1465,310.286725772785,0.21179981281418772,1904,88.07651329084896,0.046258672946874455,2641,240.79311052141526,0.09117497558554157,2676,387.05974711469605,0.14464116110414652,547,51.29722550556855,0.0937792056774562,True,0.3699170670451203,False
6h,5,20,2.0,5881,0.08741977313034059,514.115685779533,0.4599557898316613,1.1883972329007297,3,1.5561286729080366,0.5187095576360122,141,-32.80209248382005,-0.23263895378595778,428,-12.16808087578515,-0.028430095504170912,977,124.65636578164683,0.1275909578113069,987,13.12725452465751,0.013300156559936686,1252,43.723673635971025,0.03492306200956152,1624,340.03099398545874,0.20937869087774552,469,35.99144253849603,0.07674081564711308,True,0.6613900400060414,True
8h,10,15,2.0,3539,0.08722316427328386,308.68277836315156,0.48799095789771124,1.202100295248411,1,0.7888954615366028,0.7888954615366028,82,-14.331226068107656,-0.17477104961106896,234,-33.878328987170825,-0.14477918370585824,622,132.32810980350703,0.212746157240365,634,-38.818397497302456,-0.061227756304893466,776,-27.385130581028676,-0.03529011672812974,896,267.96836930967055,0.2990718407474002,294,22.01048692204702,0.07486560177567013,True,0.8681027517331003,True
2h,15,20,2.0,7967,0.07767311692995414,618.8217225809447,0.45010669009664867,1.1628116464394656,12,9.321515274277504,0.7767929395231253,288,-18.25402497062506,-0.06338203114800368,845,-21.64450069370726,-0.025614793720363623,1109,204.8809561979417,0.18474387393863095,1365,71.77776182524937,0.05258444089761859,1922,120.67041161770804,0.06278377295406246,2014,216.62646501784863,0.10756031033656833,412,35.44313831225173,0.08602703473847507,True,0.3500628001783065,False
8h,10,20,3.0,3184,0.07457170380730332,237.4363049224538,0.5251256281407035,1.2133049825088171,1,0.223079674759727,0.223079674759727,70,-11.1396146004486,-0.15913735143497998,211,-22.491710041808446,-0.10659578218866562,565,117.27334451279276,0.20756344161556242,570,-1.0852919060975417,-0.001904020887890424,694,-20.009585317234063,-0.028832255500337266,804,155.4314135861499,0.19332265371411678,269,19.234669014340042,0.07150434577821577,True,0.6546236205828484,True
8h,5,20,2.0,4744,0.0742075256673467,352.04050176589277,0.45889544688026984,1.159466741026878,1,0.3346195121395902,0.3346195121395902,109,-40.47406596144888,-0.37132170606833836,324,-45.41057468846479,-0.14015609471748391,809,194.17155867959224,0.24001428761383467,829,-14.562302510202969,-0.017566106767434222,1040,-20.150763687565572,-0.019375734314966895,1211,265.19059701710853,0.2189848034823357,421,12.941433404734612,0.030739746804595278,True,0.7532957023037664,True
1d,10,20,2.0,1265,0.07250061639029975,91.7132797337292,0.4766798418972332,1.148386580254041,0,0.0,,2,-2.0,-1.0,31,-9.328390403224995,-0.3009158194588708,213,31.719159439654465,0.1489162415007252,273,-82.97948102460998,-0.3039541429472893,261,20.659592660743968,0.07915552743580065,375,128.42705374406427,0.3424721433175047,110,5.21534531710145,0.04741223015546773,True,1.400310338011311,True
2h,5,15,2.0,17081,0.07222785731103856,1233.7240307298498,0.47257186347403546,1.1755542054842951,24,10.082006177768449,0.420083590740352,716,4.0097332233922955,0.005600186066190357,1929,21.344946601369504,0.011065291136013221,2283,407.1315525677311,0.1783318232885375,3057,26.76598334311256,0.008755637338276924,4293,257.4057444694795,0.05995940938026543,3857,422.86371530339346,0.10963539416733042,922,84.12034904360301,0.09123682108850652,True,0.3427538937157888,False
