pool,entry_date,exit_date,symbol,system,entry_price,exit_price,bars_held,net_r,pnl_usdt,exit_reason,regime,risk_pct
B,2021-01-27,2021-02-17,HBAR_USDT,ConsecDownDays,0.07946,0.1387,20,1.8421,13.8159,time_exit,BULL,0.25
B,2021-02-17,2021-03-10,DOGE_USDT,ConsecDownDays,0.0495187,0.0558692,20,0.2084,1.5698,time_exit,BULL,0.25
B,2021-02-21,2021-03-14,ATOM_USDT,ConsecDownDays,21.569,18.444,20,-0.4599,-3.4648,time_exit,BULL,0.25
B,2021-02-26,2021-03-19,ZEN_USDT,ConsecDownDays,46.173,59.66,20,0.504,3.7977,time_exit,BULL,0.25
B,2021-03-04,2021-03-25,ADA_USDT,ConsecDownDays,1.11239,1.0956,20,-0.0442,-0.3327,time_exit,BULL,0.25
B,2021-03-24,2021-04-14,ATOM_USDT,ConsecDownDays,17.424,27.068,20,2.2003,16.5889,time_exit,BULL,0.25
B,2021-03-24,2021-04-14,AVAX_USDT,ConsecDownDays,25.8387,38.3391,20,1.3456,10.1451,time_exit,BULL,0.25
B,2021-03-24,2021-04-14,DOT_USDT,ConsecDownDays,30.2209,42.5171,20,1.8782,14.1605,time_exit,BULL,0.25
B,2021-03-24,2021-04-14,ETH_USDT,ConsecDownDays,1581.84,2432.6,20,3.527,26.5912,time_exit,BULL,0.25
B,2021-03-24,2021-04-14,LINK_USDT,ConsecDownDays,24.8684,41.3641,20,3.3833,25.5078,time_exit,BULL,0.25
B,2021-03-24,2021-04-14,ZEN_USDT,ConsecDownDays,46.509,84.646,20,2.6708,20.1361,time_exit,BULL,0.25
B,2021-03-25,2021-04-15,DOGE_USDT,ConsecDownDays,0.051266,0.1823599,20,16.5969,125.1151,time_exit,BULL,0.25
B,2021-03-25,2021-04-15,GRT_USDT,ConsecDownDays,1.33753,2.09591,20,2.2476,16.9437,time_exit,BULL,0.25
B,2021-03-25,2021-04-15,NEAR_USDT,ConsecDownDays,4.8068,6.5225,20,1.0509,7.9224,time_exit,BULL,0.25
B,2021-03-25,2021-04-15,ZEC_USDT,ConsecDownDays,123.02,252.27,20,4.9827,37.5615,time_exit,BULL,0.25
B,2021-04-03,2021-04-22,FET_USDT,ConsecDownDays,0.63403,0.40053714,18,-1.0,-7.5385,stop,BULL,0.25
B,2021-04-19,2021-05-10,AVAX_USDT,ConsecDownDays,26.1827,34.652,20,0.9454,7.8373,time_exit,BULL,0.25
B,2021-04-19,2021-05-10,XRP_USDT,ConsecDownDays,1.30945,1.3906,20,0.142,1.1773,time_exit,BULL,0.25
B,2021-04-21,2021-05-12,FIL_USDT,ConsecDownDays,147.7287,127.04,20,-0.5574,-4.6209,time_exit,BULL,0.25
B,2021-04-21,2021-05-12,LTC_USDT,ConsecDownDays,257.69,310.4,20,0.832,6.8975,time_exit,BULL,0.25
B,2021-04-25,2021-05-16,BCH_USDT,ConsecDownDays,758.87,1166.69,20,1.4047,11.6185,time_exit,BULL,0.25
B,2021-04-25,2021-05-16,BTC_USDT,ConsecDownDays,49066.77,46431.5,20,-0.3458,-2.8604,time_exit,BULL,0.25
B,2021-04-25,2021-05-16,TRX_USDT,ConsecDownDays,0.10176,0.11964,20,0.3848,3.1832,time_exit,BULL,0.25
B,2021-05-04,2021-05-19,INJ_USDT,ConsecDownDays,17.693,10.51995714,14,-1.0,-8.2713,stop,MIXED,0.25
B,2021-05-10,2021-05-19,XRP_USDT,ConsecDownDays,1.3906,1.00604286,8,-1.0,-8.2938,stop,MIXED,0.25
B,2021-06-19,2021-06-21,DOGE_USDT,ConsecDownDays,0.28567,0.23711429,1,-1.0,-8.288,stop,BEAR,0.25
B,2021-06-08,2021-06-22,ZEN_USDT,ConsecDownDays,83.05,55.32285714,13,-1.0,-8.288,stop,BEAR,0.25
B,2021-06-19,2021-06-22,ADA_USDT,ConsecDownDays,1.3839,1.14167143,2,-1.0,-8.288,stop,BEAR,0.25
B,2021-07-16,2021-08-06,ADA_USDT,ConsecDownDays,1.1708,1.4025,20,1.5079,12.4037,time_exit,MIXED,0.25
B,2021-08-18,2021-09-08,CHZ_USDT,ConsecDownDays,0.33047,0.3371,20,0.0955,0.7885,time_exit,BULL,0.25
B,2021-09-13,2021-10-04,SOL_USDT,ConsecDownDays,169.53,167.13,20,-0.0445,-0.3677,time_exit,BULL,0.25
B,2021-09-28,2021-10-19,AVAX_USDT,ConsecDownDays,61.51,56.8,20,-0.2291,-1.8917,time_exit,BULL,0.25
B,2021-09-28,2021-10-19,DOT_USDT,ConsecDownDays,26.31,41.34,20,1.9567,16.1597,time_exit,BULL,0.25
