time,open,high,low,close,volume
2023-07-21 23:00:00+00:00,0.801,0.804,0.783,0.784,523481.0
2023-07-22 00:00:00+00:00,0.785,0.794,0.78,0.783,613887.8
2023-07-22 01:00:00+00:00,0.783,0.791,0.774,0.778,622737.6
2023-07-22 02:00:00+00:00,0.779,0.78,0.721,0.728,1822342.2
2023-07-22 03:00:00+00:00,0.729,0.733,0.711,0.72,1517827.3
2023-07-22 04:00:00+00:00,0.72,0.73,0.713,0.719,415362.8
2023-07-22 05:00:00+00:00,0.72,0.731,0.718,0.724,352196.6
2023-07-22 06:00:00+00:00,0.724,0.729,0.719,0.726,278090.7
2023-07-22 07:00:00+00:00,0.725,0.733,0.723,0.73,345476.3
2023-07-22 08:00:00+00:00,0.73,0.738,0.724,0.738,440370.7
2023-07-22 09:00:00+00:00,0.737,0.752,0.73,0.734,700195.8
2023-07-22 10:00:00+00:00,0.734,0.735,0.728,0.733,287513.0
2023-07-22 11:00:00+00:00,0.733,0.738,0.723,0.737,402213.4
2023-07-22 12:00:00+00:00,0.736,0.736,0.721,0.725,355889.6
2023-07-22 13:00:00+00:00,0.725,0.728,0.721,0.728,215278.0
2023-07-22 14:00:00+00:00,0.727,0.73,0.72,0.721,293015.9
2023-07-22 15:00:00+00:00,0.72,0.726,0.705,0.711,643910.1
2023-07-22 16:00:00+00:00,0.711,0.722,0.704,0.711,518336.8
2023-07-22 17:00:00+00:00,0.711,0.717,0.701,0.713,345988.4
2023-07-22 18:00:00+00:00,0.713,0.715,0.682,0.692,716629.3
2023-07-22 19:00:00+00:00,0.692,0.698,0.691,0.692,253725.6
2023-07-22 20:00:00+00:00,0.692,0.696,0.683,0.696,359086.2
2023-07-22 21:00:00+00:00,0.696,0.716,0.695,0.713,960257.5
2023-07-22 22:00:00+00:00,0.714,0.714,0.703,0.706,297105.5
2023-07-22 23:00:00+00:00,0.706,0.716,0.687,0.713,457275.2
2023-07-23 00:00:00+00:00,0.713,0.716,0.695,0.695,387716.7
2023-07-23 01:00:00+00:00,0.697,0.711,0.694,0.704,296708.1
2023-07-23 02:00:00+00:00,0.704,0.709,0.702,0.705,132634.7
2023-07-23 03:00:00+00:00,0.704,0.705,0.698,0.701,126228.9
2023-07-23 04:00:00+00:00,0.702,0.705,0.691,0.693,371753.5
2023-07-23 05:00:00+00:00,0.693,0.695,0.688,0.69,388246.1
2023-07-23 06:00:00+00:00,0.689,0.697,0.684,0.686,460350.8
2023-07-23 07:00:00+00:00,0.686,0.69,0.674,0.683,672033.4
2023-07-23 08:00:00+00:00,0.684,0.694,0.683,0.692,342093.1
2023-07-23 09:00:00+00:00,0.692,0.692,0.681,0.682,327770.9
2023-07-23 10:00:00+00:00,0.682,0.687,0.682,0.685,183747.5
2023-07-23 11:00:00+00:00,0.686,0.69,0.682,0.688,91957.3
2023-07-23 12:00:00+00:00,0.689,0.689,0.678,0.681,238561.0
2023-07-23 13:00:00+00:00,0.681,0.682,0.675,0.682,435048.4
2023-07-23 14:00:00+00:00,0.681,0.685,0.679,0.682,194257.7
2023-07-23 15:00:00+00:00,0.681,0.684,0.67,0.674,259645.0
2023-07-23 16:00:00+00:00,0.673,0.689,0.672,0.681,461626.6
2023-07-23 17:00:00+00:00,0.682,0.69,0.677,0.688,171988.3
2023-07-23 18:00:00+00:00,0.688,0.69,0.681,0.684,358691.6
2023-07-23 19:00:00+00:00,0.684,0.686,0.671,0.672,253971.0
2023-07-23 20:00:00+00:00,0.672,0.674,0.662,0.673,464007.7
2023-07-23 21:00:00+00:00,0.673,0.673,0.657,0.658,402301.4
2023-07-23 22:00:00+00:00,0.66,0.667,0.658,0.663,80783.3
2023-07-23 23:00:00+00:00,0.663,0.669,0.662,0.666,164437.0
2023-07-24 00:00:00+00:00,0.666,0.669,0.655,0.667,336132.9
2023-07-24 01:00:00+00:00,0.666,0.67,0.662,0.668,242561.4
2023-07-24 02:00:00+00:00,0.667,0.668,0.655,0.657,245923.7
2023-07-24 03:00:00+00:00,0.656,0.657,0.632,0.637,499161.1
2023-07-24 04:00:00+00:00,0.637,0.637,0.621,0.629,626164.1
2023-07-24 05:00:00+00:00,0.629,0.629,0.621,0.626,194209.4
2023-07-24 06:00:00+00:00,0.626,0.626,0.617,0.622,289406.6
2023-07-24 07:00:00+00:00,0.622,0.63,0.62,0.624,322374.1
2023-07-24 08:00:00+00:00,0.624,0.624,0.617,0.623,298490.2
2023-07-24 09:00:00+00:00,0.623,0.627,0.557,0.587,1485882.9
2023-07-24 10:00:00+00:00,0.586,0.595,0.585,0.591,617858.9
2023-07-24 11:00:00+00:00,0.591,0.593,0.587,0.589,279764.4
2023-07-24 12:00:00+00:00,0.589,0.591,0.585,0.587,281493.6
2023-07-24 13:00:00+00:00,0.586,0.588,0.575,0.578,458951.9
2023-07-24 14:00:00+00:00,0.578,0.582,0.57,0.573,648092.1
2023-07-24 15:00:00+00:00,0.573,0.573,0.564,0.568,637954.2
2023-07-24 16:00:00+00:00,0.568,0.574,0.561,0.562,384158.2
