time,open,high,low,close,volume
2023-07-21 23:00:00+00:00,14.34,14.35,14.25,14.28,224.4193
2023-07-22 00:00:00+00:00,14.27,14.34,14.24,14.25,402.9116
2023-07-22 01:00:00+00:00,14.26,14.39,14.26,14.32,1360.0513
2023-07-22 02:00:00+00:00,14.3,14.33,14.24,14.26,628.2617
2023-07-22 03:00:00+00:00,14.28,14.43,14.21,14.37,1415.5109
2023-07-22 04:00:00+00:00,14.38,14.45,14.3,14.39,489.736
2023-07-22 05:00:00+00:00,14.42,14.42,14.31,14.34,250.9646
2023-07-22 06:00:00+00:00,14.33,14.35,14.28,14.3,283.9013
2023-07-22 07:00:00+00:00,14.28,14.33,14.26,14.33,315.669
2023-07-22 08:00:00+00:00,14.29,14.35,14.28,14.32,379.1893
2023-07-22 09:00:00+00:00,14.3,14.33,14.22,14.22,408.1083
2023-07-22 10:00:00+00:00,14.22,14.3,14.11,14.22,745.3794
2023-07-22 11:00:00+00:00,14.2,14.22,14.19,14.2,98.2168
2023-07-22 12:00:00+00:00,14.17,14.22,14.12,14.16,540.4453
2023-07-22 13:00:00+00:00,14.14,14.18,14.13,14.17,58.5395
2023-07-22 14:00:00+00:00,14.18,14.2,14.16,14.18,83.2797
2023-07-22 15:00:00+00:00,14.15,14.53,14.07,14.11,6165.2577
2023-07-22 16:00:00+00:00,14.11,14.13,14.05,14.12,628.8604
2023-07-22 17:00:00+00:00,14.11,14.22,14.11,14.14,771.3499
2023-07-22 18:00:00+00:00,14.11,14.11,14.05,14.09,438.2106
2023-07-22 19:00:00+00:00,14.08,14.1,14.02,14.06,395.2048
2023-07-22 20:00:00+00:00,14.07,14.09,14.05,14.07,322.6062
2023-07-22 21:00:00+00:00,14.07,14.09,14.04,14.04,101.2561
2023-07-22 22:00:00+00:00,14.04,14.07,14.01,14.07,674.2076
2023-07-22 23:00:00+00:00,14.07,14.07,13.9,14.02,2407.1816
2023-07-23 00:00:00+00:00,14.02,14.08,13.9,13.95,448.8995
2023-07-23 01:00:00+00:00,13.96,14.07,13.96,14.05,140.5262
2023-07-23 02:00:00+00:00,14.03,14.13,14.03,14.12,357.0269
2023-07-23 03:00:00+00:00,14.1,14.11,14.08,14.08,49.3439
2023-07-23 04:00:00+00:00,14.11,14.15,14.04,14.09,713.3272
2023-07-23 05:00:00+00:00,14.1,14.16,14.1,14.1,31.8508
2023-07-23 06:00:00+00:00,14.1,14.13,14.05,14.13,390.0326
2023-07-23 07:00:00+00:00,14.13,14.14,14.08,14.1,360.0923
2023-07-23 08:00:00+00:00,14.08,14.11,14.05,14.11,444.5121
2023-07-23 09:00:00+00:00,14.11,14.14,14.06,14.08,91.3906
2023-07-23 10:00:00+00:00,14.11,14.11,14.06,14.09,37.1341
2023-07-23 11:00:00+00:00,14.06,14.12,14.05,14.06,106.3691
2023-07-23 12:00:00+00:00,14.06,14.08,14.05,14.08,97.1014
2023-07-23 13:00:00+00:00,14.08,14.13,14.05,14.1,334.7399
