time,open,high,low,close,volume
2025-11-11 14:00:00+00:00,0.22,0.9887,0.22,0.6607,69841843.2
2025-11-11 16:00:00+00:00,0.6607,0.667,0.5183,0.6219,30950445.3
2025-11-11 18:00:00+00:00,0.6215,0.6571,0.568,0.5843,22824104.4
2025-11-11 20:00:00+00:00,0.5843,0.6009,0.506,0.5393,15259212.3
2025-11-11 22:00:00+00:00,0.5394,0.5432,0.455,0.4703,10188322.8
2025-11-12 00:00:00+00:00,0.4704,0.4956,0.4249,0.4502,11730282.6
2025-11-12 02:00:00+00:00,0.45,0.4886,0.4345,0.4522,9888166.2
2025-11-12 04:00:00+00:00,0.4522,0.5278,0.44,0.489,14797189.1
2025-11-12 06:00:00+00:00,0.4894,0.4906,0.4548,0.4656,7980116.6
2025-11-12 08:00:00+00:00,0.466,0.4733,0.4353,0.4579,8064694.7
2025-11-12 10:00:00+00:00,0.458,0.48,0.4406,0.4512,116928871.3
2025-11-12 12:00:00+00:00,0.4512,0.461,0.4099,0.4138,65534952.4
2025-11-12 14:00:00+00:00,0.4139,0.4257,0.3699,0.3841,40081126.0
2025-11-12 16:00:00+00:00,0.3843,0.3877,0.3492,0.3578,20900631.9
2025-11-12 18:00:00+00:00,0.3579,0.3745,0.3514,0.3548,12935749.5
2025-11-12 20:00:00+00:00,0.3549,0.37,0.35,0.3511,6948524.5
2025-11-12 22:00:00+00:00,0.3512,0.3577,0.334,0.3508,11319964.5
2025-11-13 00:00:00+00:00,0.3507,0.3515,0.316,0.3328,14791874.8
2025-11-13 02:00:00+00:00,0.3329,0.3368,0.3208,0.3234,13901500.5
2025-11-13 04:00:00+00:00,0.3234,0.3234,0.2716,0.2826,35235788.4
2025-11-13 06:00:00+00:00,0.2826,0.2972,0.2761,0.287,22075225.7
2025-11-13 08:00:00+00:00,0.287,0.3138,0.281,0.2941,23919121.8
2025-11-13 10:00:00+00:00,0.294,0.3051,0.2839,0.3006,15642116.9
2025-11-13 12:00:00+00:00,0.3008,0.3088,0.2728,0.2797,18928762.9
2025-11-13 14:00:00+00:00,0.2797,0.2805,0.2509,0.256,26044101.7
2025-11-13 16:00:00+00:00,0.2559,0.278,0.2532,0.2649,17731396.1
2025-11-13 18:00:00+00:00,0.2647,0.2732,0.2174,0.2234,30322260.8
2025-11-13 20:00:00+00:00,0.2234,0.2338,0.2179,0.2302,14010029.0
2025-11-13 22:00:00+00:00,0.2304,0.244,0.2278,0.2415,8575712.1
2025-11-14 00:00:00+00:00,0.2415,0.2455,0.2306,0.2375,9468371.7
2025-11-14 02:00:00+00:00,0.2375,0.2485,0.2328,0.2345,9590929.9
2025-11-14 04:00:00+00:00,0.2346,0.2367,0.2184,0.2227,13055137.8
2025-11-14 06:00:00+00:00,0.2228,0.2475,0.219,0.2382,14970156.1
2025-11-14 08:00:00+00:00,0.2381,0.24,0.2261,0.2277,11349496.3
2025-11-14 10:00:00+00:00,0.2277,0.2435,0.2277,0.2382,13385003.3
2025-11-14 12:00:00+00:00,0.2382,0.2584,0.2286,0.2567,18703023.5
2025-11-14 14:00:00+00:00,0.2567,0.2683,0.2411,0.2424,20984345.1
2025-11-14 16:00:00+00:00,0.2424,0.2475,0.2341,0.2375,14060681.3
2025-11-14 18:00:00+00:00,0.2377,0.2665,0.2372,0.2643,14141801.2
