time,open,high,low,close,volume
2023-06-10 08:00:00+00:00,4.72,4.83,4.69,4.76,181295.05
2023-06-10 10:00:00+00:00,4.76,4.86,4.74,4.85,155827.57
2023-06-10 12:00:00+00:00,4.84,4.84,4.71,4.73,90272.51
2023-06-10 14:00:00+00:00,4.73,4.8,4.69,4.75,94811.61
2023-06-10 16:00:00+00:00,4.75,5.19,4.72,4.98,169700.25
2023-06-10 18:00:00+00:00,4.98,4.99,4.84,4.89,38375.54
2023-06-10 20:00:00+00:00,4.88,4.92,4.85,4.9,24578.05
2023-06-10 22:00:00+00:00,4.9,4.97,4.88,4.92,29764.92
2023-06-11 00:00:00+00:00,4.92,4.93,4.84,4.88,36436.56
2023-06-11 02:00:00+00:00,4.87,4.89,4.84,4.86,25505.93
2023-06-11 04:00:00+00:00,4.86,4.88,4.78,4.88,24075.96
2023-06-11 06:00:00+00:00,4.88,4.91,4.85,4.87,22938.69
2023-06-11 08:00:00+00:00,4.87,4.93,4.85,4.91,24103.13
2023-06-11 10:00:00+00:00,4.91,5.0,4.89,4.96,38277.44
2023-06-11 12:00:00+00:00,4.95,5.0,4.89,4.89,53370.74
2023-06-11 14:00:00+00:00,4.89,4.93,4.85,4.86,29397.34
2023-06-11 16:00:00+00:00,4.86,5.01,4.85,5.0,76574.34
2023-06-11 18:00:00+00:00,5.01,5.09,5.0,5.07,29870.92
2023-06-11 20:00:00+00:00,5.08,5.12,5.02,5.03,30720.05
2023-06-11 22:00:00+00:00,5.04,5.07,4.96,5.0,28179.0
2023-06-12 00:00:00+00:00,5.01,5.02,4.94,4.99,26951.48
2023-06-12 02:00:00+00:00,4.99,5.02,4.86,4.94,51227.4
2023-06-12 04:00:00+00:00,4.93,5.03,4.93,4.99,31614.69
2023-06-12 06:00:00+00:00,4.99,5.08,4.99,5.0,37105.5
2023-06-12 08:00:00+00:00,5.01,5.17,4.99,5.13,49144.53
2023-06-12 10:00:00+00:00,5.13,5.16,5.09,5.11,9852.02
2023-06-12 12:00:00+00:00,5.11,5.13,5.05,5.08,35995.46
2023-06-12 14:00:00+00:00,5.07,5.12,5.06,5.09,10776.39
2023-06-12 16:00:00+00:00,5.09,5.1,4.99,5.08,98446.32
2023-06-12 18:00:00+00:00,5.08,5.12,5.05,5.1,17885.35
2023-06-12 20:00:00+00:00,5.1,5.17,5.08,5.17,16121.62
2023-06-12 22:00:00+00:00,5.17,5.19,5.12,5.14,17526.43
2023-06-13 00:00:00+00:00,5.15,5.17,5.09,5.12,15794.95
2023-06-13 02:00:00+00:00,5.13,5.19,5.1,5.18,24756.78
2023-06-13 04:00:00+00:00,5.17,5.18,5.11,5.15,17412.38
2023-06-13 06:00:00+00:00,5.16,5.19,5.14,5.16,10960.96
2023-06-13 08:00:00+00:00,5.16,5.24,5.15,5.18,39737.52
2023-06-13 10:00:00+00:00,5.19,5.24,5.16,5.23,49993.01
2023-06-13 12:00:00+00:00,5.24,5.32,5.17,5.17,98197.99
2023-06-13 14:00:00+00:00,5.17,5.18,5.06,5.07,68457.47
2023-06-13 16:00:00+00:00,5.07,5.15,5.06,5.13,24999.89
2023-06-13 18:00:00+00:00,5.13,5.19,5.13,5.15,21801.09
2023-06-13 20:00:00+00:00,5.15,5.2,5.13,5.16,14440.94
2023-06-13 22:00:00+00:00,5.17,5.21,5.14,5.2,16360.79
2023-06-14 00:00:00+00:00,5.2,5.21,5.15,5.2,28675.9
2023-06-14 02:00:00+00:00,5.19,5.21,5.17,5.18,14764.26
2023-06-14 04:00:00+00:00,5.19,5.23,5.14,5.14,18361.4
2023-06-14 06:00:00+00:00,5.14,5.18,5.12,5.15,40150.36
2023-06-14 08:00:00+00:00,5.16,5.17,5.14,5.16,25082.18
2023-06-14 10:00:00+00:00,5.17,5.18,5.14,5.16,14331.7
2023-06-14 12:00:00+00:00,5.16,5.19,5.12,5.13,31285.66
2023-06-14 14:00:00+00:00,5.13,5.18,5.13,5.16,17076.56
2023-06-14 16:00:00+00:00,5.17,5.26,5.16,5.26,35008.87
2023-06-14 18:00:00+00:00,5.26,5.29,5.16,5.23,56126.97
2023-06-14 20:00:00+00:00,5.23,5.25,4.93,5.03,169820.33
2023-06-14 22:00:00+00:00,5.03,5.04,4.97,5.0,33777.21
2023-06-15 00:00:00+00:00,5.01,5.05,4.99,5.03,42623.84
2023-06-15 02:00:00+00:00,5.03,5.11,5.02,5.09,21541.51
2023-06-15 04:00:00+00:00,5.1,5.11,5.01,5.05,34715.34
2023-06-15 06:00:00+00:00,5.06,5.07,4.93,4.95,67073.05
2023-06-15 08:00:00+00:00,4.96,4.98,4.89,4.91,59906.94
2023-06-15 10:00:00+00:00,4.92,4.95,4.84,4.95,57167.43
2023-06-15 12:00:00+00:00,4.95,5.03,4.92,4.99,36833.96
2023-06-15 14:00:00+00:00,5.0,5.0,4.9,4.9,31277.73
2023-06-15 16:00:00+00:00,4.9,4.92,4.8,4.91,48417.22
2023-06-15 18:00:00+00:00,4.91,5.0,4.88,4.99,41663.64
2023-06-15 20:00:00+00:00,4.99,5.05,4.95,5.0,48244.86
2023-06-15 22:00:00+00:00,5.0,5.01,4.95,4.98,16985.43
2023-06-16 00:00:00+00:00,4.98,5.01,4.95,4.98,17311.31
2023-06-16 02:00:00+00:00,4.99,5.03,4.98,5.03,7754.53
2023-06-16 04:00:00+00:00,5.02,5.04,5.0,5.04,10884.81
2023-06-16 06:00:00+00:00,5.04,5.07,5.01,5.01,12283.94
2023-06-16 08:00:00+00:00,5.02,5.04,5.0,5.02,14303.61
2023-06-16 10:00:00+00:00,5.03,5.03,4.91,4.95,22055.2
2023-06-16 12:00:00+00:00,4.95,5.0,4.94,4.98,17318.59
2023-06-16 14:00:00+00:00,4.98,5.09,4.97,5.08,80347.24
2023-06-16 16:00:00+00:00,5.09,5.13,5.06,5.13,27733.71
2023-06-16 18:00:00+00:00,5.12,5.21,5.1,5.14,36369.31
2023-06-16 20:00:00+00:00,5.14,5.17,5.1,5.1,9157.07
2023-06-16 22:00:00+00:00,5.1,5.14,5.09,5.1,7208.05
2023-06-17 00:00:00+00:00,5.11,5.12,5.06,5.07,20567.22
2023-06-17 02:00:00+00:00,5.07,5.11,5.04,5.1,16666.82
2023-06-17 04:00:00+00:00,5.1,5.28,5.09,5.27,46771.14
2023-06-17 06:00:00+00:00,5.26,5.29,5.22,5.23,35145.89
2023-06-17 08:00:00+00:00,5.23,5.24,5.19,5.19,9042.05
2023-06-17 10:00:00+00:00,5.19,5.2,5.12,5.14,13000.89
2023-06-17 12:00:00+00:00,5.14,5.16,5.12,5.12,17330.33
2023-06-17 14:00:00+00:00,5.13,5.15,5.08,5.13,19549.72
