time,open,high,low,close,volume
2023-06-10 08:00:00+00:00,2.139,2.139,2.07,2.078,68503.9
2023-06-10 10:00:00+00:00,2.078,2.125,2.06,2.117,31517.2
2023-06-10 12:00:00+00:00,2.119,2.141,2.097,2.1,16485.0
2023-06-10 14:00:00+00:00,2.102,2.114,2.034,2.044,26100.8
2023-06-10 16:00:00+00:00,2.044,2.103,2.034,2.089,71024.6
2023-06-10 18:00:00+00:00,2.088,2.093,2.042,2.093,46800.2
2023-06-10 20:00:00+00:00,2.093,2.095,2.05,2.09,53214.4
2023-06-10 22:00:00+00:00,2.091,2.15,2.086,2.144,16415.9
2023-06-11 00:00:00+00:00,2.149,2.151,2.11,2.113,5776.5
2023-06-11 02:00:00+00:00,2.116,2.12,2.109,2.112,3528.6
2023-06-11 04:00:00+00:00,2.112,2.126,2.105,2.122,6927.7
2023-06-11 06:00:00+00:00,2.122,2.125,2.111,2.119,6754.8
2023-06-11 08:00:00+00:00,2.118,2.133,2.11,2.12,12542.8
2023-06-11 10:00:00+00:00,2.122,2.159,2.115,2.147,14269.4
2023-06-11 12:00:00+00:00,2.146,2.17,2.104,2.111,12428.3
2023-06-11 14:00:00+00:00,2.106,2.122,2.069,2.075,17790.5
2023-06-11 16:00:00+00:00,2.076,2.113,2.075,2.076,52039.8
2023-06-11 18:00:00+00:00,2.077,2.107,2.077,2.107,15443.2
2023-06-11 20:00:00+00:00,2.108,2.147,2.085,2.115,68954.2
2023-06-11 22:00:00+00:00,2.123,2.128,2.06,2.071,32836.0
2023-06-12 00:00:00+00:00,2.072,2.095,2.051,2.051,28565.8
2023-06-12 02:00:00+00:00,2.055,2.06,1.997,2.011,22361.3
2023-06-12 04:00:00+00:00,2.011,2.022,2.006,2.011,9939.5
2023-06-12 06:00:00+00:00,2.01,2.037,2.003,2.003,17832.5
2023-06-12 08:00:00+00:00,2.004,2.04,1.987,2.039,34528.6
2023-06-12 10:00:00+00:00,2.039,2.108,2.034,2.069,68619.0
2023-06-12 12:00:00+00:00,2.07,2.08,2.057,2.077,7108.1
2023-06-12 14:00:00+00:00,2.074,2.107,2.027,2.057,70388.1
2023-06-12 16:00:00+00:00,2.059,2.067,2.034,2.049,36269.3
2023-06-12 18:00:00+00:00,2.05,2.05,2.03,2.039,14181.8
2023-06-12 20:00:00+00:00,2.038,2.048,2.037,2.04,17380.6
2023-06-12 22:00:00+00:00,2.04,2.048,2.032,2.04,20315.5
2023-06-13 00:00:00+00:00,2.043,2.061,2.041,2.054,6910.7
2023-06-13 02:00:00+00:00,2.052,2.076,2.051,2.072,4095.1
2023-06-13 04:00:00+00:00,2.072,2.078,2.051,2.078,7422.4
2023-06-13 06:00:00+00:00,2.076,2.094,2.07,2.078,4160.6
2023-06-13 08:00:00+00:00,2.079,2.098,2.072,2.09,17430.1
2023-06-13 10:00:00+00:00,2.09,2.115,2.085,2.101,16146.5
2023-06-13 12:00:00+00:00,2.102,2.344,2.087,2.277,399786.9
2023-06-13 14:00:00+00:00,2.276,2.345,2.182,2.268,296855.8
2023-06-13 16:00:00+00:00,2.267,2.267,2.189,2.203,87863.9
2023-06-13 18:00:00+00:00,2.203,2.585,2.201,2.311,606696.8
2023-06-13 20:00:00+00:00,2.313,2.597,2.283,2.473,1049030.0
2023-06-13 22:00:00+00:00,2.476,2.541,2.356,2.464,216847.1
2023-06-14 00:00:00+00:00,2.464,2.495,2.328,2.349,116883.5
2023-06-14 02:00:00+00:00,2.352,2.398,2.339,2.374,51243.4
2023-06-14 04:00:00+00:00,2.373,2.517,2.35,2.362,167341.6
2023-06-14 06:00:00+00:00,2.366,2.387,2.283,2.283,107049.9
2023-06-14 08:00:00+00:00,2.283,2.289,2.256,2.277,45228.6
2023-06-14 10:00:00+00:00,2.276,2.33,2.267,2.309,98863.0
2023-06-14 12:00:00+00:00,2.31,2.44,2.281,2.284,188075.3
2023-06-14 14:00:00+00:00,2.285,2.3,2.258,2.262,26150.5
2023-06-14 16:00:00+00:00,2.262,2.267,2.237,2.252,38243.5
2023-06-14 18:00:00+00:00,2.252,2.272,2.228,2.23,38946.4
2023-06-14 20:00:00+00:00,2.234,2.273,2.165,2.246,79637.9
2023-06-14 22:00:00+00:00,2.246,2.294,2.224,2.256,41723.7
2023-06-15 00:00:00+00:00,2.258,2.262,2.22,2.223,11178.0
2023-06-15 02:00:00+00:00,2.223,2.232,2.21,2.22,9703.4
2023-06-15 04:00:00+00:00,2.22,2.296,2.22,2.25,29777.8
2023-06-15 06:00:00+00:00,2.25,2.303,2.25,2.273,17496.7
2023-06-15 08:00:00+00:00,2.268,2.442,2.245,2.324,162653.5
2023-06-15 10:00:00+00:00,2.322,2.356,2.26,2.32,121330.8
2023-06-15 12:00:00+00:00,2.32,2.324,2.267,2.27,35401.9
2023-06-15 14:00:00+00:00,2.274,2.358,2.263,2.325,47574.8
2023-06-15 16:00:00+00:00,2.33,2.414,2.291,2.312,103880.1
2023-06-15 18:00:00+00:00,2.312,2.391,2.309,2.342,78473.0
2023-06-15 20:00:00+00:00,2.342,2.344,2.306,2.321,18484.2
2023-06-15 22:00:00+00:00,2.321,2.321,2.3,2.301,3967.7
2023-06-16 00:00:00+00:00,2.302,2.386,2.259,2.348,92318.6
2023-06-16 02:00:00+00:00,2.346,2.347,2.27,2.29,81375.4
2023-06-16 04:00:00+00:00,2.287,2.307,2.275,2.306,30926.0
2023-06-16 06:00:00+00:00,2.306,2.311,2.281,2.289,10772.1
2023-06-16 08:00:00+00:00,2.286,2.323,2.278,2.291,36091.3
2023-06-16 10:00:00+00:00,2.29,2.293,2.253,2.256,22630.9
2023-06-16 12:00:00+00:00,2.257,2.278,2.252,2.268,7898.1
2023-06-16 14:00:00+00:00,2.27,2.292,2.248,2.282,27216.5
2023-06-16 16:00:00+00:00,2.285,2.299,2.275,2.295,10849.1
2023-06-16 18:00:00+00:00,2.297,2.321,2.293,2.303,22143.1
2023-06-16 20:00:00+00:00,2.303,2.303,2.26,2.272,25740.8
2023-06-16 22:00:00+00:00,2.272,2.287,2.267,2.287,7341.5
2023-06-17 00:00:00+00:00,2.281,2.281,2.265,2.273,4306.0
2023-06-17 02:00:00+00:00,2.273,2.283,2.269,2.282,2888.6
2023-06-17 04:00:00+00:00,2.278,2.315,2.277,2.315,25152.0
2023-06-17 06:00:00+00:00,2.315,2.332,2.304,2.313,16306.7
2023-06-17 08:00:00+00:00,2.31,2.32,2.307,2.313,5199.6
2023-06-17 10:00:00+00:00,2.312,2.32,2.278,2.287,17969.8
2023-06-17 12:00:00+00:00,2.288,2.303,2.281,2.298,8045.6
2023-06-17 14:00:00+00:00,2.3,2.3,2.28,2.286,9234.9
2023-06-17 16:00:00+00:00,2.284,2.295,2.278,2.283,5824.7
2023-06-17 18:00:00+00:00,2.282,2.286,2.264,2.269,8247.3
2023-06-17 20:00:00+00:00,2.265,2.274,2.259,2.262,6588.2
2023-06-17 22:00:00+00:00,2.263,2.273,2.263,2.272,6549.3
2023-06-18 00:00:00+00:00,2.269,2.272,2.251,2.259,6322.2
2023-06-18 02:00:00+00:00,2.259,2.272,2.259,2.27,610.0
2023-06-18 04:00:00+00:00,2.267,2.284,2.26,2.271,7319.4
2023-06-18 06:00:00+00:00,2.268,2.288,2.261,2.276,4900.0
2023-06-18 08:00:00+00:00,2.273,2.329,2.269,2.311,27388.4
2023-06-18 10:00:00+00:00,2.306,2.358,2.29,2.328,42775.1
2023-06-18 12:00:00+00:00,2.324,2.324,2.292,2.298,20429.3
2023-06-18 14:00:00+00:00,2.299,2.348,2.299,2.308,55655.0
2023-06-18 16:00:00+00:00,2.311,2.338,2.3,2.311,28151.1
2023-06-18 18:00:00+00:00,2.314,2.326,2.301,2.309,9154.9
2023-06-18 20:00:00+00:00,2.306,2.309,2.228,2.248,163446.0
2023-06-18 22:00:00+00:00,2.25,2.256,2.231,2.245,8978.8
2023-06-19 00:00:00+00:00,2.245,2.261,2.233,2.25,18970.0
2023-06-19 02:00:00+00:00,2.251,2.267,2.247,2.248,4927.5
2023-06-19 04:00:00+00:00,2.249,2.255,2.241,2.248,10181.9
2023-06-19 06:00:00+00:00,2.247,2.254,2.237,2.247,11517.8
2023-06-19 08:00:00+00:00,2.247,2.247,2.223,2.235,16549.1
2023-06-19 10:00:00+00:00,2.233,2.247,2.232,2.245,6998.8
2023-06-19 12:00:00+00:00,2.245,2.295,2.238,2.291,21673.5
2023-06-19 14:00:00+00:00,2.289,2.289,2.249,2.261,21582.7
2023-06-19 16:00:00+00:00,2.261,2.268,2.245,2.262,6654.2
2023-06-19 18:00:00+00:00,2.262,2.285,2.246,2.264,10279.1
2023-06-19 20:00:00+00:00,2.264,2.284,2.259,2.263,10392.6
2023-06-19 22:00:00+00:00,2.264,2.281,2.262,2.27,2946.0
2023-06-20 00:00:00+00:00,2.273,2.273,2.239,2.251,29389.7
2023-06-20 02:00:00+00:00,2.253,2.261,2.252,2.252,1136.2
2023-06-20 04:00:00+00:00,2.251,2.26,2.25,2.255,3927.5
2023-06-20 06:00:00+00:00,2.257,2.286,2.255,2.281,16875.1
2023-06-20 08:00:00+00:00,2.28,2.315,2.262,2.271,66238.4
2023-06-20 10:00:00+00:00,2.271,2.279,2.252,2.268,20349.0
2023-06-20 12:00:00+00:00,2.268,2.272,2.255,2.255,6329.5
2023-06-20 14:00:00+00:00,2.253,2.253,2.223,2.251,11447.4
2023-06-20 16:00:00+00:00,2.251,2.283,2.251,2.275,12390.3
2023-06-20 18:00:00+00:00,2.28,2.307,2.279,2.307,14918.0
2023-06-20 20:00:00+00:00,2.304,2.313,2.286,2.288,17228.4
2023-06-20 22:00:00+00:00,2.288,2.302,2.286,2.297,7261.5
2023-06-21 00:00:00+00:00,2.296,2.334,2.286,2.324,16654.1
2023-06-21 02:00:00+00:00,2.321,2.324,2.311,2.319,4585.5
2023-06-21 04:00:00+00:00,2.321,2.327,2.301,2.317,24701.1
2023-06-21 06:00:00+00:00,2.317,2.318,2.279,2.291,74533.6
2023-06-21 08:00:00+00:00,2.294,2.311,2.285,2.311,9873.1
2023-06-21 10:00:00+00:00,2.308,2.311,2.284,2.306,10021.2
2023-06-21 12:00:00+00:00,2.306,2.32,2.267,2.304,55546.1
2023-06-21 14:00:00+00:00,2.301,2.337,2.292,2.317,59630.6
2023-06-21 16:00:00+00:00,2.317,2.341,2.287,2.328,51896.9
2023-06-21 18:00:00+00:00,2.328,2.367,2.324,2.345,79522.9
2023-06-21 20:00:00+00:00,2.345,2.359,2.335,2.355,21983.1
2023-06-21 22:00:00+00:00,2.354,2.373,2.34,2.361,12978.0
2023-06-22 00:00:00+00:00,2.361,2.394,2.35,2.39,19805.4
2023-06-22 02:00:00+00:00,2.382,2.39,2.374,2.375,10440.1
2023-06-22 04:00:00+00:00,2.373,2.373,2.349,2.352,10331.2
2023-06-22 06:00:00+00:00,2.351,2.38,2.336,2.375,28659.2
2023-06-22 08:00:00+00:00,2.377,2.381,2.362,2.366,10763.6
2023-06-22 10:00:00+00:00,2.37,2.373,2.29,2.295,54599.9
2023-06-22 12:00:00+00:00,2.3,2.319,2.295,2.306,21076.8
2023-06-22 14:00:00+00:00,2.31,2.32,2.285,2.302,27021.5
2023-06-22 16:00:00+00:00,2.302,2.336,2.3,2.33,27139.7
2023-06-22 18:00:00+00:00,2.33,2.33,2.305,2.309,8984.4
2023-06-22 20:00:00+00:00,2.314,2.319,2.293,2.316,22337.7
2023-06-22 22:00:00+00:00,2.313,2.326,2.294,2.306,16822.7
2023-06-23 00:00:00+00:00,2.31,2.348,2.31,2.333,26378.5
2023-06-23 02:00:00+00:00,2.333,2.34,2.32,2.323,16843.5
2023-06-23 04:00:00+00:00,2.326,2.34,2.319,2.34,13949.3
2023-06-23 06:00:00+00:00,2.338,2.34,2.32,2.332,12236.4
2023-06-23 08:00:00+00:00,2.33,2.336,2.312,2.324,10616.2
2023-06-23 10:00:00+00:00,2.324,2.362,2.304,2.354,35274.7
2023-06-23 12:00:00+00:00,2.356,2.367,2.323,2.335,20464.6
2023-06-23 14:00:00+00:00,2.341,2.392,2.329,2.382,49097.4
2023-06-23 16:00:00+00:00,2.382,2.396,2.351,2.382,47081.9
2023-06-23 18:00:00+00:00,2.382,2.384,2.345,2.359,15185.2
2023-06-23 20:00:00+00:00,2.359,2.373,2.351,2.355,24603.4
2023-06-23 22:00:00+00:00,2.356,2.412,2.343,2.4,63499.3
2023-06-24 00:00:00+00:00,2.4,2.406,2.366,2.378,15946.2
2023-06-24 02:00:00+00:00,2.381,2.434,2.381,2.418,22299.0
2023-06-24 04:00:00+00:00,2.415,2.432,2.393,2.417,16655.3
2023-06-24 06:00:00+00:00,2.414,2.429,2.389,2.394,16279.0
2023-06-24 08:00:00+00:00,2.392,2.415,2.389,2.406,11794.1
2023-06-24 10:00:00+00:00,2.407,2.501,2.4,2.501,87193.2
2023-06-24 12:00:00+00:00,2.501,2.512,2.439,2.444,127220.6
2023-06-24 14:00:00+00:00,2.444,2.454,2.37,2.415,77170.2
2023-06-24 16:00:00+00:00,2.413,2.454,2.384,2.414,58825.7
2023-06-24 18:00:00+00:00,2.414,2.46,2.403,2.441,23790.5
2023-06-24 20:00:00+00:00,2.44,2.493,2.401,2.421,74809.2
2023-06-24 22:00:00+00:00,2.421,2.435,2.413,2.434,5583.6
2023-06-25 00:00:00+00:00,2.433,2.449,2.427,2.441,2836.0
2023-06-25 02:00:00+00:00,2.44,2.46,2.439,2.451,10401.8
2023-06-25 04:00:00+00:00,2.458,2.465,2.445,2.452,7532.7
2023-06-25 06:00:00+00:00,2.452,2.479,2.439,2.454,19531.3
2023-06-25 08:00:00+00:00,2.453,2.467,2.435,2.452,14905.5
2023-06-25 10:00:00+00:00,2.447,2.45,2.419,2.428,15681.7
2023-06-25 12:00:00+00:00,2.427,2.453,2.419,2.434,18413.3
2023-06-25 14:00:00+00:00,2.436,2.444,2.417,2.421,8524.3
2023-06-25 16:00:00+00:00,2.421,2.45,2.413,2.42,11238.5
