time,open,high,low,close,volume
2023-06-10 08:00:00+00:00,0.395,0.401,0.394,0.4,95781.5
2023-06-10 10:00:00+00:00,0.4,0.405,0.4,0.404,67134.4
2023-06-10 12:00:00+00:00,0.405,0.408,0.403,0.406,77236.5
2023-06-10 14:00:00+00:00,0.406,0.409,0.405,0.405,26967.5
2023-06-10 16:00:00+00:00,0.406,0.413,0.403,0.412,57397.8
2023-06-10 18:00:00+00:00,0.412,0.412,0.403,0.409,52454.4
2023-06-10 20:00:00+00:00,0.409,0.41,0.407,0.409,11749.7
2023-06-10 22:00:00+00:00,0.41,0.411,0.409,0.41,11750.7
2023-06-11 00:00:00+00:00,0.41,0.41,0.405,0.409,26323.5
2023-06-11 02:00:00+00:00,0.409,0.409,0.408,0.408,11191.8
2023-06-11 04:00:00+00:00,0.408,0.41,0.405,0.409,23509.1
2023-06-11 06:00:00+00:00,0.41,0.41,0.408,0.408,7896.0
2023-06-11 08:00:00+00:00,0.407,0.41,0.407,0.408,6985.5
2023-06-11 10:00:00+00:00,0.408,0.411,0.407,0.41,12954.0
2023-06-11 12:00:00+00:00,0.41,0.411,0.398,0.405,302302.7
2023-06-11 14:00:00+00:00,0.405,0.406,0.403,0.403,32885.0
2023-06-11 16:00:00+00:00,0.404,0.409,0.403,0.407,24212.1
2023-06-11 18:00:00+00:00,0.407,0.417,0.407,0.412,168184.0
2023-06-11 20:00:00+00:00,0.412,0.414,0.409,0.41,36349.5
2023-06-11 22:00:00+00:00,0.41,0.411,0.406,0.407,15988.9
2023-06-12 00:00:00+00:00,0.408,0.408,0.402,0.402,41706.6
2023-06-12 02:00:00+00:00,0.403,0.403,0.399,0.399,18439.1
2023-06-12 04:00:00+00:00,0.4,0.401,0.398,0.4,24824.3
2023-06-12 06:00:00+00:00,0.399,0.404,0.399,0.402,20241.5
2023-06-12 08:00:00+00:00,0.402,0.41,0.401,0.408,23970.0
2023-06-12 10:00:00+00:00,0.408,0.409,0.407,0.408,10815.8
2023-06-12 12:00:00+00:00,0.408,0.412,0.407,0.408,22710.9
2023-06-12 14:00:00+00:00,0.408,0.412,0.407,0.41,22689.9
2023-06-12 16:00:00+00:00,0.41,0.419,0.408,0.413,93459.3
2023-06-12 18:00:00+00:00,0.413,0.416,0.412,0.414,17701.1
2023-06-12 20:00:00+00:00,0.414,0.418,0.414,0.417,14956.6
2023-06-12 22:00:00+00:00,0.417,0.419,0.417,0.418,10527.6
2023-06-13 00:00:00+00:00,0.418,0.419,0.417,0.419,17646.2
2023-06-13 02:00:00+00:00,0.42,0.428,0.42,0.425,62860.7
2023-06-13 04:00:00+00:00,0.426,0.426,0.423,0.425,8912.0
2023-06-13 06:00:00+00:00,0.425,0.428,0.425,0.426,6358.9
2023-06-13 08:00:00+00:00,0.427,0.429,0.425,0.426,15411.7
2023-06-13 10:00:00+00:00,0.426,0.427,0.423,0.425,34791.4
2023-06-13 12:00:00+00:00,0.426,0.428,0.422,0.424,75063.7
2023-06-13 14:00:00+00:00,0.423,0.424,0.418,0.419,16991.6
2023-06-13 16:00:00+00:00,0.418,0.422,0.418,0.42,24260.6
2023-06-13 18:00:00+00:00,0.419,0.423,0.419,0.421,16455.1
2023-06-13 20:00:00+00:00,0.421,0.422,0.42,0.422,4359.5
2023-06-13 22:00:00+00:00,0.422,0.422,0.419,0.422,22329.9
2023-06-14 00:00:00+00:00,0.421,0.423,0.421,0.423,8851.8
2023-06-14 02:00:00+00:00,0.422,0.423,0.421,0.421,3254.1
2023-06-14 04:00:00+00:00,0.422,0.422,0.419,0.42,9831.4
