timeframe,filter_mode,rsi_n,overbought,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
1d,none,2,70,5,2.0,8310,0.5152,-0.0106,0.9659,155.1,-88.17
1d,none,2,70,5,3.0,7932,0.5305,-0.0135,0.938,135.47,-107.23
1d,none,2,70,5,4.0,7788,0.533,-0.0129,0.9228,112.67,-100.43
1d,none,2,70,10,2.0,6147,0.4814,-0.0139,0.9666,118.24,-85.2
1d,none,2,70,10,3.0,5577,0.5227,-0.0189,0.937,117.64,-105.45
1d,none,2,70,10,4.0,5328,0.5353,-0.0205,0.9123,115.07,-109.25
1d,none,2,70,15,2.0,4958,0.4423,-0.0464,0.9047,230.03,-229.93
1d,none,2,70,15,3.0,4394,0.5014,-0.0421,0.8842,194.36,-185.03
1d,none,2,70,15,4.0,4094,0.5256,-0.043,0.8501,176.96,-176.06
1d,none,2,70,20,2.0,4242,0.4182,-0.064,0.8811,278.0,-271.61
1d,none,2,70,20,3.0,3707,0.4891,-0.0566,0.8625,213.15,-209.99
1d,none,2,70,20,4.0,3404,0.5159,-0.0598,0.8205,206.44,-203.67
1d,none,2,70,25,2.0,3806,0.4015,-0.0729,0.8726,284.45,-277.29
1d,none,2,70,25,3.0,3245,0.4847,-0.0584,0.8683,205.63,-189.46
1d,none,2,70,25,4.0,2937,0.5192,-0.0619,0.8282,183.16,-181.88
1d,none,2,75,5,2.0,7596,0.5165,-0.0099,0.9685,131.46,-75.24
1d,none,2,75,5,3.0,7252,0.5313,-0.0153,0.9311,139.16,-110.93
1d,none,2,75,5,4.0,7123,0.5343,-0.0148,0.9132,117.3,-105.32
1d,none,2,75,10,2.0,5788,0.4883,0.0009,1.0021,54.04,4.93
1d,none,2,75,10,3.0,5284,0.5301,-0.0101,0.9663,71.89,-53.51
1d,none,2,75,10,4.0,5063,0.5455,-0.0099,0.9573,64.16,-50.36
1d,none,2,75,15,2.0,4743,0.4444,-0.0476,0.9027,230.05,-225.98
1d,none,2,75,15,3.0,4199,0.5027,-0.0426,0.884,182.57,-178.88
1d,none,2,75,15,4.0,3913,0.5262,-0.041,0.8579,161.08,-160.32
1d,none,2,75,20,2.0,4108,0.4245,-0.0442,0.9173,195.8,-181.74
1d,none,2,75,20,3.0,3577,0.4951,-0.0509,0.8775,186.47,-182.14
1d,none,2,75,20,4.0,3283,0.5196,-0.0596,0.8235,198.49,-195.73
1d,none,2,75,25,2.0,3673,0.4057,-0.0568,0.9,226.03,-208.53
1d,none,2,75,25,3.0,3150,0.4784,-0.0687,0.847,224.07,-216.34
1d,none,2,75,25,4.0,2856,0.5249,-0.0572,0.8394,167.67,-163.25
1d,none,2,80,5,2.0,6684,0.5094,-0.0202,0.938,160.8,-134.86
1d,none,2,80,5,3.0,6365,0.5213,-0.0268,0.8854,182.82,-170.48
1d,none,2,80,5,4.0,6254,0.5275,-0.021,0.882,137.55,-131.34
1d,none,2,80,10,2.0,5313,0.4869,-0.0017,0.9959,73.6,-9.18
1d,none,2,80,10,3.0,4857,0.5318,-0.0129,0.9576,97.84,-62.82
1d,none,2,80,10,4.0,4657,0.5463,-0.0096,0.9592,71.62,-44.7
1d,none,2,80,15,2.0,4434,0.4423,-0.0488,0.9015,216.78,-216.56
1d,none,2,80,15,3.0,3908,0.5018,-0.0458,0.8769,181.99,-178.8
1d,none,2,80,15,4.0,3670,0.5248,-0.0432,0.8523,160.03,-158.72
1d,none,2,80,20,2.0,3921,0.4203,-0.0444,0.9178,188.57,-174.18
1d,none,2,80,20,3.0,3385,0.4942,-0.0443,0.8939,169.97,-149.88
1d,none,2,80,20,4.0,3134,0.5258,-0.051,0.8504,165.6,-159.88
1d,none,2,80,25,2.0,3511,0.3968,-0.0685,0.8809,262.51,-240.67
1d,none,2,80,25,3.0,3010,0.485,-0.0655,0.8544,214.6,-197.03
1d,none,2,80,25,4.0,2765,0.5288,-0.0508,0.8588,148.01,-140.58
1d,none,2,85,5,2.0,5606,0.4923,-0.0424,0.8773,244.95,-237.7
1d,none,2,85,5,3.0,5336,0.5092,-0.0364,0.8517,197.2,-193.98
1d,none,2,85,5,4.0,5233,0.5129,-0.0305,0.8379,161.93,-159.68
1d,none,2,85,10,2.0,4664,0.4768,-0.0211,0.951,129.25,-98.43
1d,none,2,85,10,3.0,4236,0.5229,-0.0281,0.9114,131.26,-119.16
1d,none,2,85,10,4.0,4075,0.5362,-0.0252,0.8978,109.15,-102.77
1d,none,2,85,15,2.0,4017,0.4322,-0.0552,0.8915,225.64,-221.63
1d,none,2,85,15,3.0,3545,0.4937,-0.053,0.8612,193.67,-187.96
1d,none,2,85,15,4.0,3332,0.5198,-0.0505,0.8337,170.53,-168.24
1d,none,2,85,20,2.0,3611,0.4154,-0.0526,0.9045,208.69,-190.05
1d,none,2,85,20,3.0,3147,0.4998,-0.0444,0.895,161.22,-139.81
1d,none,2,85,20,4.0,2913,0.5335,-0.0496,0.8557,152.8,-144.44
1d,none,2,85,25,2.0,3266,0.3919,-0.0732,0.8742,260.67,-239.18
1d,none,2,85,25,3.0,2823,0.4772,-0.0669,0.8536,208.77,-188.74
1d,none,2,85,25,4.0,2578,0.5151,-0.0706,0.8106,185.2,-181.94
1d,none,2,90,5,2.0,4257,0.4736,-0.0721,0.8049,313.12,-307.11
1d,none,2,90,5,3.0,4067,0.4967,-0.0543,0.7921,227.19,-220.99
1d,none,2,90,5,4.0,3975,0.5001,-0.045,0.7759,182.23,-179.07
1d,none,2,90,10,2.0,3746,0.4626,-0.0411,0.9094,177.55,-153.81
1d,none,2,90,10,3.0,3445,0.5164,-0.0399,0.8809,157.95,-137.63
1d,none,2,90,10,4.0,3305,0.5301,-0.0343,0.8685,124.08,-113.5
1d,none,2,90,15,2.0,3375,0.4326,-0.0513,0.9021,194.27,-172.98
1d,none,2,90,15,3.0,3036,0.5033,-0.0487,0.8768,175.85,-147.86
1d,none,2,90,15,4.0,2846,0.5355,-0.0485,0.8463,152.88,-137.94
1d,none,2,90,20,2.0,3107,0.4126,-0.0429,0.9229,175.59,-133.2
1d,none,2,90,20,3.0,2747,0.4984,-0.0491,0.8877,169.62,-134.86
1d,none,2,90,20,4.0,2545,0.5379,-0.0486,0.8631,140.71,-123.62
1d,none,2,90,25,2.0,2868,0.3797,-0.0803,0.8656,252.39,-230.25
1d,none,2,90,25,3.0,2501,0.4614,-0.0954,0.8024,258.73,-238.58
1d,none,2,90,25,4.0,2300,0.5165,-0.0792,0.7978,189.24,-182.14
1d,none,3,70,5,2.0,6442,0.5026,-0.0286,0.9152,198.74,-184.03
1d,none,3,70,5,3.0,6092,0.5161,-0.0312,0.8698,197.61,-190.35
1d,none,3,70,5,4.0,5956,0.5213,-0.0253,0.8625,152.74,-150.69
1d,none,3,70,10,2.0,5153,0.477,-0.0234,0.9457,142.78,-120.45
1d,none,3,70,10,3.0,4645,0.5208,-0.0281,0.9114,140.78,-130.32
1d,none,3,70,10,4.0,4425,0.5388,-0.0214,0.9122,105.35,-94.91
1d,none,3,70,15,2.0,4413,0.4344,-0.0564,0.8888,256.6,-249.09
1d,none,3,70,15,3.0,3862,0.4896,-0.065,0.8319,251.64,-250.94
1d,none,3,70,15,4.0,3581,0.513,-0.0536,0.8233,193.44,-191.88
1d,none,3,70,20,2.0,3971,0.4203,-0.033,0.9394,156.19,-131.01
1d,none,3,70,20,3.0,3397,0.4987,-0.0388,0.9083,143.02,-131.86
1d,none,3,70,20,4.0,3110,0.5354,-0.0441,0.8713,142.45,-137.2
1d,none,3,70,25,2.0,3575,0.3922,-0.0686,0.8822,262.19,-245.2
1d,none,3,70,25,3.0,3015,0.4753,-0.0647,0.8586,209.15,-195.17
1d,none,3,70,25,4.0,2744,0.5233,-0.0538,0.8538,152.52,-147.62
1d,none,3,75,5,2.0,5378,0.4805,-0.0673,0.8146,371.21,-361.81
1d,none,3,75,5,3.0,5081,0.4999,-0.0527,0.7949,274.56,-267.67
1d,none,3,75,5,4.0,4951,0.5049,-0.0426,0.7847,214.78,-210.9
1d,none,3,75,10,2.0,4519,0.4667,-0.047,0.8952,234.97,-212.23
1d,none,3,75,10,3.0,4078,0.5152,-0.044,0.8672,192.59,-179.25
1d,none,3,75,10,4.0,3871,0.5288,-0.0404,0.8438,161.93,-156.51
1d,none,3,75,15,2.0,4006,0.4291,-0.068,0.8693,283.98,-272.57
1d,none,3,75,15,3.0,3503,0.4959,-0.0641,0.8375,234.62,-224.56
1d,none,3,75,15,4.0,3249,0.522,-0.056,0.8208,188.44,-182.03
1d,none,3,75,20,2.0,3656,0.4127,-0.0502,0.9097,217.35,-183.59
1d,none,3,75,20,3.0,3153,0.4967,-0.0484,0.8879,175.1,-152.48
1d,none,3,75,20,4.0,2893,0.5368,-0.0502,0.857,157.44,-145.34
1d,none,3,75,25,2.0,3320,0.3825,-0.0823,0.8615,301.69,-273.09
1d,none,3,75,25,3.0,2807,0.4646,-0.083,0.8237,250.49,-233.11
1d,none,3,75,25,4.0,2551,0.512,-0.0725,0.8096,190.0,-184.94
1d,none,3,80,5,2.0,4307,0.4725,-0.0832,0.7804,367.42,-358.38
1d,none,3,80,5,3.0,4062,0.4956,-0.0635,0.7653,265.16,-258.03
1d,none,3,80,5,4.0,3957,0.4996,-0.052,0.7501,209.09,-205.83
1d,none,3,80,10,2.0,3793,0.4566,-0.0534,0.8844,227.42,-202.52
1d,none,3,80,10,3.0,3429,0.5036,-0.0553,0.841,202.26,-189.74
1d,none,3,80,10,4.0,3253,0.5198,-0.0473,0.8264,164.35,-153.73
