symbol,n,win_rate,avg_r,pf,max_dd_r,total_r,avg_bars
JTO_USDT,15,0.4,7.0298066666666665,16.063871428571428,3.0,105.44709999999999,10.866666666666667
CHZ_USDT,29,0.41379310344827586,1.4871034482758623,3.8589990917709147,5.2598,43.126000000000005,9.551724137931034
EIGEN_USDT,21,0.3333333333333333,1.4612,3.5571,5.0,30.685200000000002,9.761904761904763
ZEN_USDT,37,0.35135135135135137,0.4787675675675676,1.757116236130819,5.066,17.7144,8.756756756756756
GRT_USDT,19,0.5789473684210527,0.8292578947368421,2.9694875,3.3872,15.755899999999999,11.157894736842104
FIL_USDT,26,0.5769230769230769,0.6035230769230769,2.530439871257193,3.0,15.691600000000001,11.576923076923077
ENA_USDT,12,0.4166666666666667,1.0817333333333332,2.9682789992418503,4.595,12.980799999999999,10.416666666666666
SOL_USDT,18,0.5555555555555556,0.567288888888889,2.465273791757548,6.0,10.211200000000002,11.333333333333334
ETH_USDT,17,0.6470588235294118,0.5964823529411765,3.040117495573797,1.4801,10.1402,13.058823529411764
SUI_USDT,6,0.8333333333333334,1.31145,8.8687,0.0,7.8687,14.0
AVAX_USDT,23,0.5217391304347826,0.32123478260869565,1.7029675651503764,3.1967000000000003,7.3884,11.565217391304348
BTC_USDT,20,0.6,0.29339000000000004,1.7334750000000003,3.0,5.867800000000001,10.05
TRX_USDT,2,1.0,2.5016,99.0,0.0,5.0032,15.0
LPT_USDT,15,0.26666666666666666,0.3326400000000001,1.486348971177371,5.4047,4.989600000000001,7.866666666666666
SEI_USDT,4,0.75,1.07485,5.2994,1.0,4.2994,14.0
DOGE_USDT,19,0.5263157894736842,0.21163157894736837,1.446777777777778,3.3792999999999997,4.020999999999999,9.894736842105264
ONDO_USDT,6,0.5,0.5971833333333333,2.194366666666667,2.0,3.5831,9.0
PENGU_USDT,6,0.5,0.40698333333333325,1.8139666666666665,2.0,2.4418999999999995,9.333333333333334
NEAR_USDT,17,0.35294117647058826,0.13004117647058824,1.2090951223433937,6.5727,2.2107,9.529411764705882
TIA_USDT,7,0.42857142857142855,0.19361428571428574,1.338825,1.0,1.3553000000000002,8.0
RENDER_USDT,3,0.3333333333333333,0.31759999999999994,1.4764,2.0,0.9527999999999999,6.333333333333333
BNB_USDT,18,0.5,-0.012211111111111148,0.9696998938531312,2.8909000000000002,-0.21980000000000066,11.777777777777779
AAVE_USDT,15,0.5333333333333333,-0.026160000000000006,0.9417985494133876,4.5109,-0.3924000000000001,11.2
PEPE_USDT,4,0.25,-0.17935,0.7608666666666667,3.0,-0.7174,7.5
DOT_USDT,26,0.4230769230769231,-0.05531538461538462,0.8900794863955976,4.6035,-1.4382000000000001,10.76923076923077
APT_USDT,12,0.25,-0.12071666666666665,0.8233263815203736,3.1993,-1.4485999999999999,7.416666666666667
DASH_USDT,5,0.4,-0.47946,0.2009,3.0,-2.3973,8.4
LTC_USDT,17,0.29411764705882354,-0.15597058823529408,0.7578560926384234,5.1268,-2.6514999999999995,10.352941176470589
HBAR_USDT,10,0.3,-0.27993,0.6001,4.0,-2.7993,10.2
ASTER_USDT,3,0.0,-1.0,0.0,2.0,-3.0,8.333333333333334
LINK_USDT,21,0.38095238095238093,-0.14466666666666664,0.7663076923076922,5.298299999999999,-3.0379999999999994,9.380952380952381
XRP_USDT,5,0.2,-0.74294,0.071325,2.7147,-3.7147,6.2
ADA_USDT,19,0.3684210526315789,-0.20053684210526315,0.6824833333333333,6.629899999999999,-3.8102,10.052631578947368
UNI_USDT,16,0.375,-0.24174375,0.6132099999999999,6.3889,-3.8679,9.125
ZEC_USDT,19,0.3684210526315789,-0.2708052631578947,0.5268820170478056,5.3077,-5.1453,10.736842105263158
BCH_USDT,12,0.25,-0.44345000000000007,0.4087333333333334,7.0,-5.321400000000001,9.25
WLD_USDT,7,0.14285714285714285,-0.7609857142857143,0.11218333333333334,6.0,-5.3269,6.285714285714286
ARB_USDT,11,0.18181818181818182,-0.5036363636363637,0.3844444444444444,7.0,-5.54,6.454545454545454
FET_USDT,18,0.2222222222222222,-0.44596111111111114,0.42662142857142854,8.0976,-8.0273,6.944444444444445
ICP_USDT,12,0.08333333333333333,-0.6947,0.18973611313602567,7.336399999999999,-8.3364,8.5
ATOM_USDT,18,0.2777777777777778,-0.48626111111111114,0.28992820346408144,10.000000000000002,-8.7527,8.555555555555555
