symbol,entry_time,exit_time,net_r,win,bars_held,exit_reason,year
BNB_USDT,2021-06-02 12:00:00,2021-06-05 00:00:00,0.0956,1,15,time_exit,2021
ATOM_USDT,2021-06-03 04:00:00,2021-06-05 16:00:00,1.1228,1,15,time_exit,2021
BTC_USDT,2021-06-14 04:00:00,2021-06-16 16:00:00,0.4047,1,15,time_exit,2021
ATOM_USDT,2021-06-29 04:00:00,2021-06-29 12:00:00,-1.0,0,2,atr_stop,2021
LTC_USDT,2021-06-29 08:00:00,2021-07-01 20:00:00,0.9241,1,15,time_exit,2021
BCH_USDT,2021-06-29 08:00:00,2021-07-01 20:00:00,1.3991,1,15,time_exit,2021
ZEN_USDT,2021-06-29 16:00:00,2021-07-02 04:00:00,1.6597,1,15,time_exit,2021
ATOM_USDT,2021-06-29 16:00:00,2021-07-02 04:00:00,0.9726,1,15,time_exit,2021
DOGE_USDT,2021-07-21 12:00:00,2021-07-24 00:00:00,0.404,1,15,time_exit,2021
UNI_USDT,2021-07-23 20:00:00,2021-07-26 04:00:00,-1.0,0,14,atr_stop,2021
LTC_USDT,2021-07-24 00:00:00,2021-07-26 00:00:00,-1.0,0,12,atr_stop,2021
FIL_USDT,2021-07-24 12:00:00,2021-07-26 04:00:00,-1.0,0,10,atr_stop,2021
LTC_USDT,2021-10-01 08:00:00,2021-10-02 12:00:00,-1.0,0,7,atr_stop,2021
BCH_USDT,2021-10-01 12:00:00,2021-10-02 16:00:00,-1.0,0,7,atr_stop,2021
FIL_USDT,2021-10-01 16:00:00,2021-10-01 20:00:00,-1.0,0,1,atr_stop,2021
DOGE_USDT,2021-10-01 20:00:00,2021-10-04 08:00:00,0.7189,1,15,time_exit,2021
ZEN_USDT,2021-10-01 20:00:00,2021-10-03 12:00:00,-1.0,0,10,atr_stop,2021
FIL_USDT,2021-10-02 04:00:00,2021-10-04 16:00:00,0.3549,1,15,time_exit,2021
AAVE_USDT,2021-10-02 12:00:00,2021-10-05 00:00:00,0.9168,1,15,time_exit,2021
BCH_USDT,2021-10-03 08:00:00,2021-10-05 20:00:00,-1.0,0,15,atr_stop,2021
ADA_USDT,2021-11-03 08:00:00,2021-11-05 20:00:00,1.626,1,15,time_exit,2021
FIL_USDT,2021-11-26 00:00:00,2021-11-28 12:00:00,0.6928,1,15,time_exit,2021
UNI_USDT,2021-12-01 00:00:00,2021-12-03 12:00:00,0.7602,1,15,time_exit,2021
ATOM_USDT,2021-12-22 00:00:00,2021-12-22 12:00:00,-1.0,0,3,atr_stop,2021
AAVE_USDT,2021-12-22 08:00:00,2021-12-22 16:00:00,-1.0,0,2,atr_stop,2021
ADA_USDT,2021-12-22 08:00:00,2021-12-23 16:00:00,-1.0,0,8,atr_stop,2021
DOT_USDT,2021-12-22 12:00:00,2021-12-23 16:00:00,-1.0,0,7,atr_stop,2021
UNI_USDT,2021-12-22 20:00:00,2021-12-23 00:00:00,-1.0,0,1,atr_stop,2021
UNI_USDT,2021-12-23 12:00:00,2021-12-26 00:00:00,0.5711,1,15,time_exit,2021
BTC_USDT,2021-12-23 16:00:00,2021-12-26 04:00:00,0.7361,1,15,time_exit,2021
DOGE_USDT,2021-12-23 16:00:00,2021-12-24 16:00:00,-1.0,0,6,atr_stop,2021
FIL_USDT,2021-12-27 16:00:00,2021-12-30 04:00:00,3.2312,1,15,time_exit,2021
BNB_USDT,2022-01-12 16:00:00,2022-01-15 04:00:00,-0.2861,0,15,time_exit,2022
LTC_USDT,2022-01-12 16:00:00,2022-01-15 00:00:00,-1.0,0,14,atr_stop,2022
ADA_USDT,2022-01-12 20:00:00,2022-01-15 08:00:00,0.6932,1,15,time_exit,2022
LINK_USDT,2022-01-30 04:00:00,2022-02-01 16:00:00,0.689,1,15,time_exit,2022
SOL_USDT,2022-02-01 00:00:00,2022-02-03 12:00:00,1.2331,1,15,time_exit,2022
ZEC_USDT,2022-02-02 08:00:00,2022-02-04 20:00:00,-1.0,0,15,atr_stop,2022
ETH_USDT,2022-02-04 16:00:00,2022-02-07 04:00:00,-0.6695,0,15,time_exit,2022
NEAR_USDT,2022-02-04 16:00:00,2022-02-06 00:00:00,-1.0,0,8,atr_stop,2022
ADA_USDT,2022-02-04 20:00:00,2022-02-07 08:00:00,-1.0,0,15,atr_stop,2022
ZEN_USDT,2022-02-04 20:00:00,2022-02-05 04:00:00,-1.0,0,2,atr_stop,2022
GRT_USDT,2022-02-05 00:00:00,2022-02-05 04:00:00,-1.0,0,1,atr_stop,2022
BNB_USDT,2022-02-05 00:00:00,2022-02-05 04:00:00,-1.0,0,1,atr_stop,2022
DOT_USDT,2022-02-05 00:00:00,2022-02-07 12:00:00,-0.6017,0,15,time_exit,2022
AVAX_USDT,2022-02-05 04:00:00,2022-02-07 12:00:00,-1.0,0,14,atr_stop,2022
BCH_USDT,2022-02-05 04:00:00,2022-02-05 12:00:00,-1.0,0,2,atr_stop,2022
FIL_USDT,2022-02-05 04:00:00,2022-02-07 00:00:00,-1.0,0,11,atr_stop,2022
ZEN_USDT,2022-02-05 08:00:00,2022-02-07 08:00:00,-1.0,0,12,atr_stop,2022
BNB_USDT,2022-02-05 08:00:00,2022-02-07 20:00:00,-0.5413,0,15,time_exit,2022
GRT_USDT,2022-02-05 08:00:00,2022-02-06 20:00:00,-1.0,0,9,atr_stop,2022
AAVE_USDT,2022-02-05 08:00:00,2022-02-07 12:00:00,-1.0,0,13,atr_stop,2022
LTC_USDT,2022-02-05 08:00:00,2022-02-07 04:00:00,-1.0,0,11,atr_stop,2022
