symbol,entry_ts,r,funding,year,tf,ob_thresh,hold_bars,atr_mult
1000000MOGUSDT,1757404800000,0.6957270052472266,0.00012033,2025,4h,65,10,2.0
1000BONKUSDT,1707465600000,-1.0,0.00016685,2024,4h,65,10,2.0
1000CATUSDT,1772035200000,0.8938583342936354,0.00028099,2026,4h,65,10,2.0
1000CATUSDT,1772625600000,1.266951360629718,0.00010314,2026,4h,65,10,2.0
1000FLOKIUSDT,1691798400000,-0.026124448260781603,0.0001,2023,4h,65,10,2.0
1000FLOKIUSDT,1694188800000,-1.0,0.0001,2023,4h,65,10,2.0
1000FLOKIUSDT,1707336000000,-1.0,0.0001,2024,4h,65,10,2.0
1000FLOKIUSDT,1721016000000,-1.0,0.0001,2024,4h,65,10,2.0
1000FLOKIUSDT,1724126400000,-1.0,0.0001,2024,4h,65,10,2.0
1000FLOKIUSDT,1724284800000,-1.0,0.0001,2024,4h,65,10,2.0
1000FLOKIUSDT,1725912000000,0.941770347863803,0.0001,2024,4h,65,10,2.0
1000FLOKIUSDT,1737100800000,-1.0,0.0001,2025,4h,65,10,2.0
1000FLOKIUSDT,1745193600000,-1.0,0.0001,2025,4h,65,10,2.0
1000FLOKIUSDT,1757332800000,0.18067095722866047,0.0001,2025,4h,65,10,2.0
1000PEPEUSDT,1691568000000,0.3555901210449211,0.0001,2023,4h,65,10,2.0
1000PEPEUSDT,1695398400000,0.9653354535399795,0.0001,2023,4h,65,10,2.0
1000PEPEUSDT,1695816000000,-1.0,0.0001272,2023,4h,65,10,2.0
1000PEPEUSDT,1697428800000,-1.0,0.0001,2023,4h,65,10,2.0
1000PEPEUSDT,1697875200000,-1.0,0.0001,2023,4h,65,10,2.0
1000PEPEUSDT,1697918400000,-1.0,0.0001,2023,4h,65,10,2.0
1000PEPEUSDT,1707393600000,-1.0,0.0001,2024,4h,65,10,2.0
1000PEPEUSDT,1707494400000,-0.3873296446053855,0.0001,2024,4h,65,10,2.0
1000PEPEUSDT,1713643200000,-1.0,0.0001,2024,4h,65,10,2.0
1000PEPEUSDT,1721001600000,-1.0,0.0001,2024,4h,65,10,2.0
1000PEPEUSDT,1724126400000,0.3992597947882241,0.0001,2024,4h,65,10,2.0
1000PEPEUSDT,1726228800000,-1.0,0.0001,2024,4h,65,10,2.0
1000PEPEUSDT,1726286400000,0.704235804483521,0.0001,2024,4h,65,10,2.0
1000PEPEUSDT,1740931200000,2.7135899414633906,0.0001,2025,4h,65,10,2.0
1000PEPEUSDT,1742227200000,0.3938050595093745,0.0001,2025,4h,65,10,2.0
1000PEPEUSDT,1742875200000,-1.0,0.0001,2025,4h,65,10,2.0
1000PEPEUSDT,1744459200000,-1.0,0.0001,2025,4h,65,10,2.0
1000PEPEUSDT,1754625600000,-1.0,0.0001,2025,4h,65,10,2.0
1000PEPEUSDT,1757318400000,-1.0,0.0001,2025,4h,65,10,2.0
1000PEPEUSDT,1759334400000,-1.0,0.0001,2025,4h,65,10,2.0
1000PEPEUSDT,1759392000000,-1.0,0.0001,2025,4h,65,10,2.0
1000PEPEUSDT,1764748800000,0.0018660668812613408,0.0001,2025,4h,65,10,2.0
1000PEPEUSDT,1766865600000,0.29865671495588414,0.0001,2025,4h,65,10,2.0
1000PEPEUSDT,1773388800000,1.3227250240006816,0.0001,2026,4h,65,10,2.0
1000RATSUSDT,1712404800000,0.12935770063325808,0.0001614,2024,4h,65,10,2.0
1000RATSUSDT,1713729600000,-1.0,0.00012896,2024,4h,65,10,2.0
1000RATSUSDT,1719187200000,-0.30235454659443345,0.00020368,2024,4h,65,10,2.0
1000RATSUSDT,1730923200000,-1.0,0.00024609,2024,4h,65,10,2.0
1000RATSUSDT,1735920000000,-1.0,0.00020237,2025,4h,65,10,2.0
1000RATSUSDT,1740196800000,0.33539492981666574,0.00023706,2025,4h,65,10,2.0
1000RATSUSDT,1740470400000,-1.0,0.00053472,2025,4h,65,10,2.0
1000RATSUSDT,1742212800000,-1.0,0.00047459,2025,4h,65,10,2.0
1000RATSUSDT,1749556800000,1.4528059820694545,0.00021115,2025,4h,65,10,2.0
1000RATSUSDT,1750708800000,-0.2120524367361042,0.000161,2025,4h,65,10,2.0
1000RATSUSDT,1751515200000,1.539673582533875,0.00012695,2025,4h,65,10,2.0
1000RATSUSDT,1752163200000,-1.0,0.00037543,2025,4h,65,10,2.0
1000RATSUSDT,1776268800000,-1.0,0.00034898,2026,4h,65,10,2.0
1000RATSUSDT,1780257600000,0.632305730309531,0.00019857,2026,4h,65,10,2.0
1000RATSUSDT,1780948800000,-1.0,0.0004845,2026,4h,65,10,2.0
1000SATSUSDT,1707753600000,0.8371898007361775,0.00013817,2024,4h,65,10,2.0
1000SATSUSDT,1707955200000,-1.0,0.0002681,2024,4h,65,10,2.0
1000SATSUSDT,1711382400000,0.7877212569280463,0.00016952,2024,4h,65,10,2.0
1000SATSUSDT,1745438400000,-0.32788327805592293,0.00019869,2025,4h,65,10,2.0
1000SHIBUSDT,1628294400000,-1.0,0.0010193,2021,4h,65,10,2.0
1000SHIBUSDT,1640260800000,-1.0,0.0001,2021,4h,65,10,2.0
