timeframe,filter_mode,atr_mult,zone_total,zone_pf_gt1,zone_avg_r_positive,zone_strong,zone_stability_pct,stability_verdict,can_n20_trades,can_n20_avg_r,can_n20_pf,can_n20_max_dd_r
1d,ema200_price,2.0,3,3,3,3,100.0,PASS,288,0.3586,1.567,-32.88
1d,ema200_price,3.0,3,3,3,3,100.0,PASS,268,0.2418,1.471,-20.68
4h,ema200_price,3.0,3,3,3,0,100.0,PASS,466,0.0657,1.133,-32.02
1d,ema50_slope,2.0,3,3,3,0,100.0,PASS,338,0.0859,1.124,-93.79
1d,ema50_slope,3.0,3,3,3,0,100.0,PASS,311,0.0361,1.064,-67.12
8h,ema200_price,2.0,3,3,3,1,100.0,PASS,336,0.0061,1.01,-54.54
4h,ema200_price,2.0,3,1,1,0,33.3,FAIL,525,0.0389,1.058,-58.03
4h,ema50_slope,3.0,3,1,1,0,33.3,FAIL,482,0.0141,1.029,-45.09
8h,ema200_price,3.0,3,1,1,0,33.3,FAIL,314,-0.0382,0.921,-46.54
6h,ema50_slope,3.0,3,1,1,1,33.3,FAIL,411,-0.0446,0.906,-49.21
6h,ema50_slope,2.0,3,1,1,0,33.3,FAIL,444,-0.064,0.897,-68.16
6h,ema200_price,2.0,3,1,1,1,33.3,FAIL,371,-0.0743,0.889,-55.21
6h,ema200_price,3.0,3,1,1,1,33.3,FAIL,339,-0.0741,0.861,-47.54
4h,ema50_slope,2.0,3,0,0,0,0.0,FAIL,531,-0.0142,0.978,-70.66
8h,ema50_slope,2.0,3,0,0,0,0.0,FAIL,409,-0.1438,0.779,-106.01
8h,ema50_slope,3.0,3,0,0,0,0.0,FAIL,382,-0.1414,0.724,-86.71
