variant,trade_id,symbol,side,cluster,beta_bucket,entry_time,entry_price,initial_stop,final_stop,net_r,risk_amount,max_same_side,max_per_cluster,max_beta_cluster,equity_before_entry,heat_before_entry_pct,exit_time,pnl_usdt,equity_after_exit,drawdown_pct,open_after_exit
ACT4_ATR3,6664,ALPINE/USDT,LONG,ALT_OTHER,OTHER_BETA,2025-09-27 18:00:00+00:00,6.251,4.764142857142858,10.839714285714283,3.0861837048424285,25.0,2,1,1,10000.0,0.0,2025-09-30 12:00:00+00:00,77.15459262106071,10077.15459262106,0.0,1
ACT4_ATR3,560,BNB/USDT,LONG,EXCHANGE,OTHER_BETA,2025-09-29 18:00:00+00:00,1029.79,995.2114285714284,995.2114285714284,-1.0,25.0,2,1,1,10000.0,0.25,2025-09-30 12:00:00+00:00,-25.0,10052.15459262106,-0.2480859033194361,0
ACT4_ATR3,7507,AR/USDT,SHORT,ALT_OTHER,OTHER_BETA,2025-09-30 12:00:00+00:00,5.38,5.648571428571429,5.648571428571429,-1.0,25.13038648155265,2,1,1,10052.15459262106,0.0,2025-10-01 00:00:00+00:00,-25.13038648155265,10027.024206139507,-0.49746568856113804,1
ACT4_ATR3,4597,ACE/USDT,SHORT,GAMING,HIGH_CRYPTO_BETA,2025-09-30 12:00:00+00:00,0.439,0.4652857142857143,0.4652857142857143,-1.0,25.13038648155265,2,1,1,10052.15459262106,0.25,2025-10-01 06:00:00+00:00,-25.13038648155265,10001.893819657955,-0.7468454738028399,1
ACT4_ATR3,6420,ALICE/USDT,SHORT,ALT_OTHER,OTHER_BETA,2025-10-01 00:00:00+00:00,0.288,0.3088571428571428,0.3088571428571428,-1.0,25.06756051534877,2,1,1,10027.024206139507,0.25062656641604014,2025-10-01 18:00:00+00:00,-25.06756051534877,9976.826259142606,-0.9956018095814325,1
ACT4_ATR3,561,BNB/USDT,LONG,EXCHANGE,OTHER_BETA,2025-10-02 06:00:00+00:00,1047.81,1011.7242857142857,1237.6442857142856,5.260649247822643,24.942065647856516,2,1,1,9976.826259142606,0.25062814465903865,2025-10-09 12:00:00+00:00,131.21145888953936,10108.037718032147,0.0,2
ACT4_ATR3,121,BTC/USDT,LONG,BTC_BETA,HIGH_CRYPTO_BETA,2025-10-01 06:00:00+00:00,116789.58,114366.69142857144,114366.69142857144,-1.0,25.00473454914489,2,1,1,10001.893819657955,0.2506281407035176,2025-10-10 18:00:00+00:00,-25.00473454914489,10083.032983483,-0.24737476498073158,1
ACT4_ATR3,5391,AEVO/USDT,SHORT,ALT_OTHER,OTHER_BETA,2025-10-05 18:00:00+00:00,0.1059,0.1155142857142857,0.0472285714285714,6.102526002971768,24.942065647856516,2,1,1,9976.826259142606,0.5006281446590387,2025-10-10 18:00:00+00:00,152.20960418387327,10235.242587666875,0.0,0
ACT4_ATR3,5250,ADX/USDT,SHORT,ALT_OTHER,OTHER_BETA,2025-10-10 18:00:00+00:00,0.0926,0.1069571428571428,0.1069571428571428,-1.0,25.588106469167187,2,1,1,10235.242587666875,0.0,2025-10-11 12:00:00+00:00,-25.588106469167187,10209.654481197707,-0.2500000000000035,1
ACT4_ATR3,323,ETH/USDT,SHORT,L1_L2,HIGH_CRYPTO_BETA,2025-10-10 18:00:00+00:00,3829.72,4203.041428571429,4203.041428571429,-1.0,25.588106469167187,2,1,1,10235.242587666875,0.25,2025-10-13 00:00:00+00:00,-25.588106469167187,10184.06637472854,-0.500000000000007,0
