timestamp,open,high,low,close,volume
1765137600000,0.568,0.588,0.563,0.565,424001.9
1765152000000,0.564,0.571,0.563,0.57,97212.4
1765166400000,0.57,0.582,0.57,0.576,160428.1
1765180800000,0.577,0.577,0.57,0.572,133445.5
1765195200000,0.57,0.578,0.567,0.569,146786.9
1765209600000,0.571,0.62,0.567,0.587,1239292.2
1765224000000,0.588,0.59,0.569,0.577,910722.7
1765238400000,0.577,0.581,0.569,0.572,121651.9
1765252800000,0.574,0.574,0.564,0.57,206778.9
1765267200000,0.57,0.57,0.563,0.566,125374.7
1765281600000,0.566,0.573,0.561,0.572,178304.2
1765296000000,0.571,0.582,0.57,0.582,303426.8
1765310400000,0.581,0.582,0.573,0.575,123654.2
1765324800000,0.575,0.58,0.57,0.578,93508.9
1765339200000,0.578,0.581,0.575,0.577,52329.7
1765353600000,0.577,0.579,0.569,0.572,101143.5
1765368000000,0.572,0.574,0.564,0.566,81422.6
1765382400000,0.566,0.57,0.562,0.563,160992.2
1765396800000,0.564,0.57,0.554,0.556,146176.3
1765411200000,0.554,0.556,0.534,0.541,211192.1
1765425600000,0.542,0.553,0.541,0.552,143233.2
1765440000000,0.552,0.553,0.543,0.547,113369.8
1765454400000,0.548,0.548,0.541,0.545,102073.4
1765468800000,0.545,0.547,0.539,0.541,198204.8
1765483200000,0.541,0.548,0.54,0.545,127866.5
1765497600000,0.545,0.546,0.538,0.54,109567.8
1765512000000,0.54,0.549,0.539,0.548,91221.3
1765526400000,0.548,0.548,0.542,0.544,98598.9
1765540800000,0.544,0.55,0.536,0.548,233515.8
1765555200000,0.55,0.551,0.536,0.548,360305.0
1765569600000,0.549,0.588,0.543,0.551,2301633.9
1765584000000,0.551,0.565,0.551,0.563,362433.2
1765598400000,0.561,0.571,0.548,0.552,311464.6
1765612800000,0.552,0.58,0.549,0.576,677450.2
1765627200000,0.576,0.58,0.557,0.56,705144.8
1765641600000,0.561,0.576,0.56,0.566,389310.1
1765656000000,0.568,0.571,0.559,0.564,248501.4
1765670400000,0.564,0.569,0.562,0.562,91485.7
1765684800000,0.562,0.575,0.558,0.567,276848.7
1765699200000,0.565,0.579,0.558,0.559,361435.5
1765713600000,0.558,0.572,0.55,0.552,260991.6
1765728000000,0.552,0.556,0.546,0.549,315109.8
1765742400000,0.547,0.557,0.538,0.539,245792.1
1765756800000,0.539,0.551,0.539,0.547,71722.4
1765771200000,0.549,0.549,0.543,0.548,109881.8
1765785600000,0.549,0.551,0.546,0.547,92260.3
1765800000000,0.547,0.551,0.533,0.538,221036.6
1765814400000,0.539,0.541,0.52,0.529,389279.6
1765828800000,0.529,0.531,0.525,0.529,95296.9
1765843200000,0.529,0.53,0.521,0.523,107503.1
1765857600000,0.522,0.532,0.519,0.527,146577.1
1765872000000,0.527,0.532,0.526,0.529,108861.1
1765886400000,0.531,0.534,0.525,0.528,99066.5
1765900800000,0.529,0.529,0.524,0.528,94690.7
1765915200000,0.528,0.531,0.525,0.526,72177.8
1765929600000,0.526,0.527,0.521,0.521,52202.5
1765944000000,0.521,0.528,0.521,0.526,151999.3
1765958400000,0.528,0.532,0.523,0.526,159433.8
1765972800000,0.526,0.531,0.518,0.52,430027.7
1765987200000,0.52,0.521,0.506,0.508,217047.5
1766001600000,0.509,0.509,0.499,0.501,154336.5
1766016000000,0.502,0.509,0.5,0.5,121874.9
1766030400000,0.5,0.504,0.49,0.495,249720.9
1766044800000,0.495,0.502,0.495,0.497,168795.1
1766059200000,0.497,0.507,0.497,0.504,225830.7
1766073600000,0.503,0.506,0.49,0.496,811401.7
1766088000000,0.496,0.504,0.487,0.487,356809.2
1766102400000,0.488,0.491,0.483,0.486,180096.6
1766116800000,0.487,0.497,0.486,0.496,116558.2
1766131200000,0.496,0.499,0.494,0.496,139768.8
1766145600000,0.496,0.521,0.495,0.513,786343.6
1766160000000,0.515,0.519,0.511,0.513,279993.6
1766174400000,0.514,0.517,0.513,0.516,97022.6
1766188800000,0.515,0.527,0.515,0.523,104658.9
1766203200000,0.523,0.533,0.52,0.526,309795.1
1766217600000,0.526,0.528,0.517,0.519,299918.6
1766232000000,0.519,0.523,0.517,0.52,160527.2
1766246400000,0.521,0.528,0.519,0.519,168447.7
1766260800000,0.52,0.521,0.512,0.518,108292.7
1766275200000,0.519,0.527,0.518,0.519,161798.7
1766289600000,0.52,0.523,0.517,0.523,68865.6
1766304000000,0.523,0.561,0.521,0.55,1536543.6
1766318400000,0.55,0.554,0.535,0.542,624608.3
1766332800000,0.542,0.543,0.523,0.532,427463.6
1766347200000,0.534,0.536,0.529,0.532,186226.4
1766361600000,0.532,0.539,0.52,0.529,328710.8
1766376000000,0.529,0.539,0.527,0.533,389870.0
1766390400000,0.533,0.537,0.524,0.526,308153.8
1766404800000,0.527,0.532,0.524,0.529,283029.0
1766419200000,0.529,0.532,0.524,0.531,189456.2
1766433600000,0.531,0.534,0.526,0.527,128433.6
1766448000000,0.528,0.531,0.525,0.525,97078.0
