timestamp,open,high,low,close,volume
1750752000000,7.56,7.64,7.49,7.59,10358.4977
1750780800000,7.59,7.72,7.45,7.56,8467.9364
1750809600000,7.55,7.6,7.35,7.45,9505.0869
1750838400000,7.45,7.59,7.35,7.35,12615.1776
1750867200000,7.36,7.46,7.26,7.32,7093.1219
1750896000000,7.32,7.58,7.29,7.53,10783.9449
1750924800000,7.54,7.59,7.15,7.23,18210.8444
1750953600000,7.23,7.31,7.08,7.18,12766.5888
1750982400000,7.16,7.31,7.05,7.17,14245.4342
1751011200000,7.17,7.33,7.12,7.22,12524.9927
1751040000000,7.22,7.29,7.0,7.22,11259.1152
1751068800000,7.22,7.27,7.12,7.24,7437.2927
1751097600000,7.24,7.28,7.16,7.25,8155.5284
1751126400000,7.25,7.39,7.21,7.33,12435.1825
1751155200000,7.33,7.39,7.23,7.37,7235.1657
1751184000000,7.35,7.48,7.27,7.28,11509.629
1751212800000,7.28,7.71,7.27,7.63,9739.9986
1751241600000,7.62,7.71,7.47,7.6,6093.6452
1751270400000,7.58,7.6,7.39,7.48,14853.1658
1751299200000,7.49,7.6,7.42,7.45,9110.471
1751328000000,7.45,7.47,7.16,7.23,15579.122
1751356800000,7.23,7.36,7.11,7.13,20216.8857
1751385600000,7.13,7.16,6.99,7.03,12513.7754
1751414400000,7.03,7.24,6.98,7.22,10432.5218
1751443200000,7.22,7.55,7.21,7.51,21712.0917
1751472000000,7.52,7.73,7.51,7.62,19824.7303
1751500800000,7.62,7.72,7.62,7.68,8225.4845
1751529600000,7.7,7.74,7.51,7.52,14208.887
1751558400000,7.52,7.76,7.5,7.61,16709.0694
1751587200000,7.61,7.62,7.29,7.29,11041.4628
1751616000000,7.29,7.49,7.23,7.27,23401.4837
1751644800000,7.27,7.31,7.11,7.24,15076.9767
1751673600000,7.24,7.42,7.22,7.33,10076.185
1751702400000,7.33,7.37,7.17,7.18,9916.96
1751731200000,7.18,7.23,7.02,7.18,11243.5797
1751760000000,7.17,7.19,7.09,7.15,4817.3031
1751788800000,7.15,7.46,7.11,7.42,13808.6313
1751817600000,7.43,7.63,7.35,7.42,14663.2498
1751846400000,7.42,7.55,7.34,7.45,10839.1748
1751875200000,7.45,7.57,7.34,7.49,17959.8624
1751904000000,7.49,7.53,7.33,7.42,18028.6917
1751932800000,7.42,7.46,7.27,7.41,10231.6907
1751961600000,7.41,7.67,7.36,7.54,17699.5507
1751990400000,7.54,7.71,7.48,7.56,17173.5599
1752019200000,7.56,7.63,7.5,7.58,9818.3709
1752048000000,7.57,7.84,7.56,7.8,20171.0669
1752076800000,7.79,8.01,7.74,7.93,17513.946
1752105600000,7.93,8.0,7.84,7.91,15491.7676
1752134400000,7.91,8.06,7.81,7.96,25231.2622
1752163200000,7.96,8.63,7.94,8.57,36820.3324
1752192000000,8.57,8.9,8.39,8.72,47724.7985
1752220800000,8.72,8.94,8.63,8.64,18523.7661
1752249600000,8.65,8.87,8.5,8.61,15939.6875
1752278400000,8.61,9.26,8.47,8.89,50023.5363
1752307200000,8.89,8.92,8.48,8.52,36078.2608
1752336000000,8.52,8.61,8.46,8.58,8078.3815
1752364800000,8.57,8.7,8.53,8.68,14832.0299
1752393600000,8.67,8.92,8.61,8.89,14702.7999
1752422400000,8.89,8.92,8.65,8.74,9677.6265
1752451200000,8.74,9.08,8.69,9.01,13102.2724
1752480000000,9.02,9.02,8.65,8.65,15443.0201
1752508800000,8.65,8.74,8.52,8.64,12612.9259
1752537600000,8.63,8.69,8.36,8.53,9153.9973
1752566400000,8.52,8.75,8.42,8.65,13890.9467
1752595200000,8.65,8.92,8.64,8.89,14998.199
1752624000000,8.9,8.95,8.75,8.93,8523.4323
1752652800000,8.92,9.18,8.84,9.1,15508.6828
1752681600000,9.08,9.33,9.07,9.2,27943.0954
1752710400000,9.19,9.42,9.11,9.4,18467.1328
1752739200000,9.4,9.43,9.11,9.15,16000.387
1752768000000,9.15,9.29,8.95,9.22,16943.6343
1752796800000,9.22,9.84,9.17,9.6,20105.1341
1752825600000,9.6,9.77,9.39,9.47,9484.344
1752854400000,9.47,9.59,9.21,9.41,11432.7845
1752883200000,9.41,9.61,9.21,9.43,10266.8046
1752912000000,9.45,9.45,9.21,9.33,10403.1951
1752940800000,9.33,9.64,9.29,9.6,11006.509
1752969600000,9.61,9.82,9.53,9.78,7796.2659
1752998400000,9.78,10.07,9.76,10.06,14140.2336
1753027200000,10.06,10.15,9.78,9.87,17269.6638
1753056000000,9.86,10.14,9.7,10.13,11474.3379
1753084800000,10.12,10.26,10.06,10.12,15484.3519
1753113600000,10.13,10.15,9.81,10.01,14363.2073
1753142400000,10.01,10.05,9.61,9.68,19508.81
1753171200000,9.68,9.9,9.5,9.86,15296.2304
1753200000000,9.85,9.98,9.69,9.89,14776.7869
1753228800000,9.89,10.03,9.77,9.88,11382.8138
1753257600000,9.88,10.0,9.51,9.63,19127.479
1753286400000,9.61,9.63,9.14,9.41,21727.8508
1753315200000,9.4,9.5,8.97,9.22,16325.3882
1753344000000,9.21,9.63,9.15,9.42,15420.0298
1753372800000,9.42,9.63,9.29,9.41,16819.8376
1753401600000,9.4,9.49,9.11,9.33,12408.869
1753430400000,9.32,9.63,9.22,9.33,13529.9876
1753459200000,9.32,9.84,9.28,9.78,15736.0296
1753488000000,9.79,9.88,9.69,9.76,7575.1644
1753516800000,9.77,9.9,9.73,9.81,7338.1803
1753545600000,9.82,9.84,9.65,9.7,8472.0139
1753574400000,9.7,9.9,9.69,9.85,5833.5611
1753603200000,9.83,9.99,9.7,9.92,12517.3461
1753632000000,9.92,10.2,9.88,10.13,18514.0518
1753660800000,10.11,10.31,9.99,10.18,7711.7722
1753689600000,10.2,10.24,9.81,9.91,10935.2746
1753718400000,9.89,9.96,9.68,9.75,14494.2397
1753747200000,9.76,10.02,9.51,9.96,12621.2208
1753776000000,9.96,10.6,9.66,9.69,90572.2643
1753804800000,9.69,9.78,9.49,9.65,20270.2434
1753833600000,9.64,9.69,9.48,9.58,14556.7762
1753862400000,9.57,9.61,9.27,9.48,22265.6969
1753891200000,9.48,9.63,9.17,9.59,12197.2177
1753920000000,9.59,9.83,9.52,9.79,7561.9089
1753948800000,9.79,9.82,9.34,9.47,14144.8122
1753977600000,9.49,9.62,9.09,9.13,14341.7049
1754006400000,9.13,9.22,8.98,9.01,13529.8016
1754035200000,9.01,9.16,8.83,9.04,16301.5826
1754064000000,9.05,9.13,8.67,8.84,16193.9539
1754092800000,8.84,8.99,8.68,8.96,8295.5518
1754121600000,8.96,8.97,8.64,8.65,13277.0466
