timestamp,open,high,low,close,volume
1759737600000,1.5,3.0,1.5,2.128,77203193.37
1759766400000,2.128,2.148,2.015,2.063,33468419.16
1759795200000,2.064,2.117,1.945,1.993,33412107.34
1759824000000,1.993,2.19,1.966,2.038,64317050.97
1759852800000,2.038,2.117,1.985,2.045,30352523.06
1759881600000,2.045,2.11,1.902,1.985,43080485.6
1759910400000,1.986,2.075,1.936,1.971,39706890.92
1759939200000,1.971,2.028,1.9,1.928,27791007.72
1759968000000,1.928,1.928,1.769,1.836,40817474.26
1759996800000,1.837,1.846,1.56,1.665,75346675.81
1760025600000,1.665,1.719,1.61,1.681,32909104.24
1760054400000,1.682,1.727,1.52,1.59,69858747.5
1760083200000,1.59,1.668,1.5,1.552,79603285.01
1760112000000,1.551,1.846,0.984,1.321,241161893.72
1760140800000,1.32,1.395,1.2,1.349,93734717.78
1760169600000,1.35,1.414,1.271,1.291,64865276.71
1760198400000,1.291,1.356,1.155,1.2,69807557.47
1760227200000,1.2,1.329,1.16,1.318,64753637.87
1760256000000,1.318,1.525,1.251,1.49,141521101.51
1760284800000,1.49,1.536,1.427,1.485,84258410.34
1760313600000,1.484,1.57,1.448,1.56,59738437.81
1760342400000,1.559,1.595,1.402,1.454,98862527.46
1760371200000,1.454,1.5,1.352,1.451,100792753.53
1760400000000,1.451,1.493,1.323,1.339,86037111.53
1760428800000,1.339,1.445,1.301,1.444,81757057.1
1760457600000,1.445,1.529,1.423,1.502,89207376.42
1760486400000,1.503,1.53,1.449,1.525,43310593.39
1760515200000,1.524,1.538,1.373,1.393,65957869.12
1760544000000,1.393,1.418,1.262,1.282,67909224.44
1760572800000,1.282,1.35,1.267,1.327,41715294.8
1760601600000,1.328,1.364,1.183,1.252,118745834.81
1760630400000,1.252,1.316,1.229,1.257,64432732.69
1760659200000,1.257,1.289,1.054,1.074,83656713.61
1760688000000,1.073,1.127,1.02,1.1,146847106.97
1760716800000,1.101,1.175,1.096,1.158,62019473.33
1760745600000,1.158,1.237,1.139,1.212,69741540.3
1760774400000,1.211,1.232,1.152,1.161,42269478.83
1760803200000,1.161,1.199,1.121,1.177,24037670.1
1760832000000,1.176,1.188,1.133,1.144,19834767.69
