timestamp,open,high,low,close,volume
1765137600000,0.915,0.936,0.9,0.904,134581.41
1765152000000,0.905,0.914,0.9,0.912,35343.67
1765166400000,0.913,0.929,0.911,0.922,62916.99
1765180800000,0.922,0.926,0.913,0.915,76242.33
1765195200000,0.915,0.926,0.914,0.914,83794.23
1765209600000,0.914,0.948,0.912,0.935,282672.64
1765224000000,0.935,0.937,0.927,0.931,64718.56
1765238400000,0.932,0.94,0.929,0.936,40389.01
1765252800000,0.936,0.937,0.905,0.915,103510.66
1765267200000,0.915,0.919,0.905,0.916,49026.08
1765281600000,0.916,0.937,0.913,0.936,52130.76
1765296000000,0.936,0.949,0.934,0.942,65394.66
1765310400000,0.941,0.943,0.931,0.931,49060.25
1765324800000,0.931,0.936,0.926,0.931,27162.73
1765339200000,0.93,0.936,0.923,0.927,29883.96
1765353600000,0.928,0.93,0.916,0.922,36911.25
1765368000000,0.922,0.928,0.912,0.914,56323.75
1765382400000,0.913,0.927,0.912,0.926,55419.96
1765396800000,0.926,0.927,0.905,0.909,57145.81
1765411200000,0.909,0.913,0.878,0.882,108543.46
1765425600000,0.882,0.895,0.879,0.893,66893.62
1765440000000,0.892,0.895,0.884,0.889,33385.37
1765454400000,0.89,0.895,0.879,0.883,45657.64
1765468800000,0.882,0.883,0.866,0.876,112144.76
1765483200000,0.876,0.892,0.876,0.889,50251.77
1765497600000,0.889,0.901,0.886,0.89,34223.65
1765512000000,0.891,0.897,0.884,0.885,41807.97
1765526400000,0.887,0.895,0.885,0.89,38178.88
1765540800000,0.891,0.966,0.882,0.934,497407.98
1765555200000,0.931,0.974,0.893,0.96,1748142.72
1765569600000,0.959,0.963,0.902,0.909,919040.25
1765584000000,0.909,0.933,0.909,0.921,182146.88
1765598400000,0.923,0.924,0.903,0.905,152318.6
1765612800000,0.906,0.935,0.899,0.93,367842.69
1765627200000,0.93,0.942,0.912,0.915,291856.01
1765641600000,0.915,0.936,0.911,0.915,221407.92
1765656000000,0.916,0.916,0.901,0.908,108970.7
1765670400000,0.909,0.914,0.903,0.913,50911.65
1765684800000,0.912,0.926,0.904,0.916,137776.24
1765699200000,0.916,0.927,0.899,0.903,241421.27
1765713600000,0.903,0.912,0.894,0.897,64332.07
1765728000000,0.898,0.903,0.894,0.899,55814.79
1765742400000,0.9,0.904,0.881,0.887,85409.3
1765756800000,0.889,0.903,0.886,0.897,27349.72
1765771200000,0.896,0.904,0.892,0.896,41747.93
1765785600000,0.896,0.897,0.885,0.894,50584.66
1765800000000,0.894,0.896,0.872,0.874,121493.23
1765814400000,0.875,0.875,0.854,0.86,75093.89
1765828800000,0.861,0.868,0.851,0.865,50790.66
1765843200000,0.864,0.874,0.859,0.871,30067.54
1765857600000,0.871,0.875,0.866,0.87,35013.26
1765872000000,0.869,0.879,0.868,0.87,57065.82
1765886400000,0.87,0.884,0.866,0.879,83665.36
1765900800000,0.88,0.882,0.864,0.865,48375.88
1765915200000,0.866,0.869,0.861,0.862,36007.16
1765929600000,0.863,0.867,0.86,0.866,27799.43
1765944000000,0.866,0.879,0.861,0.866,44080.29
1765958400000,0.867,0.882,0.865,0.879,61099.03
1765972800000,0.879,0.917,0.867,0.872,497928.0
1765987200000,0.872,0.877,0.837,0.847,150078.23
1766001600000,0.845,0.859,0.838,0.856,81102.24
1766016000000,0.855,0.865,0.851,0.853,32945.11
1766030400000,0.853,0.854,0.83,0.831,143856.2
1766044800000,0.831,0.843,0.831,0.841,43258.91
1766059200000,0.841,0.857,0.838,0.851,120603.88
1766073600000,0.849,0.874,0.831,0.867,373486.32
1766088000000,0.867,0.895,0.84,0.843,425564.33
1766102400000,0.844,0.858,0.843,0.852,101678.01
1766116800000,0.852,0.863,0.845,0.854,148548.25
1766131200000,0.855,0.866,0.854,0.862,55267.82
1766145600000,0.86,0.898,0.856,0.879,425047.01
1766160000000,0.879,0.89,0.872,0.889,130069.01
1766174400000,0.889,0.892,0.885,0.889,50127.43
1766188800000,0.889,0.898,0.884,0.893,55755.52
1766203200000,0.893,0.897,0.887,0.888,55870.18
1766217600000,0.889,0.894,0.888,0.893,36019.72
1766232000000,0.893,0.896,0.885,0.896,59276.26
1766246400000,0.896,0.93,0.894,0.911,281806.17
1766260800000,0.912,0.916,0.899,0.91,70491.12
1766275200000,0.91,0.93,0.899,0.9,115375.0
1766289600000,0.9,0.904,0.88,0.899,171567.87
1766304000000,0.899,1.057,0.899,1.02,2626502.43
1766318400000,1.019,1.02,0.95,0.963,1011401.07
1766332800000,0.963,0.964,0.913,0.924,596232.24
1766347200000,0.924,0.962,0.92,0.93,410506.25
1766361600000,0.93,0.959,0.928,0.933,120421.45
1766376000000,0.932,0.957,0.924,0.928,141849.35
1766390400000,0.928,0.94,0.916,0.922,121964.55
1766404800000,0.923,0.935,0.917,0.926,170230.17
1766419200000,0.926,0.941,0.914,0.936,234532.94
1766433600000,0.934,0.943,0.919,0.925,152403.23
1766448000000,0.925,0.93,0.917,0.929,76878.61
1766462400000,0.929,0.931,0.912,0.919,92217.21
1766476800000,0.919,0.935,0.916,0.932,65281.39
1766491200000,0.933,0.94,0.916,0.931,137316.82
1766505600000,0.931,0.935,0.918,0.926,88108.13
1766520000000,0.927,0.936,0.924,0.936,70876.03
1766534400000,0.934,0.937,0.926,0.928,49784.87
1766548800000,0.928,0.935,0.918,0.921,76005.49
1766563200000,0.921,0.926,0.917,0.924,36101.35
1766577600000,0.924,0.931,0.921,0.931,35837.43
1766592000000,0.929,0.951,0.926,0.938,102781.6
1766606400000,0.938,0.947,0.936,0.946,45120.63
1766620800000,0.945,0.952,0.94,0.947,49665.84
1766635200000,0.947,0.95,0.941,0.948,31177.7
1766649600000,0.948,0.952,0.941,0.949,45078.39
1766664000000,0.949,0.951,0.939,0.943,40246.29
1766678400000,0.943,0.946,0.937,0.945,43816.12
1766692800000,0.945,0.954,0.929,0.93,51298.54
1766707200000,0.93,0.934,0.917,0.927,102496.62
1766721600000,0.929,0.94,0.927,0.932,37000.23
1766736000000,0.934,0.937,0.93,0.934,29205.93
1766750400000,0.934,0.951,0.93,0.937,87392.72
1766764800000,0.937,0.959,0.937,0.95,152795.33
1766779200000,0.949,0.966,0.945,0.953,44092.39
1766793600000,0.953,0.957,0.939,0.939,78660.64
1766808000000,0.941,0.942,0.932,0.939,36298.16
1766822400000,0.938,0.94,0.931,0.935,30951.92
1766836800000,0.934,0.945,0.933,0.943,33032.94
1766851200000,0.943,0.945,0.937,0.942,38060.24
1766865600000,0.942,0.95,0.939,0.949,29851.43
1766880000000,0.949,0.953,0.945,0.95,19281.09
1766894400000,0.95,0.953,0.944,0.948,33139.17
1766908800000,0.946,0.949,0.939,0.944,41271.01
1766923200000,0.942,0.966,0.942,0.95,191270.24
1766937600000,0.95,0.952,0.937,0.94,62382.88
1766952000000,0.939,0.941,0.935,0.938,36151.0
1766966400000,0.94,0.953,0.937,0.951,40926.57
1766980800000,0.951,0.953,0.942,0.945,44561.59
1766995200000,0.944,0.946,0.924,0.925,89539.9
1767009600000,0.925,0.925,0.914,0.916,62274.08
1767024000000,0.917,0.925,0.913,0.92,34209.6
1767038400000,0.921,0.924,0.918,0.922,25543.23
1767052800000,0.92,0.925,0.91,0.913,48191.01
1767067200000,0.913,0.921,0.902,0.913,78234.64
1767081600000,0.913,0.919,0.912,0.918,39513.73
1767096000000,0.918,0.927,0.913,0.926,50421.83
1767110400000,0.926,0.927,0.913,0.916,26164.24
1767124800000,0.917,0.922,0.916,0.919,26928.34
1767139200000,0.92,0.924,0.915,0.916,23328.8
1767153600000,0.916,0.936,0.914,0.926,106988.3
1767168000000,0.926,0.941,0.925,0.932,78540.18
1767182400000,0.931,0.94,0.926,0.938,74830.66
1767196800000,0.939,0.941,0.927,0.933,55797.2
1767211200000,0.933,0.933,0.922,0.927,80885.58
1767225600000,0.925,0.936,0.925,0.933,29083.79
1767240000000,0.932,0.934,0.929,0.931,20985.08
1767254400000,0.93,0.952,0.93,0.946,101880.51
1767268800000,0.946,0.95,0.941,0.947,33521.86
1767283200000,0.946,0.958,0.944,0.952,39448.66
1767297600000,0.951,0.957,0.945,0.946,69969.24
1767312000000,0.946,0.949,0.94,0.945,35669.37
1767326400000,0.945,0.952,0.938,0.941,55416.59
1767340800000,0.942,0.948,0.939,0.942,27346.94
1767355200000,0.944,0.954,0.939,0.947,47244.84
1767369600000,0.947,0.97,0.945,0.965,91906.01
1767384000000,0.965,0.97,0.957,0.962,30539.06
1767398400000,0.963,0.997,0.96,0.983,114037.81
1767412800000,0.983,0.985,0.964,0.971,99166.9
1767427200000,0.97,0.987,0.955,0.964,137730.86
1767441600000,0.962,0.968,0.956,0.961,40940.31
1767456000000,0.96,0.97,0.959,0.968,45276.27
1767470400000,0.969,0.975,0.96,0.973,26604.16
1767484800000,0.973,0.978,0.97,0.973,21693.87
1767499200000,0.973,0.973,0.967,0.97,32658.59
1767513600000,0.97,0.983,0.967,0.976,79497.11
1767528000000,0.976,0.979,0.968,0.972,77275.23
1767542400000,0.971,0.975,0.966,0.969,38080.23
1767556800000,0.97,0.982,0.969,0.979,30604.23
1767571200000,0.981,0.982,0.967,0.969,24147.61
1767585600000,0.969,0.974,0.961,0.972,27547.64
1767600000000,0.972,0.973,0.956,0.961,41268.73
1767614400000,0.962,0.971,0.955,0.965,43050.28
1767628800000,0.965,0.977,0.961,0.97,41937.73
1767643200000,0.971,0.976,0.97,0.971,21124.76
1767657600000,0.972,0.975,0.966,0.971,22042.52
1767672000000,0.971,0.978,0.969,0.972,25494.88
1767686400000,0.974,0.981,0.972,0.977,34730.19
1767700800000,0.978,0.986,0.974,0.975,75159.19
1767715200000,0.976,0.984,0.966,0.969,95323.38
1767729600000,0.968,0.979,0.967,0.976,31884.49
1767744000000,0.976,0.976,0.962,0.969,22761.17
1767758400000,0.968,0.98,0.965,0.975,28493.84
1767772800000,0.975,0.98,0.965,0.977,46956.48
1767787200000,0.979,0.987,0.95,0.955,139038.73
1767801600000,0.956,0.965,0.953,0.96,37409.11
1767816000000,0.96,0.962,0.951,0.956,22875.16
1767830400000,0.956,0.964,0.95,0.952,74971.71
1767844800000,0.953,0.961,0.944,0.954,65575.12
1767859200000,0.954,0.959,0.932,0.947,204241.9
1767873600000,0.947,0.97,0.938,0.96,126373.56
1767888000000,0.96,0.964,0.951,0.952,40529.99
1767902400000,0.952,0.958,0.947,0.953,26449.89
1767916800000,0.954,0.961,0.949,0.958,33561.37
1767931200000,0.959,0.961,0.946,0.952,38867.52
1767945600000,0.953,0.979,0.945,0.955,277404.65
1767960000000,0.956,0.965,0.954,0.96,40475.27
1767974400000,0.963,0.965,0.948,0.951,51421.42
1767988800000,0.951,0.958,0.948,0.953,15964.34
1768003200000,0.954,0.955,0.947,0.948,15842.26
1768017600000,0.95,0.951,0.945,0.95,13152.92
1768032000000,0.95,0.958,0.948,0.958,25630.52
1768046400000,0.956,0.965,0.955,0.962,37883.27
1768060800000,0.963,0.986,0.958,0.978,168417.27
1768075200000,0.978,0.991,0.97,0.98,80820.18
1768089600000,0.98,0.983,0.973,0.974,29114.04
1768104000000,0.975,1.003,0.973,0.989,168264.9
1768118400000,0.988,0.992,0.975,0.981,75053.26
1768132800000,0.98,0.983,0.974,0.975,43237.72
1768147200000,0.976,0.981,0.969,0.971,28853.0
1768161600000,0.971,0.981,0.968,0.974,36275.31
1768176000000,0.974,0.981,0.972,0.975,14262.06
1768190400000,0.975,0.99,0.975,0.979,38052.34
1768204800000,0.98,0.983,0.969,0.972,22226.83
1768219200000,0.972,0.972,0.961,0.966,32206.64
1768233600000,0.966,0.975,0.961,0.97,46763.11
1768248000000,0.97,0.97,0.96,0.964,30987.31
1768262400000,0.964,0.973,0.962,0.969,30831.0
1768276800000,0.969,0.983,0.966,0.976,69232.58
1768291200000,0.977,0.991,0.975,0.989,55773.42
