timestamp,open,high,low,close,volume
1765137600000,2.0872,2.0937,2.0123,2.0442,17400632.6
1765152000000,2.0442,2.0912,2.0319,2.0719,12410926.2
1765166400000,2.072,2.0946,2.0697,2.0866,7678432.2
1765180800000,2.0865,2.1239,2.0811,2.0904,16102388.1
1765195200000,2.0904,2.1119,2.0674,2.0756,31677547.4
1765209600000,2.0756,2.0875,2.0628,2.0779,10972595.8
1765224000000,2.0779,2.0941,2.0695,2.0724,9207901.2
1765238400000,2.0723,2.0827,2.0568,2.0698,7425728.7
1765252800000,2.0698,2.0707,2.0419,2.0615,9424145.0
1765267200000,2.0615,2.0706,2.0459,2.0689,6651242.8
1765281600000,2.069,2.12,2.049,2.1156,23080176.5
1765296000000,2.1155,2.178,2.1154,2.1328,48235267.1
1765310400000,2.1328,2.1344,2.0854,2.1062,19043094.9
1765324800000,2.1061,2.1099,2.0817,2.0835,9756696.9
1765339200000,2.0834,2.0966,2.0763,2.0843,12968872.9
1765353600000,2.0844,2.0983,2.0637,2.0717,19699323.1
1765368000000,2.0717,2.0735,2.0559,2.0618,18462408.8
1765382400000,2.0619,2.0878,2.0376,2.0681,33901127.6
1765396800000,2.0682,2.1108,2.0346,2.0418,30344271.1
1765411200000,2.0418,2.0468,1.9927,1.9995,26076870.9
1765425600000,1.9995,2.0195,1.9952,2.0069,15484741.4
1765440000000,2.0069,2.0189,2.0003,2.0083,11224240.1
1765454400000,2.0083,2.0149,1.9767,1.9968,28651020.6
1765468800000,1.9967,2.0259,1.9838,2.0114,24495860.0
1765483200000,2.0113,2.057,2.0078,2.034,19124272.0
1765497600000,2.034,2.0434,2.0157,2.0315,8042859.2
1765512000000,2.0314,2.0433,2.0235,2.0373,5800053.1
1765526400000,2.0373,2.0463,2.0251,2.0422,5889433.6
1765540800000,2.0422,2.0478,1.9692,1.9785,28158985.2
1765555200000,1.9785,2.0256,1.9734,2.0036,23548157.5
1765569600000,2.0036,2.019,1.9971,2.0074,6547636.1
1765584000000,2.0075,2.025,2.0068,2.0226,5102809.7
1765598400000,2.0227,2.0482,2.0227,2.0285,9922854.3
1765612800000,2.0285,2.043,2.0285,2.0333,5892539.5
1765627200000,2.0333,2.0434,2.028,2.0299,10790850.2
1765641600000,2.03,2.0336,2.0152,2.0195,8228908.8
1765656000000,2.0196,2.025,2.0082,2.0227,4255304.6
1765670400000,2.0226,2.0306,2.017,2.0244,3175100.6
1765684800000,2.0245,2.0253,2.0103,2.0192,3588955.1
1765699200000,2.0193,2.0232,1.99,2.0012,7552374.1
