timeframe,variant,symbol,side,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_risk_per_unit,net_r,bars_held,max_favorable_r,chandelier_active,chandelier_activation_time,chandelier_activation_price,ch_activate_r,ch_atr_mult,exit_reason,month
4h,4H_DONCHIAN_ACT4_ATR3,BTC/USDT,SHORT,2025-12-18 16:00:00+00:00,2025-12-19 04:00:00+00:00,84483.79,87630.82714285713,87630.82714285713,87630.82714285713,3147.037142857138,-1.0,3,0.010733905723569118,False,,,4.0,3.0,STOP_OR_TRAILING,2025-12
4h,4H_DONCHIAN_ACT4_ATR3,BTC/USDT,LONG,2025-12-22 08:00:00+00:00,2025-12-22 16:00:00+00:00,89945.43,88585.40285714285,88585.40285714285,88585.40285714285,1360.0271428571432,-1.0,2,0.4726376259297366,False,,,4.0,3.0,STOP_OR_TRAILING,2025-12
4h,4H_DONCHIAN_ACT4_ATR3,BTC/USDT,LONG,2025-12-29 00:00:00+00:00,2025-12-29 08:00:00+00:00,90123.55,89163.59285714285,89163.59285714285,89163.59285714285,959.9571428571508,-1.0,2,0.2943152224057585,False,,,4.0,3.0,STOP_OR_TRAILING,2025-12
4h,4H_DONCHIAN_ACT4_ATR3,BTC/USDT,LONG,2026-01-02 08:00:00+00:00,2026-01-06 16:00:00+00:00,89502.95,92246.69571428571,88236.58714285714,92246.69571428571,1266.3628571428562,2.1666347041132457,26,4.174261721420407,True,2026-01-05 20:00:00+00:00,93859.71,4.0,3.0,STOP_OR_TRAILING,2026-01
4h,4H_DONCHIAN_ACT4_ATR3,BTC/USDT,LONG,2026-01-13 12:00:00+00:00,2026-01-20 04:00:00+00:00,93449.99,91462.99285714286,91462.99285714286,91462.99285714286,1986.9971428571444,-1.0,40,2.251890505270694,False,,,4.0,3.0,STOP_OR_TRAILING,2026-01
4h,4H_DONCHIAN_ACT4_ATR3,BTC/USDT,SHORT,2026-01-20 12:00:00+00:00,2026-01-31 16:00:00+00:00,90684.95,81985.85214285715,92510.07857142857,81985.85214285715,1825.1285714285768,4.766293176997293,67,8.199449745223406,True,2026-01-29 16:00:00+00:00,84012.11,4.0,3.0,STOP_OR_TRAILING,2026-01
4h,4H_DONCHIAN_ACT4_ATR3,BTC/USDT,SHORT,2026-02-05 00:00:00+00:00,2026-03-17 00:00:00+00:00,71223.25,74927.67428571428,74927.67428571428,74927.67428571428,3704.4242857142817,-1.0,240,3.029688052548751,False,,,4.0,3.0,STOP_OR_TRAILING,2026-03
4h,4H_DONCHIAN_ACT4_ATR3,BTC/USDT,SHORT,2026-03-19 12:00:00+00:00,2026-03-23 12:00:00+00:00,69412.51,71741.25285714286,71741.25285714286,71741.25285714286,2328.742857142861,-1.0,24,0.8810977105979876,False,,,4.0,3.0,STOP_OR_TRAILING,2026-03
4h,4H_DONCHIAN_ACT4_ATR3,BTC/USDT,SHORT,2026-03-27 08:00:00+00:00,2026-04-01 04:00:00+00:00,66702.78,68867.12142857142,68867.12142857142,68867.12142857142,2164.3414285714243,-1.0,29,0.7867427835191051,False,,,4.0,3.0,STOP_OR_TRAILING,2026-04
4h,4H_DONCHIAN_ACT4_ATR3,BTC/USDT,LONG,2026-04-06 08:00:00+00:00,2026-04-06 20:00:00+00:00,69614.91,68342.35142857143,68342.35142857143,68342.35142857143,1272.5585714285698,-1.0,3,0.5787945769546422,False,,,4.0,3.0,STOP_OR_TRAILING,2026-04
4h,4H_DONCHIAN_ACT4_ATR3,BTC/USDT,LONG,2026-04-07 20:00:00+00:00,2026-05-07 12:00:00+00:00,71924.22,80253.575,69561.55,80253.575,2362.6699999999983,3.5253992305315607,178,4.624336026613961,True,2026-05-05 12:00:00+00:00,81525.19,4.0,3.0,STOP_OR_TRAILING,2026-05
