scenario,trade_id,symbol,side,entry_time,skip_reason,open_positions,same_side_count,current_heat_pct,equity
BASE_MAX5_HEAT15,5,XRP/USDT,LONG,2025-10-02 00:00:00+00:00,MAX_OPEN,5,5,1.25,10000.0
BASE_MAX5_HEAT15,6,ADA/USDT,LONG,2025-10-02 00:00:00+00:00,MAX_OPEN,5,5,1.25,10000.0
BASE_MAX5_HEAT15,7,1INCH/USDT,LONG,2025-10-02 00:00:00+00:00,MAX_OPEN,5,5,1.25,10000.0
BASE_MAX5_HEAT15,8,SUI/USDT,LONG,2025-10-02 00:00:00+00:00,MAX_OPEN,5,5,1.25,10000.0
BASE_MAX5_HEAT15,9,1MBABYDOGE/USDT,LONG,2025-10-02 00:00:00+00:00,MAX_OPEN,5,5,1.25,10000.0
BASE_MAX5_HEAT15,10,DOT/USDT,LONG,2025-10-02 06:00:00+00:00,MAX_OPEN,5,5,1.25,10000.0
BASE_MAX5_HEAT15,11,BNB/USDT,LONG,2025-10-02 06:00:00+00:00,MAX_OPEN,5,5,1.25,10000.0
BASE_MAX5_HEAT15,12,ACH/USDT,LONG,2025-10-02 12:00:00+00:00,MAX_OPEN,5,5,1.25,10000.0
BASE_MAX5_HEAT15,13,TRX/USDT,LONG,2025-10-02 12:00:00+00:00,MAX_OPEN,5,5,1.25,10000.0
BASE_MAX5_HEAT15,14,ARK/USDT,LONG,2025-10-02 12:00:00+00:00,MAX_OPEN,5,5,1.25,10000.0
BASE_MAX5_HEAT15,15,SOL/USDT,LONG,2025-10-02 12:00:00+00:00,MAX_OPEN,5,5,1.25,10000.0
BASE_MAX5_HEAT15,16,DOGE/USDT,LONG,2025-10-02 18:00:00+00:00,MAX_OPEN,5,5,1.25,10000.0
BASE_MAX5_HEAT15,17,1000CAT/USDT,LONG,2025-10-02 18:00:00+00:00,MAX_OPEN,5,5,1.25,10000.0
BASE_MAX5_HEAT15,18,ATA/USDT,LONG,2025-10-02 18:00:00+00:00,MAX_OPEN,5,5,1.25,10000.0
BASE_MAX5_HEAT15,19,ICP/USDT,LONG,2025-10-02 18:00:00+00:00,MAX_OPEN,5,5,1.25,10000.0
