symbol,trades,avg_fee_r,avg_net_r_gross,avg_net_r_after_fee,avg_stop_pct,fee_covers,net_r_after_fee_positive
XRP/USDT,8,0.022295956837931553,4.249910535420832,4.227614578582902,9.705334725906372,True,True
AVA/USDT,5,0.016528849290068155,3.670436899070679,3.653908049780611,12.41652327965809,True,True
ALGO/USDT,5,0.016804609113174968,3.436806809488881,3.420002200375707,12.332070341553477,True,True
ANKR/USDT,2,0.014784676460660139,2.4068934646374216,2.392108788176761,14.752345015466496,True,True
ALPINE/USDT,5,0.01384001901845076,2.3892687944470383,2.3754287754285874,14.71462417737943,True,True
TRX/USDT,12,0.050180328046168426,1.6546625757917486,1.6044822477455802,4.557573372318826,True,True
DOGE/USDT,9,0.01736724043805979,1.0510056222106299,1.03363838177257,12.156642021308024,True,True
ALCX/USDT,3,0.015823026175431187,0.5725371726102071,0.5567141464347759,13.087715372390482,True,True
LINK/USDT,7,0.016877483075923672,0.5246063046565489,0.5077288215806252,12.987713904990608,True,True
SUI/USDT,9,0.01359165770161153,0.42600830550572266,0.4124166478041109,15.622023413655734,True,True
ASR/USDT,5,0.014100163815263824,0.4138745015794697,0.39977433776420584,16.289389547010252,True,True
BNB/USDT,10,0.035765470362257065,0.42521712874772016,0.3894516583854631,6.268155841941306,True,True
BTC/USDT,11,0.03532650629655803,0.27891102899041503,0.243584522693857,6.275547738539261,True,True
ETH/USDT,8,0.022950991704682594,0.20580346968357008,0.18285247797888748,8.78115913947998,True,True
AUCTION/USDT,6,0.011897494248293195,0.16821481956011097,0.15631732531181772,17.499129640620854,True,True
ARDR/USDT,5,0.01291992089259636,0.12182475827663915,0.1089048373840428,16.72762230059768,True,True
ATOM/USDT,3,0.018175827430111622,0.11874266197032741,0.10056683454021582,11.411318295753281,True,True
ADA/USDT,8,0.01738594142575113,0.09255571879029167,0.07516977736454056,12.086033736371537,True,True
AVAX/USDT,5,0.017812909118477296,0.03526413345690467,0.017451224338427364,11.370642684503277,True,True
SOL/USDT,9,0.019152502481257785,0.018611773421345033,-0.000540729059912759,10.801457476713896,False,False
BCH/USDT,10,0.0174664729831444,-0.04173632219237988,-0.05920279517552422,12.044148563531017,False,False
AMP/USDT,3,0.009819988229074513,-0.08878011235071592,-0.09860010057979048,21.125228745033077,False,False
AAVE/USDT,12,0.015481968867097582,-0.09096723254354623,-0.1064492014106438,13.214318647316425,False,False
1INCH/USDT,6,0.017679390037109225,-0.15610597487141076,-0.17378536490852,11.758478910296908,False,False
ADX/USDT,5,0.01600063330775105,-0.1915386273492631,-0.20753926065701417,13.21509846764712,False,False
ASTR/USDT,1,0.010781124497991972,-0.3022088353413654,-0.31298995983935735,18.550940584838884,False,False
AXS/USDT,5,0.015380064927641133,-0.3206668613685614,-0.33604692629620253,13.59441885904217,False,False
ALICE/USDT,6,0.01351479670080727,-0.36398141853614363,-0.3774962152369509,15.159358277692133,False,False
ACH/USDT,7,0.0118304024172711,-0.43651906765511245,-0.4483494700723836,17.7814973329194,False,False
AI/USDT,2,0.009883710793664695,-0.4862044980292143,-0.496088208822879,20.258772426527546,False,False
ARKM/USDT,3,0.012245165302360911,-0.568313953488372,-0.580559118790733,16.669723705780847,False,False
LTC/USDT,11,0.019606831277970704,-0.589490844354155,-0.6090976756321257,11.34327414708908,False,False
ICP/USDT,9,0.014992991756562733,-0.6015557528339217,-0.6165487445904844,14.078938377655845,False,False
ARB/USDT,3,0.011417051375111438,-0.6213915134335931,-0.6328085648087046,18.187812065602618,False,False
AGLD/USDT,6,0.011783142934704652,-0.6582905982905981,-0.6700737412253028,18.89972145240213,False,False
UNI/USDT,10,0.01443797754521749,-0.6773758625178858,-0.6918138400631033,14.23813442353914,False,False
API3/USDT,3,0.012106983328664687,-0.6920027908925196,-0.7041097742211844,16.96263637464319,False,False
AR/USDT,4,0.01009534903508551,-0.7049606814092477,-0.7150560304443332,20.122679831638752,False,False
ARK/USDT,6,0.013130445801053658,-0.7225496084452061,-0.7356800542462598,17.869024134694023,False,False
NEAR/USDT,6,0.015100482962471443,-0.743982285746034,-0.7590827687085054,13.58705904223498,False,False
DOT/USDT,5,0.0204844679405101,-0.7504777070063694,-0.7709621749468795,10.839548684533387,False,False
APT/USDT,6,0.014315384669843645,-0.800111093694956,-0.8144264783647998,15.020708326543666,False,False
AXL/USDT,4,0.011604938559238208,-0.827609670188921,-0.8392146087481591,17.332666545532177,False,False
ACM/USDT,3,0.014957253497923484,-0.8361022972260446,-0.851059550723968,14.55910977997332,False,False
ATA/USDT,4,0.011891009949322727,-0.8559859154929575,-0.8678769254422803,17.402265389559172,False,False
ATM/USDT,5,0.013570759537020052,-0.8618738951090158,-0.8754446546460362,15.25183854215178,False,False
APE/USDT,2,0.01171056248561287,-0.9023416711016499,-0.9140522335872627,17.3448304726168,False,False
1000SATS/USDT,1,0.010161206254653762,-0.9999999999999997,-1.0101612062546534,19.68270252445682,False,False
ALT/USDT,1,0.010547725816784113,-1.0000000000000002,-1.0105477258167843,18.961433343455813,False,False
AUDIO/USDT,2,0.012802925671433853,-1.0000000000000002,-1.0128029256714342,16.193428287748773,False,False
ARPA/USDT,3,0.013027863171914705,-1.0000000000000002,-1.0130278631719147,15.396257018814799,False,False
1MBABYDOGE/USDT,1,0.013185656719032882,-1.0000000000000004,-1.0131856567190334,15.167996881892831,False,False
1000CHEEMS/USDT,2,0.014209133772158468,-0.9999999999999998,-1.0142091337721584,14.117988912115864,False,False
AWE/USDT,1,0.014976047904191618,-1.0000000000000002,-1.0149760479041918,13.3546581367453,False,False
