timeframe,side,trades,total_net_r,avg_net_r,median_net_r,win_rate,profit_factor,max_drawdown_r,best_trade_r,worst_trade_r,avg_bars_held,median_bars_held,be_touch_rate,chand_touch_rate,avg_mfe_r,avg_mae_r
2h,ALL,1021,-150.20206780089984,-0.14711270107825644,-1.0199999999999998,0.1616062683643487,0.826404766884144,-394.29342561388665,27.961481481481403,-1.0200000000002776,39.387855044074435,16.0,0.0,0.14103819784524976,2.1215687950504343,-1.1843514862856213
2h,LONG,539,164.93609801736005,0.30600389242552883,-1.0199999999999996,0.22263450834879406,1.3894095839832648,-135.24529232411243,27.961481481481403,-1.0200000000001448,31.20408163265306,13.0,0.0,0.21335807050092764,2.8359962202301885,-1.0689487973200273
2h,SHORT,482,-315.1381658182598,-0.6538136220295846,-1.02,0.09336099585062241,0.28651531176069506,-331.2264710243035,10.06148148148149,-1.0200000000002776,48.53941908713693,18.0,0.0,0.06016597510373444,1.3226551390921617,-1.313401381207727
4h,ALL,965,26.833896440359865,0.027807146570321104,-1.0199999999999996,0.19378238341968912,1.0340920128685036,-351.184924083687,40.16691588785046,-1.020000000000208,43.09844559585492,17.0,0.0,0.1689119170984456,2.297038403106142,-1.2028313915148596
4h,LONG,410,128.51060206750066,0.3134404928475626,-1.0199999999999996,0.22926829268292684,1.4037447811103436,-119.05906764129682,40.16691588785046,-1.020000000000208,29.829268292682926,15.5,0.0,0.1902439024390244,2.8870412830015604,-1.0848727805213818
4h,SHORT,555,-101.67670562714076,-0.18320127140025363,-1.0199999999999996,0.16756756756756758,0.7831153818331081,-294.22886576764904,11.21740714939845,-1.020000000000193,52.9009009009009,18.0,0.0,0.15315315315315314,1.8611804197599757,-1.2899719870235546
6h,ALL,865,243.0134160432424,0.2809403653679103,-1.0199999999999996,0.24393063583815028,1.3666328524378877,-231.30908662458376,29.944692901802114,-1.020000000000208,47.33872832369942,13.0,0.0,0.22196531791907514,2.498758537848632,-1.2473365053435026
6h,LONG,316,46.250175389800035,0.14636131452468365,-1.0199999999999998,0.22784810126582278,1.1879950535214134,-101.86332961330068,29.944692901802114,-1.0200000000000855,23.234177215189874,12.0,0.0,0.1962025316455696,2.656619032824829,-1.2054241784613098
6h,SHORT,549,196.76324065344238,0.35840298843978574,-1.0199999999999996,0.25318761384335153,1.472072847046374,-173.40753033364402,15.103778501628657,-1.020000000000208,61.21311475409836,14.0,0.0,0.23679417122040072,2.4078953021246283,-1.2714609047875332
ALL,ALL,2851,119.64524468270241,0.041966062673694286,-1.0199999999999996,0.19747457032620133,1.0516788121791714,-961.87192893767,40.16691588785046,-1.0200000000002776,43.05612065941775,15.0,0.0,0.17502630655910206,2.2954015903132188,-1.2097163231959271
ALL,LONG,1265,339.6968754746606,0.26853507942660915,-1.0199999999999996,0.22608695652173913,1.3438683574241668,-335.19955389475126,40.16691588785046,-1.020000000000208,28.767588932806323,13.0,0.0,0.2015810276679842,2.807731623009769,-1.1082018040814507
ALL,SHORT,1586,-220.05163079195825,-0.13874629936441252,-1.0199999999999996,0.1746532156368222,0.8342112343434118,-788.0109170070305,15.103778501628657,-1.0200000000002776,54.452711223203025,17.0,0.0,0.15384615384615385,1.886765088824483,-1.2906847132840815
