timeframe,side,assets,positive_assets,negative_assets,total_r,top1_asset,top1_r,top3_r,top5_r,top10_r,top1_pct_of_total,top3_pct_of_total,top5_pct_of_total,top10_pct_of_total,top1_pct_of_positive_r,top3_pct_of_positive_r,top5_pct_of_positive_r,top10_pct_of_positive_r
2h,ALL,69,23,46,-150.20206780089978,币安人生/USDT,22.28240504699369,63.360225957060734,98.97750676666057,148.4211136901707,-0.14834952256802558,-0.4218332469367055,-0.6589623446320334,-0.9881429454547201,0.1143456687569261,0.32514297242018486,0.5079186550669915,0.7616463064358518
2h,LONG,68,34,34,164.93609801736005,ZEC/USDT,27.92368882072889,72.03350981041746,111.3692473655618,185.27124405306128,0.16930004502586107,0.43673586726197255,0.6752266405249858,1.123291058053046,0.092641152913261,0.23898230065763848,0.3694846888341197,0.614665983457329
2h,SHORT,68,8,60,-315.13816581825984,TRUMP/USDT,5.7426102454320915,10.749148625912634,13.842855885585276,15.171289188565336,-0.018222515925741138,-0.03410932026592954,-0.04392630721081384,-0.04814170682618816,0.35027695593796465,0.6556563824968639,0.8443605283760481,0.9253898083806602
4h,ALL,68,30,38,26.83389644035982,币安人生/USDT,39.733411688013014,89.09708707083166,118.51456807642126,169.35382368250708,1.4807171882891945,3.3203186599775427,4.41659929409909,6.3111901791418035,0.1555950784741856,0.34890203648909623,0.4641001800947322,0.6631854745494377
4h,LONG,67,31,36,128.51060206750063,币安人生/USDT,39.81781622487501,92.0171438679012,118.86894463059929,173.37689220227472,0.3098407102937746,0.7160276458713413,0.9249738365412293,1.3491252037805248,0.14445231137725686,0.3338226547378574,0.43123645219242895,0.6289820786901454
4h,SHORT,68,22,46,-101.6767056271408,TRUMP/USDT,9.226814720011987,25.0105492271786,36.69889871071426,55.712942257194634,-0.09074659395287342,-0.24598111310662366,-0.3609371338730524,-0.5479420474292299,0.1319878718406308,0.35777126410709453,0.5249709338170986,0.7969632972642497
6h,ALL,68,40,28,243.01341604324236,ZEC/USDT,41.08317247582105,102.13266862287735,140.247307901467,199.7683640238966,0.16905721974012586,0.4202758443784998,0.5771175525408485,0.822046647779929,0.12543350925442975,0.31182740433268513,0.4281975060207652,0.6099248287673271
6h,LONG,66,25,41,46.250175389800035,ZEC/USDT,41.244591673202805,75.92533203831502,98.24440071521332,139.1319985131674,0.8917715733095111,1.6416225754477791,2.124195203309003,3.0082480193978123,0.22645793758444915,0.41687633229697935,0.5394216177837051,0.7639194414855955
6h,SHORT,68,48,20,196.76324065344232,TRUMP/USDT,16.046882958597504,44.197819125073096,67.80796159555098,112.8116859849038,0.08155427256283486,0.22462437078335376,0.3446170197764767,0.5733372026719067,0.06798564768796887,0.18725240081619024,0.28728122460720956,0.47794799514919417
ALL_TF,ALL,69,30,39,119.6452446827024,TON/USDT,74.92261007425324,206.967784472046,308.0987017539522,448.5086790204545,0.6262063341752279,1.7298454695873773,2.5751019404993976,3.7486544509971425,0.11481795589653024,0.3171755218613265,0.47215737832283594,0.6873338992854735
