symbol,trades,total_r,avg_r,best_trade_r,worst_trade_r
ZEC/USDT,7,27.92368882072889,3.9890984029612704,17.525163698411006,-1.020000000000001
币安人生/USDT,8,22.92765757224621,2.8659571965307764,18.86787878787879,-1.0200000000000014
DOGS/USDT,10,21.18216341744236,2.118216341744236,17.91333333333331,-1.0200000000000025
LUNC/USDT,8,19.871742984657715,2.4839678730822143,5.959526551503519,-1.02
ONDO/USDT,12,19.463994570486634,1.6219995475405529,27.961481481481403,-1.0200000000000038
VIC/USDT,7,17.885131051495513,2.555018721642216,13.762608695652151,-1.020000000000001
SAHARA/USDT,8,16.47636235526519,2.059545294408149,17.221245136186766,-1.0200000000000011
NOT/USDT,10,14.817769607843166,1.4817769607843165,15.282083333333352,-1.02
OSMO/USDT,7,12.705315904139358,1.8150451291627654,15.862352941176397,-1.0200000000000042
INJ/USDT,7,12.017417768756246,1.716773966965178,3.350919881305633,-1.0200000000000018
TON/USDT,5,11.849646226415103,2.3699292452830205,12.786250000000017,-1.0200000000000031
TRX/USDT,13,11.434289497714035,0.8795607305933874,9.681492537313376,-1.020000000000014
SAPIEN/USDT,8,10.222098441514218,1.2777623051892772,7.882912621359239,-1.0200000000000022
ICP/USDT,8,8.582616033755306,1.0728270042194132,15.722616033755305,-1.0200000000000016
SPK/USDT,6,8.20745911629935,1.3679098527165585,7.029816750373292,-1.0199999999999994
LAYER/USDT,5,6.916260162601626,1.3832520325203252,10.996260162601631,-1.0200000000000031
PENDLE/USDT,9,6.832265577234199,0.7591406196926888,6.5629694323144125,-1.020000000000003
SUI/USDT,6,6.606079825040988,1.101013304173498,11.706079825040987,-1.0200000000000018
RENDER/USDT,9,5.539858631522492,0.6155398479469435,6.379193548387096,-1.0200000000000011
TIA/USDT,10,5.22027772335713,0.522027772335713,8.83251215559156,-1.0200000000000031
BIO/USDT,5,4.53098106712564,0.906196213425128,4.082409638554215,-1.0200000000000005
TAO/USDT,7,4.530640892579143,0.6472344132255918,7.184787234042562,-1.0200000000000022
DODO/USDT,11,4.1173447466978494,0.3743040678816227,5.073167701863349,-1.0200000000000016
KITE/USDT,10,4.0772861356932015,0.40772861356932016,13.2572861356932,-1.020000000000002
FET/USDT,5,3.3412565812565895,0.668251316251318,3.9309090909091,-1.02
FF/USDT,5,3.1234595397179117,0.6246919079435823,7.203459539717911,-1.0200000000000031
VIRTUAL/USDT,9,2.153333333333343,0.23925925925926034,10.31333333333334,-1.0200000000000011
UNI/USDT,10,2.1282255919127584,0.21282255919127585,8.75142857142859,-1.020000000000002
ENA/USDT,7,2.109012245355447,0.3012874636222067,4.933736654804264,-1.0200000000000016
BFUSD/USDT,1,1.570909090909444,1.570909090909444,1.570909090909444,1.570909090909444
SAGA/USDT,3,1.3891555874955093,0.4630518624985031,3.4291555874955084,-1.02
NEAR/USDT,6,0.9533590733590778,0.15889317889317964,6.053359073359075,-1.020000000000001
DASH/USDT,5,0.3834170854271446,0.07668341708542892,4.463417085427144,-1.0200000000000011
XLM/USDT,7,0.32728401907508275,0.04675485986786897,3.003622047244101,-1.0200000000000011
CFX/USDT,14,-0.30022227887697195,-0.02144444849121228,4.473723849372378,-1.0200000000000018
PENGU/USDT,9,-0.345474357628079,-0.03838603973645322,6.180449438202255,-1.0200000000000014
JTO/USDT,9,-0.4848083704969641,-0.0538675967218849,2.9443366619115525,-1.020000000000001
FIL/USDT,9,-0.9977339901477711,-0.11085933223864124,7.162266009852231,-1.0200000000000022
TRUMP/USDT,1,-1.0200000000000005,-1.0200000000000005,-1.0200000000000005,-1.0200000000000005
U/USDT,3,-1.2822222222224435,-0.4274074074074812,0.7577777777777778,-1.0200000000001448
XPL/USDT,10,-1.5218750000000005,-0.15218750000000006,7.658124999999999,-1.0200000000000011
XUSD/USDT,6,-1.867058823528441,-0.3111764705880735,1.8329411764710453,-1.02
AI/USDT,8,-1.9972093023255892,-0.24965116279069866,5.142790697674409,-1.0200000000000014
HBAR/USDT,2,-2.040000000000002,-1.020000000000001,-1.0200000000000005,-1.0200000000000016
SOL/USDT,11,-2.141962646407083,-0.19472387694609844,5.22923076923078,-1.0200000000000065
ZBT/USDT,9,-2.1487920365886426,-0.2387546707320714,3.971525423728816,-1.0200000000000018
WLFI/USDT,6,-2.29142857142857,-0.3819047619047617,2.8085714285714323,-1.0200000000000022
