symbol,trades,total_r,avg_r,best_trade_r,worst_trade_r
TRUMP/USDT,6,5.7426102454320915,0.9571017075720153,4.428067632850234,-1.0200000000000018
WLD/USDT,5,2.7890723171321268,0.5578144634264254,5.361170018281551,-1.0200000000000011
VIC/USDT,7,2.2174660633484167,0.31678086619263096,3.7492307692307754,-1.020000000000002
KITE/USDT,6,1.7485982254047305,0.2914330375674551,3.319488636363636,-1.0200000000000011
CHIP/USDT,1,1.3451090342679115,1.3451090342679115,1.3451090342679115,1.3451090342679115
LUNC/USDT,6,1.1034808105654024,0.18391346842756706,3.155217812197481,-1.0200000000000016
WLFI/USDT,10,0.8814814814814924,0.08814814814814924,10.06148148148149,-1.020000000000001
MLN/USDT,5,0.5666666666666644,0.11333333333333288,4.646666666666666,-1.0200000000000014
BNB/USDT,5,-0.5779431304809772,-0.11558862609619544,3.5020568695190195,-1.020000000000002
币安人生/USDT,6,-0.6452525252525216,-0.10754208754208694,4.454747474747479,-1.020000000000001
ICP/USDT,8,-0.8048876948548838,-0.10061096185686047,2.9149442379182244,-1.020000000000002
ENA/USDT,6,-1.1353167602245338,-0.1892194600374223,2.9972413793103456,-1.0200000000000002
FF/USDT,6,-1.8661052631578958,-0.3110175438596493,3.2338947368421027,-1.0200000000000031
FIL/USDT,7,-1.8830135407663415,-0.26900193439519166,2.3395505617977617,-1.0200000000000011
PENGU/USDT,5,-1.9136324417601456,-0.3827264883520291,2.1663675582398563,-1.0200000000000014
LAYER/USDT,4,-2.092820512820514,-0.5232051282051285,0.967179487179488,-1.0200000000000011
PUMP/USDT,5,-2.4659305993690834,-0.49318611987381666,1.6140694006309138,-1.0200000000000002
VIRTUAL/USDT,5,-2.595578623606305,-0.519115724721261,1.4844213763936926,-1.0200000000000016
PEPE/USDT,4,-3.0039130434782635,-0.7509782608695659,0.0560869565217383,-1.0200000000000014
NEAR/USDT,3,-3.0600000000000063,-1.020000000000002,-1.0200000000000018,-1.0200000000000025
PNUT/USDT,7,-3.0934883720930246,-0.4419269102990035,3.0265116279069764,-1.0200000000000018
APT/USDT,9,-3.403744292237457,-0.3781938102486063,4.756255707762542,-1.0200000000000018
NOT/USDT,9,-3.914564951956262,-0.43495166132847357,2.519682539682539,-1.0200000000000016
PENDLE/USDT,9,-3.9380645161290326,-0.43756272401433693,4.221935483870966,-1.0200000000000022
U/USDT,4,-4.07999999999986,-1.019999999999965,-1.019999999999889,-1.020000000000146
BB/USDT,4,-4.080000000000002,-1.0200000000000005,-1.0199999999999991,-1.0200000000000016
DOGS/USDT,9,-4.308571428571418,-0.47873015873015756,3.8514285714285834,-1.0200000000000014
TON/USDT,6,-4.390053475935825,-0.7316755793226375,0.709946524064169,-1.0200000000000018
SAHARA/USDT,8,-4.477275747508301,-0.5596594684385376,2.662724252491695,-1.020000000000002
XPL/USDT,9,-4.66664122137404,-0.5185156912637823,3.4933587786259586,-1.020000000000001
BIO/USDT,7,-4.707441860465112,-0.6724916943521588,1.412558139534884,-1.020000000000001
AAVE/USDT,9,-4.764097963768274,-0.5293442181964748,2.5186565272496835,-1.0200000000000014
SPK/USDT,7,-5.032081958673382,-0.7188688512390546,1.087918041326621,-1.020000000000003
TRX/USDT,5,-5.100000000000005,-1.020000000000001,-1.0199999999999865,-1.0200000000000105
BTC/USDT,5,-5.100000000000009,-1.0200000000000018,-1.0199999999999985,-1.020000000000007
DASH/USDT,6,-5.1497450424929205,-0.8582908404154868,-0.0497450424929189,-1.0200000000000025
FET/USDT,7,-5.230121317157713,-0.7471601881653875,0.8898786828422856,-1.0200000000000014
UNI/USDT,9,-5.23897114178167,-0.5821079046424078,2.9210288582183312,-1.020000000000002
CFX/USDT,10,-5.513744075829391,-0.5513744075829391,3.666255924170612,-1.0200000000000036
DOT/USDT,12,-5.826466165413532,-0.4855388471177943,5.393533834586467,-1.0200000000000031
SOL/USDT,9,-6.0976626826029126,-0.6775180758447681,2.062337317397084,-1.0200000000000031
RAD/USDT,6,-6.119999999999997,-1.0199999999999996,-1.0199999999999965,-1.0200000000000011
JTO/USDT,6,-6.119999999999997,-1.0199999999999996,-1.0199999999999976,-1.0200000000000011
SAGA/USDT,6,-6.120000000000003,-1.0200000000000005,-1.0199999999999991,-1.0200000000000014
DOGE/USDT,6,-6.1200000000000045,-1.0200000000000007,-1.0199999999999991,-1.0200000000000025
HBAR/USDT,6,-6.1200000000000045,-1.0200000000000007,-1.019999999999999,-1.0200000000000025
OSMO/USDT,6,-6.120000000000007,-1.0200000000000011,-1.019999999999997,-1.020000000000004
XRP/USDT,6,-6.12000000000001,-1.0200000000000016,-1.0199999999999982,-1.020000000000006
RENDER/USDT,7,-6.185751633986922,-0.8836788048552746,-0.0657516339869298,-1.0199999999999994
TIA/USDT,10,-6.5718199608610455,-0.6571819960861045,2.608180039138953,-1.020000000000003
ASTER/USDT,7,-6.857948717948717,-0.9797069597069595,-0.7379487179487247,-1.0200000000000014
SAPIEN/USDT,7,-7.1400000000000015,-1.0200000000000002,-1.0199999999999991,-1.0200000000000011
XUSD/USDT,7,-7.140000000000285,-1.0200000000000407,-1.019999999999889,-1.0200000000002776
LINK/USDT,8,-8.159999999999993,-1.0199999999999991,-1.019999999999994,-1.0200000000000022
INJ/USDT,8,-8.159999999999995,-1.0199999999999994,-1.019999999999998,-1.020000000000003
ONDO/USDT,8,-8.159999999999998,-1.0199999999999998,-1.019999999999995,-1.0200000000000031
SUI/USDT,8,-8.16,-1.02,-1.019999999999999,-1.0200000000000022
AVAX/USDT,8,-8.16,-1.02,-1.019999999999997,-1.0200000000000036
SHIB/USDT,8,-8.16,-1.02,-1.019999999999996,-1.020000000000002
ETH/USDT,8,-8.160000000000004,-1.0200000000000005,-1.0199999999999965,-1.020000000000005
TAO/USDT,8,-8.160000000000005,-1.0200000000000007,-1.0199999999999985,-1.0200000000000022
ZBT/USDT,8,-8.16000000000001,-1.0200000000000014,-1.0199999999999994,-1.0200000000000031
AI/USDT,9,-9.18,-1.02,-1.019999999999999,-1.0200000000000011
ZEC/USDT,9,-9.180000000000001,-1.0200000000000002,-1.019999999999999,-1.0200000000000016
LTC/USDT,9,-9.180000000000007,-1.0200000000000007,-1.019999999999999,-1.0200000000000031
ADA/USDT,10,-10.200000000000006,-1.0200000000000007,-1.0199999999999951,-1.0200000000000036
XLM/USDT,11,-11.220000000000006,-1.0200000000000005,-1.0199999999999971,-1.0200000000000042
DODO/USDT,12,-12.240000000000004,-1.0200000000000002,-1.0199999999999982,-1.020000000000003
