timeframe,side,start,end,assets,months,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
2h,ALL,2026-02-26 10:00:00+00:00,2026-05-14 22:00:00+00:00,69,4,1021,-150.20206780089978,-0.14711270107825639,-1.0199999999999998,0.1616062683643487,0.826404766884144,-394.29342561388665,27.961481481481403,-1.0200000000002776,149,2.593978720060909,-1.812160382104035
2h,LONG,2026-02-26 10:00:00+00:00,2026-05-14 22:00:00+00:00,68,4,539,164.93609801736005,0.30600389242552883,-1.0199999999999996,0.22263450834879406,1.3894095839832648,-137.2852923241125,27.961481481481403,-1.0200000000001448,64,3.3101265111573235,2.1462323705755906
2h,SHORT,2026-02-27 04:00:00+00:00,2026-05-14 22:00:00+00:00,68,4,482,-315.1381658182598,-0.6538136220295846,-1.02,0.09336099585062241,0.286515311760695,-331.2264710243035,10.06148148148149,-1.0200000000002776,113,1.2353521341953506,-11.619480568722057
4h,ALL,2025-12-11 08:00:00+00:00,2026-05-14 20:00:00+00:00,68,6,965,26.83389644035981,0.027807146570321045,-1.0199999999999996,0.19378238341968912,1.0340920128685036,-351.18492408368695,40.16691588785046,-1.020000000000208,99,2.9429560032500577,0.2935190635680489
4h,LONG,2025-12-12 08:00:00+00:00,2026-05-14 20:00:00+00:00,67,6,410,128.5106020675007,0.3134404928475627,-1.0199999999999996,0.22926829268292684,1.4037447811103432,-120.6783764965884,40.16691588785046,-1.020000000000208,38,3.822498325837407,1.660350303979801
4h,SHORT,2025-12-11 08:00:00+00:00,2026-05-14 20:00:00+00:00,68,6,555,-101.67670562714083,-0.18320127140025375,-1.0199999999999996,0.16756756756756758,0.7831153818331082,-294.22886576764904,11.21740714939845,-1.020000000000193,109,2.0441569542770828,-2.111352448199243
6h,ALL,2025-09-26 12:00:00+00:00,2026-05-14 18:00:00+00:00,68,9,865,243.0134160432424,0.2809403653679103,-1.0199999999999996,0.24393063583815028,1.366632852437888,-232.32908662458374,29.944692901802117,-1.020000000000208,92,2.8113218387241683,2.9390815083837047
6h,LONG,2025-09-30 12:00:00+00:00,2026-05-14 18:00:00+00:00,66,9,316,46.25017538980008,0.1463613145246838,-1.0199999999999998,0.22784810126582278,1.1879950535214132,-102.06679471888589,29.944692901802117,-1.0200000000000855,22,3.1612361002491993,0.8230247772804549
6h,SHORT,2025-09-26 12:00:00+00:00,2026-05-14 18:00:00+00:00,68,9,549,196.76324065344238,0.35840298843978574,-1.0199999999999996,0.25318761384335153,1.4720728470463735,-174.84675262787601,15.103778501628655,-1.020000000000208,127,2.588473725867146,3.2442479091048924
ALL_TF,ALL,2025-09-26 12:00:00+00:00,2026-05-14 22:00:00+00:00,69,9,2851,119.64524468270241,0.041966062673694286,-1.0199999999999996,0.19747457032620133,1.0516788121791714,-961.87192893767,40.16691588785046,-1.0200000000002776,243,2.7863853770184854,0.8041844131402693
