timeframe,side,block_size,trades,mc_runs,total_r_p05,total_r_p50,total_r_p95,dd_r_p05,dd_r_p50,dd_r_p95,pf_p05,pf_p50,pf_p95,prob_total_r_positive,prob_pf_above_1
2h,ALL,1,1021,500,-288.57336347953907,-149.94025482440264,-14.723708800123088,-304.79653536719485,-187.9177261285518,-93.50831534839871,0.6741691319468114,0.8272919742209568,0.9826729513034672,0.04,0.04
2h,ALL,5,1021,500,-327.1297041968052,-157.52615511780854,33.7620227572234,-349.8839500048433,-214.74600552902024,-103.60256448549687,0.6326450891529436,0.8184153857086247,1.0412947494208016,0.084,0.084
2h,ALL,10,1021,500,-351.3503887931017,-146.90558222993525,79.27844953527641,-387.6682162634252,-221.30297768013304,-118.71540850768535,0.6042080661565069,0.8307891143868602,1.0948497171356455,0.124,0.124
2h,LONG,1,539,500,48.89701348117887,161.33513306474464,288.08431623831297,-63.11426736167981,-37.639142113758695,-23.390378561667713,1.1113882024699262,1.3798587164705605,1.7049233955123504,0.99,0.99
2h,LONG,5,539,500,-2.1324201829755705,163.98794286424962,351.4922624479457,-98.94120710660238,-52.74831392437702,-31.024956178153698,0.9951420834914079,1.3895120052599421,1.8708264825864693,0.944,0.944
2h,LONG,10,539,500,-25.397115850716748,166.5529788855885,383.78942467948616,-122.88034560593816,-62.24713944441939,-35.793809304978865,0.9437256289624409,1.3923693828631032,1.9422738203291317,0.928,0.928
2h,SHORT,1,482,500,-357.97104599977024,-313.6398231166402,-264.0632267974657,-358.09275861442995,-315.447735654751,-265.97123509794454,0.20856027624483292,0.288668893335686,0.3838549064201856,0.0,0.0
2h,SHORT,5,482,500,-377.4129942172494,-312.55648383675856,-243.2214068716717,-378.15556382362445,-314.010245141803,-248.3322710578262,0.17555075424085148,0.29183606470854584,0.4214109297852339,0.0,0.0
2h,SHORT,10,482,500,-380.259112355421,-318.62815881577524,-236.5941944397212,-383.09268001497423,-322.9303747505968,-245.921216007296,0.17334328528250906,0.28189884120138614,0.4298483057440037,0.0,0.0
4h,ALL,1,965,500,-112.9191415457288,22.073157698781365,198.0137835100499,-170.86498073921754,-86.41488942980914,-44.34728328826214,0.857359981026087,1.0282494637996824,1.2546952451909354,0.582,0.582
4h,ALL,5,965,500,-181.0265092419258,25.731443171854146,259.98892666641507,-229.72636713336652,-123.00103005153693,-67.72751009807193,0.7760882484671507,1.0328549979779773,1.3409779661856047,0.58,0.58
4h,ALL,10,965,500,-209.19564780242038,28.70096953650105,267.49288528994157,-271.2476704562426,-149.26621184003176,-78.4103718999145,0.746646202613694,1.0369756488936879,1.3519766035074603,0.578,0.578
4h,LONG,1,410,500,4.33900438891663,126.51156159276545,261.0017523208913,-69.9916307498835,-36.5394322763173,-22.15020051681417,1.0130245411762766,1.4008952550662275,1.8442239591805012,0.954,0.954
4h,LONG,5,410,500,-12.227969294699253,115.63777202220209,277.12238287665286,-94.41364973189577,-48.82309260579037,-28.529093111363522,0.9626895210650066,1.363689515393987,1.895413140680861,0.924,0.924
4h,LONG,10,410,500,-25.969643337896294,116.13039907951898,292.17233546040353,-100.74958566816372,-53.50587716100844,-29.999830271987204,0.9214616761159095,1.3564309842552449,1.9776257695741184,0.894,0.894
4h,SHORT,1,555,500,-179.8663872965185,-104.06017978610282,-22.831149254278095,-192.6557706171848,-122.56297831670497,-60.88559436185075,0.6281810543113469,0.7774393530348457,0.9498854217398273,0.016,0.016
4h,SHORT,5,555,500,-235.16708862679909,-102.41143547722206,34.22842062732747,-257.46924548170614,-146.13822620135778,-75.88746372576144,0.5175501835468242,0.7799712955282626,1.077278233612183,0.128,0.128
4h,SHORT,10,555,500,-287.04531027086284,-96.01290019658352,94.55543869532444,-314.14418676974935,-172.28643230904575,-88.47323716078863,0.4327608808797184,0.7934693250480209,1.216801720045236,0.196,0.196
6h,ALL,1,865,500,108.24830894991118,249.65289231360828,393.57036207696035,-63.066785275942415,-34.97130310167135,-22.186958272820156,1.1605041971370353,1.3795455579199856,1.6061897331153816,0.996,0.996
6h,ALL,5,865,500,37.293184455213314,236.1174837825438,469.73448138205356,-125.11482629706923,-67.7856854393878,-41.50195507622795,1.0537776989066565,1.3559171039144604,1.7517561534056338,0.972,0.972
6h,ALL,10,865,500,-28.108001376545648,231.24309322270395,511.632796012101,-189.96222724010767,-97.66012150649749,-57.91590311797527,0.9604726527969434,1.3493220274192943,1.8338265977336656,0.928,0.928
6h,LONG,1,316,500,-44.84982225457538,36.836914673517654,139.06247043219835,-78.42382657540328,-41.14220477247431,-21.66796682759822,0.8264621884207364,1.149121563243762,1.5808548344742352,0.724,0.724
6h,LONG,5,316,500,-52.51377581518096,41.87657592115025,153.81030391583255,-87.17343882706922,-45.411740611586865,-23.85851996966727,0.7985235441535506,1.1712085657783797,1.6562882711696443,0.772,0.772
6h,LONG,10,316,500,-74.57453121253657,50.766381258375645,182.95576242758247,-103.48721166822946,-53.208729225336924,-26.752164464293266,0.7197458547501684,1.2073133225982304,1.8039113365255133,0.738,0.738
6h,SHORT,1,549,500,101.35174039506825,192.03757777062594,300.58451288670307,-42.21354591216252,-25.280153388767168,-17.04297086056284,1.235590601863977,1.4623475176572827,1.7441029623247886,1.0,1.0
6h,SHORT,5,549,500,15.775355881777712,194.48981747806192,392.09272249196727,-118.73079581972056,-62.24250072393434,-35.93711259473503,1.0344769632025008,1.4668648917681337,2.0215759319704945,0.968,0.968
6h,SHORT,10,549,500,-41.16768735485171,197.0945163969925,463.7793603349299,-169.75853396171988,-87.87861341071576,-49.14773952714651,0.9095303687003775,1.474916436099983,2.2631188355650975,0.894,0.894
ALL_TF,ALL,1,2851,500,-113.08207034721174,120.98644714322405,371.2387184325252,-222.45678599125668,-121.67581240686263,-68.47566746939549,0.9517605885216657,1.0521104641458425,1.1625828517164924,0.774,0.774
ALL_TF,ALL,5,2851,500,-252.3522576054777,106.94113087930658,477.7619091857606,-379.3083891468155,-199.60993991508593,-110.090077050711,0.8924745503595212,1.0463659233177214,1.2083107534869937,0.684,0.684
ALL_TF,ALL,10,2851,500,-279.225188920065,129.4633273626634,552.5460024538855,-461.02441316759587,-242.62811527325778,-141.283354465755,0.8828621739153673,1.0560318267526214,1.2443104959890396,0.698,0.698
